timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,PartsLockHoldMicroseconds,PartsLockWaitMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5285.81,164,262144,64,38399,2529487814,290,42,576,1336885,0,30,14885,67,838,109822122,1154,1,4,59258,47112934,29,187611800,66,6990,3166092,2,98750,576,45496696,206121061,834661366,576,1337,0,16,1,1,3,1,2,2,61414,3,830374547,799491180,266803986,48358969,48473657,3,1,2513814452,73389,73389,2,2,2,48342589,32,2,3,287291,44414602,2330283,108788,6928,830374547,1228097,43160450,13704
10368.21,316,262144,64,76548,5044932432,537,65,576,2534690,0,30,29944,67,838,116928996,1154,1,4,59258,94737588,29,378369396,66,13540,9365122,2,98750,576,93142543,469741125,1629835546,576,1337,0,16,1,1,3,1,2,2,61414,3,1621443950,1591039707,598484499,96708858,96921850,3,1,5027156712,73389,73389,2,2,2,96676094,32,2,3,430292,93617067,3859194,177230,13479,1621443950,2357460,89277518,13704
15471.08,485,262144,64,114529,7546905538,779,91,576,3613889,0,30,44853,67,838,117508164,1154,1,4,59258,142169603,29,567193400,66,20054,17188415,2,98750,576,136018965,739157999,2419689588,576,1337,0,16,1,1,3,1,2,2,61414,3,2407187204,2378544987,935148000,144822067,145018675,3,1,7529043580,73389,73389,2,2,2,144789303,32,2,3,569367,152606912,5228015,216749,19991,2407187204,3397140,130784564,13704
20610.82,689,262144,64,159747,10526323968,1073,150,576,4699292,0,30,62679,67,838,117508164,1154,1,4,59258,198582919,29,793104172,66,27798,23441239,2,98750,576,179077763,999025242,3358445324,576,1337,0,16,1,1,3,1,2,2,61414,3,3341041962,3316707240,1268838494,202072342,202350870,3,1,10506909848,73389,73389,2,2,2,202055962,32,2,3,691402,216450666,6684254,299623,27744,3341041962,4399669,172387047,13704
25748.33,863,262144,64,202456,13339478542,1346,202,576,5841028,0,30,79556,67,838,117508164,1154,1,4,59258,252052267,29,1007239880,66,35178,33417597,2,98750,576,219015589,1243251064,4255720471,576,1337,0,16,1,1,3,1,2,2,61414,3,4233663248,4202138614,1595038565,256157075,256451987,3,1,13320167932,73389,73389,2,2,2,256157079,32,2,3,847041,279141951,8199499,484002,35122,4233663248,5357026,210805145,13704
30853.22,1068,262144,64,250022,16475224898,1656,255,576,7012064,0,30,98353,67,838,117508164,1154,1,4,59258,311602105,29,1245503328,66,43358,42483014,2,98750,576,265385845,1504567540,5247566882,576,1337,0,16,1,1,3,1,2,2,61414,3,5220327225,5189427887,1931479743,316535806,316765182,3,1,16459861944,73389,73389,2,2,2,316535810,32,2,3,979635,343665869,9765778,558616,43302,5220327225,6453448,255606538,13704
35920.81,1302,262144,64,302999,19965296966,1996,315,576,8380353,0,30,119180,67,838,117508164,1154,1,4,59258,377489855,29,1509506868,66,52438,55513669,2,98750,576,315177630,1748162394,6349475320,576,1337,0,16,1,1,3,1,2,2,61414,3,6316473556,6288413914,2257563027,383625944,383871704,3,1,19947697152,73389,73389,2,2,2,383609564,32,2,3,1106970,413381790,11429001,745771,52378,6316473556,7634582,303735271,13704
40976.45,1586,262144,64,369565,24352067266,2427,382,576,9977517,0,30,145481,67,838,117508164,1154,1,4,59258,460928975,29,1842876016,66,63872,60603490,2,98750,576,377126735,1990092540,7738453650,576,1337,0,16,1,1,3,1,2,2,61414,3,7698252989,7669292922,2582920352,468042101,468203782,3,1,24337337316,73389,73389,2,2,2,468025721,32,2,3,1288769,481633388,13487157,885404,63817,7698252989,9092113,363627184,13704
46098.15,23469,262144,64,427754,28186717400,2804,450,576,11396118,0,30,168427,67,838,117508164,1154,1,4,59258,533608579,29,2133594448,66,73916,65708031,2,98750,576,432297508,2227411691,8954837960,576,1337,0,16,1,1,3,1,2,2,61414,3,8908348047,8876612713,2905501016,541697017,541991929,3,1,28168244916,73389,73389,2,2,2,541697021,32,2,3,1448913,544592413,15296152,981872,73860,8908348047,10414246,416990772,13704
51226.35,23648,262144,64,471210,31048610306,3090,511,603,12642201,2,30,185449,67,838,121834049,1208,1,4,59258,587327113,29,2348025152,66,81664,70769216,2,98750,603,476456713,2480126551,9893813411,601,1511,2,16,1,1,3,1,2,2,61414,3,9842454960,9781163756,3229275511,596582407,596762631,3,1,31022285196,73389,73389,2,2,2,596582411,32,2,3,1557668,605597840,16786603,1157015,81604,9842454960,11485186,459655166,14776
