timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LoadedMarksCount,LoadedMarksFiles,LoadedMarksMemoryBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MarkCacheMisses,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5007.18,262144,64,86613,5706459714,122,0,603,1112401,36,5,20646,105,121,10,61088,127802569,1208,1,660519,18,2973016,120,13174,9619,2,61469,567,18,12519510,164773,1720250180,567,84,36,7,1,2,1,4,329,1,1713888650,1668392311,27858672,128986548,128986548,2,1,5674687216,73389,73389,2,2,2,128970164,81,3,148844,1928125,1455338,15234,13108,1713888650,1097167,11066145,2658310
10040.19,262144,64,95018,6260451086,123,0,603,1362754,36,5,23049,106,122,10,94203,128043889,1208,1,660519,18,2973016,121,14409,43901,2,94599,567,18,16087275,3398893,1882947566,567,84,36,7,1,2,1,4,329,1,1875893642,1830269332,49365958,141568128,141584512,2,1,6228997632,73389,73389,2,2,2,141568128,81,3,151765,3690351,1681308,39520,14344,1875893642,1323234,14406987,2658310
15102.03,262144,64,99478,6554334358,124,0,603,1521310,36,5,24320,106,122,10,94203,128297275,1208,1,660519,18,2973016,121,15066,129470,2,94599,567,18,18343596,7500677,1969346820,567,84,36,7,1,2,1,4,329,1,1961876874,1916222685,69459981,148256230,148256230,2,1,6523274120,73389,73389,2,2,2,148256230,81,3,151891,5793232,1818864,50172,15000,1961876874,1471138,16526398,2658310
20130.52,262144,64,103540,6822134302,125,1,603,1661779,36,5,25484,106,122,10,94203,128562727,1208,1,660519,18,2973016,121,15663,210513,2,94599,567,18,20431458,11526551,2047980758,567,84,36,7,1,2,1,4,329,1,2040126858,1994470385,102485322,154346316,154346316,2,1,6791237904,73389,73389,2,2,2,154346316,81,3,153294,8034388,1921222,55274,15597,2040126858,1606505,18510661,2658310
25143.80,262144,64,108960,7179197586,126,1,603,1836900,36,5,26984,106,122,10,94203,128562727,1208,1,660519,18,2973016,121,16459,278590,2,94599,567,18,23318204,15641128,2152802242,567,84,36,7,1,2,1,4,329,1,2144460170,2098797643,145027147,162457667,162474051,2,1,7148137348,73389,73389,2,2,2,162457667,81,3,155285,10114697,2086278,62059,16393,2144460170,1774841,21230629,2658310
30147.76,262144,64,167372,11027991674,135,1,603,2305526,36,5,43386,106,122,10,94203,129877921,1208,1,660519,18,2973016,121,25043,280647,2,94599,567,18,32616022,16521982,3282177647,567,84,36,7,1,2,1,4,329,1,3269582218,3223938578,200053323,249919089,249935473,2,1,10996439916,73389,73389,2,2,2,249919089,81,3,162021,11117110,2295051,72267,24977,3269582218,2233259,30320654,2658310
35151.82,262144,64,232755,15336557190,146,1,603,2784288,36,5,61875,106,122,10,94203,131736085,1208,1,660519,18,2973016,121,34648,280779,2,94599,567,18,42279304,16522597,4545857584,567,84,36,7,1,2,1,4,329,1,4528528778,4483430267,227597104,347842522,347858906,2,1,15305070968,73389,73389,2,2,2,347842522,81,3,174576,11976370,2460843,82081,34582,4528528778,2702207,39818504,2658310
40156.21,262144,64,286780,18896324530,155,1,603,3188205,36,5,77103,106,122,10,94203,133063345,1208,1,660519,18,2973016,121,42584,282609,2,94599,567,18,52247038,16605849,5589904881,567,84,36,7,1,2,1,4,329,1,5568716170,5524072966,255846503,428763298,428763298,2,1,18864864216,73389,73389,2,2,2,428746914,81,3,201021,12733533,2650612,90193,42518,5568716170,3098012,49596758,2658310
45161.06,262144,64,340211,22417091090,164,1,603,3598585,36,5,92117,106,122,10,94203,134390605,1208,1,660519,18,2973016,121,50433,282903,2,94599,567,18,62780643,16625829,6622517857,567,84,36,7,1,2,1,4,329,1,6597500298,6553246169,281871527,508766570,508782954,2,1,22385729080,73389,73389,2,2,2,508766570,81,3,225810,13471456,2837891,98274,50367,6597500298,3500311,59943523,2658310
50180.74,262144,64,392110,25836672208,173,1,603,4017117,36,5,106815,106,122,10,94203,135717865,1208,1,660519,18,2973016,121,58055,283844,2,94599,567,18,71951125,17191520,7625328827,567,84,36,7,1,2,1,4,329,1,7596531082,7552943502,337675444,586490751,586490751,2,1,25804872148,73389,73389,2,2,2,586474367,81,3,239123,14416003,3029197,107609,57989,7596531082,3909508,68923761,2658310
55198.70,262144,64,400966,26419941910,174,1,603,4263852,36,5,109287,106,122,10,94203,135717865,1208,1,660519,18,2973016,121,59353,329688,2,94599,567,18,76153914,20468839,7795977260,567,84,36,7,1,2,1,4,329,1,7766425633,7723466807,459794401,599738042,599754426,2,1,26388473848,73389,73389,2,2,2,599738042,81,3,241668,16083589,3272298,116058,59288,7766425633,4147794,72883957,2658310
