timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5025.92,262144,64,28175,1856612240,112,0,585,786292,2,4286,60,67,21834,124484256,1172,1,66,4586,85885,2,22166,585,7013755,4072730,594627928,585,216,2,1,2,2,317,1,592224668,545990403,28101631,41852806,41852806,2,1,1841523464,73389,73389,2,2,2,41852806,4,3,285177,3135018,1845050,14625,4520,592224668,771667,5170162,3724
10046.40,262144,64,36290,2391356852,113,0,585,1021439,2,6550,60,67,21834,124749708,1172,1,66,5777,114669,2,22166,585,11224688,7510627,751428576,585,216,2,1,2,2,317,1,748331420,702334153,55939407,53994177,54010561,2,1,2375743788,73389,73389,2,2,2,53994177,4,3,293666,4962169,2120309,21586,5711,748331420,999853,9105818,3724
15069.74,262144,64,43934,2894968556,115,0,585,1247324,2,8745,60,67,21834,125015160,1172,1,66,6901,169007,2,22166,585,14503641,10869438,899416397,585,216,2,1,2,2,317,1,895656348,849598847,83117719,65449579,65449579,2,1,2879060580,73389,73389,2,2,2,65433195,4,3,298367,6836044,2363520,28376,6835,895656348,1218948,12141071,3724
20083.64,262144,64,54273,3576527040,116,0,585,1549216,2,11622,60,67,21834,125280612,1172,1,66,8421,187856,2,22166,585,19870838,14381554,1099510272,585,216,2,1,2,2,317,1,1094885788,1048869511,139863494,80932842,80949226,2,1,3561045048,73389,73389,2,2,2,80932842,4,3,309322,8456624,2708754,36449,8355,1094885788,1512767,17161077,3724
25100.61,262144,64,62441,4114509773,118,0,585,1806418,2,13959,60,67,21834,125546064,1172,1,66,9619,224811,2,22166,585,23673635,17501304,1257230684,585,216,2,1,2,2,317,1,1251910044,1206100835,194402443,93158292,93174676,2,1,4098964848,73389,73389,2,2,2,93158292,4,3,321140,10232686,2989807,44864,9553,1251910044,1761554,20683025,3724
30124.67,262144,64,71085,4684170282,119,0,585,2067755,2,16371,60,67,21834,125546064,1172,1,66,10889,264309,2,22166,585,28920752,21232083,1424430181,585,216,2,1,2,2,317,1,1418371484,1372641126,236984254,106100320,106116704,2,1,4668414080,73389,73389,2,2,2,106100320,4,3,331102,11990187,3294389,52749,10823,1418371484,2015006,25623110,3724
35129.45,262144,64,113975,7510381406,126,0,585,2459378,2,28399,60,67,21834,126837126,1172,1,66,17191,271640,2,22166,585,38725962,23009820,2253624404,585,216,2,1,2,2,317,1,2244387228,2198750072,321296395,170347834,170347834,2,1,7494583800,73389,73389,2,2,2,170331450,4,3,357104,13098973,3586829,62426,17125,2244387228,2396952,35136242,3724
40156.17,262144,64,155498,10246498046,133,0,585,2834035,2,40161,60,67,21834,127886868,1172,1,66,23293,277265,2,22166,585,47048602,24025922,3056469391,585,216,2,1,2,2,317,1,3044188572,2998604402,372896421,232518898,232535282,2,1,10230831512,73389,73389,2,2,2,232518898,4,3,374052,14143601,3833505,71890,23227,3044188572,2762145,43212752,3724
45185.08,262144,64,163707,10787403042,135,0,585,3070538,2,42508,60,67,21834,128152320,1172,1,66,24498,347599,2,22166,585,51397591,27954661,3214987175,585,216,2,1,2,2,317,1,3201999260,3156675752,482830396,244815917,244832301,2,1,10771900348,73389,73389,2,2,2,244815917,4,3,383192,15981662,4105297,78415,24432,3201999260,2992123,47289100,3724
50217.91,262144,64,167380,11029444030,135,0,585,3174480,2,43512,60,67,21834,128152320,1172,1,66,25039,519477,2,22166,585,52797307,32384953,3286512714,585,216,2,1,2,2,317,1,3273171356,3227418698,496706847,250318338,250334722,2,1,11014006872,73389,73389,2,2,2,250318338,4,3,384796,18217638,4183461,81774,24974,3273171356,3092706,48610318,3724
