timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5058.57,9,262144,64,25139,1656583136,112,1,585,844549,23,3440,60,67,4,130326,124484256,1172,1,66,4140,2567150,2,217877,585,6936536,27680569,536269377,585,1451,2,1,2,2,1648,1,533766556,487507493,47731479,37306690,37306690,2,1,1640773464,73389,73389,2,2,2,37290306,24,3,205411,20850431,1972331,50903,4074,533766556,793646,4967067,36584
10086.14,9,262144,64,31144,2052250432,113,1,585,982623,23,5144,60,67,4,130326,124484256,1172,1,66,5023,2691756,2,217877,585,9751770,32121113,652542585,585,1451,2,1,2,2,1648,1,649503132,603238780,78371880,46284234,46300618,2,1,2036506296,73389,73389,2,2,2,46284234,24,3,212022,23009964,2125891,55285,4957,649503132,927338,7628686,36584
15141.13,9,262144,64,38775,2555010168,114,1,585,1175559,23,7284,60,67,4,130326,124749708,1172,1,66,6141,2751952,2,217877,585,13444801,36488586,799746273,585,1451,2,1,2,2,1648,1,796041628,750196274,140267482,57706868,57723252,2,1,2539102192,73389,73389,2,2,2,57706868,24,3,219147,25093336,2332378,62825,6075,796041628,1112734,11113863,36584
20146.89,9,262144,64,53629,3534056404,116,1,585,1395603,23,11443,60,67,4,130326,125280612,1172,1,66,8327,2789652,2,217877,585,17181064,39979850,1087435806,585,1451,2,1,2,2,1648,1,1082565020,1036455728,185217986,79960153,79976537,2,1,3518246732,73389,73389,2,2,2,79960153,24,3,235679,26771207,2565872,70485,8261,1082565020,1325118,14616054,36584
25151.82,9,262144,64,98731,6506041582,124,1,585,1742886,23,24183,60,67,4,130326,126571674,1172,1,66,14951,2792858,2,217877,585,28568342,40596993,1958934889,585,1451,2,1,2,2,1648,1,1950785948,1905191198,229818002,147518950,147518950,2,1,6490112904,73389,73389,2,2,2,147502566,24,3,270341,27582866,2872997,78964,14885,1950785948,1663922,25695750,36584
30157.87,9,262144,64,145352,9578118914,132,1,585,2086927,23,37302,60,67,4,130326,127886868,1172,1,66,21801,2795744,2,217877,585,40480630,40823961,2860165893,585,1451,2,1,2,2,1648,1,2848629148,2803209112,261969758,217342613,217342613,2,1,9562354076,73389,73389,2,2,2,217326229,24,3,300841,28359742,3136866,87467,21735,2848629148,1999460,37344497,36584
35163.05,9,262144,64,190215,12534187602,139,1,585,2415580,23,49953,60,67,4,130326,128948676,1172,1,66,28392,2798334,2,217877,585,50838945,40957468,3727316114,585,1451,2,1,2,2,1648,1,3712524700,3667231510,290869841,284518545,284534929,2,1,12518815980,73389,73389,2,2,2,284518545,24,3,307301,29082871,3297943,95733,28326,3712524700,2319847,47543036,36584
40168.02,9,262144,64,237114,15624290886,147,1,585,2751119,23,63165,60,67,4,130326,130010484,1172,1,66,35280,2800952,2,217877,585,62727058,41028669,4633556492,585,1451,2,1,2,2,1648,1,4615348636,4570726745,317266233,354745775,354745775,2,1,15608093204,73389,73389,2,2,2,354729391,24,3,318623,29815991,3506163,104237,35214,4615348636,2646882,59222860,36584
45173.81,9,262144,64,287484,18943389942,155,1,585,3107886,23,77358,60,67,4,130326,131337744,1172,1,66,42683,2803483,2,217877,585,73689557,41062853,5607526494,585,1451,2,1,2,2,1648,1,5585674652,5540978920,353038076,430178355,430194739,2,1,18927847620,73389,73389,2,2,2,430178355,24,3,338277,30567953,3707365,112963,42617,5585674652,2994923,69984445,36584
50178.65,9,262144,64,336655,22183380430,164,1,585,3462176,23,91215,60,67,4,130326,132665004,1172,1,66,49904,2806093,2,217877,585,84712958,41183809,6557454367,585,1451,2,1,2,2,1648,1,6532014492,6488016759,382454579,503821205,503837589,2,1,22168133020,73389,73389,2,2,2,503821205,24,3,354233,31305881,3864360,121282,49838,6532014492,3340894,80851153,36584
55213.87,9,262144,64,361204,23800983610,168,1,585,3720510,23,98184,60,67,4,130326,133195908,1172,1,66,53509,2836471,2,217877,585,90979774,43377438,7031953111,585,1451,2,1,2,2,1648,1,7004660124,6960895770,491947006,540589382,540605766,2,1,23785932808,73389,73389,2,2,2,540589382,24,3,365046,32669462,4059198,128593,53443,7004660124,3591917,86923476,36584
60235.77,9,262144,64,369301,24334548574,169,1,585,3933558,23,100446,60,67,4,130326,133461360,1172,1,66,54698,2892731,2,217877,585,94717384,46824556,7188502787,585,1451,2,1,2,2,1648,1,7160504732,7116909165,513584829,552706177,552722561,2,1,24319071788,73389,73389,2,2,2,552706177,24,3,369281,34420172,4257033,135389,54633,7160504732,3798169,90460448,36584
65258.51,9,262144,64,400518,26391281484,174,1,585,4273472,23,109233,60,67,4,130326,133992264,1172,1,66,59282,2926986,2,217877,585,101255188,48922029,7791550858,585,1451,2,1,2,2,1648,1,7761218294,7718192566,657981452,599459514,599459514,2,1,26375497720,73389,73389,2,2,2,599443130,24,3,385779,35814393,4499763,143852,59216,7761218294,4129620,96755594,36584
