timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5059.23,154,262144,64,42880,2825278246,320,27,576,1507294,0,8,16642,67,1052,111945738,1154,1,4,2875,52682209,47,209759432,66,7760,4980035,2,20463,576,53114784,235943113,928470156,576,1199,0,3,1,2,2,4444,3,923696623,892223064,306504941,54020912,54217520,3,1,2809087456,73389,73389,2,2,2,54020916,21,3,281615,47981531,2575630,111359,7703,923696623,1395935,50531833,9590
10110.67,367,262144,64,83846,5525108522,582,70,576,2858643,0,8,32767,67,1052,116928996,1154,1,4,2875,103735100,47,413979792,66,14782,8539720,2,20463,576,105648464,482063734,1780026135,576,1199,0,3,1,2,2,4444,3,1770840639,1742514329,623133159,105952864,106182240,3,1,5508696992,73389,73389,2,2,2,105936484,21,3,410572,94022150,4186295,220936,14718,1770840639,2637707,101451691,9590
15226.29,596,262144,64,127851,8424838728,870,115,576,4276959,0,8,50143,67,1052,117508164,1154,1,4,2875,158807566,47,634196240,66,22354,12699501,2,20463,576,164367970,740195784,2697382365,576,1199,0,3,1,2,2,4444,3,2683420398,2655122410,955089945,161730738,161925187,3,1,8408294472,73389,73389,2,2,2,161697974,21,3,560320,145522756,6109990,288132,22293,2683420398,3988827,158245840,9590
20251.49,778,262144,64,164306,10826996954,1099,144,576,5479061,0,8,64507,67,1052,117508164,1154,1,4,2875,204330063,47,816479636,66,28601,16872478,2,20463,576,209913570,997534465,3456684898,576,1199,0,3,1,2,2,4444,3,3438789103,3411417033,1273970659,207949436,208096892,3,1,10812518736,73389,73389,2,2,2,207933056,21,3,717852,195118397,7654785,412184,28537,3438789103,5066877,202247041,9590
25295.20,958,262144,64,199993,13178642542,1332,188,576,6608049,0,8,78581,67,1052,117508164,1154,1,4,2875,248865006,47,994693148,66,34769,19565023,2,20463,576,256923652,1251300123,4205038530,576,1199,0,3,1,2,2,4444,3,4183277242,4151747308,1598524748,253154485,253285557,3,1,13162329316,73389,73389,2,2,2,253121721,21,3,887569,238371638,9415526,464383,34705,4183277242,6143666,247492993,9590
30637.72,1182,262144,64,246183,16221725766,1633,241,576,8151806,0,8,96739,67,1052,117508164,1154,1,4,2875,306499633,47,1224642684,66,42702,22189744,2,20463,576,317423353,1517764174,5166949336,576,1199,0,3,1,2,2,4444,3,5140176932,5109899779,1944116926,311658136,311821976,3,1,16204519168,73389,73389,2,2,2,311625372,21,3,1044848,290728040,11322023,600460,42642,5140176932,7551346,306079739,9590
35787.47,1370,262144,64,288573,19016097972,1902,278,576,9506606,0,8,113452,67,1052,117508164,1154,1,4,2875,359407333,47,1436660380,66,49974,25189821,2,20463,576,372899299,1775580668,6049417637,576,1199,0,3,1,2,2,4444,3,6018070265,5989762447,2274550244,365432844,365531148,3,1,19002507920,73389,73389,2,2,2,365432848,21,3,1204847,337191872,13085127,687016,49912,6018070265,8819590,359789608,9590
40851.69,1565,262144,64,332966,21940809704,2192,307,576,11005973,0,8,130933,67,1052,117508164,1154,1,4,2875,414824839,47,1658135880,66,57580,28460876,2,20463,576,429574979,2023916729,6972453285,576,1199,0,3,1,2,2,4444,3,6936326192,6910183607,2599065926,421622477,421819085,3,1,21923516868,73389,73389,2,2,2,421606097,21,3,1373679,384560388,15029183,862646,57519,6936326192,10143327,414524052,9590
46164.09,32365,262144,64,380494,25071954142,2498,361,576,12492072,0,8,149763,67,1052,117508164,1154,1,4,2875,474472988,47,1896922400,66,65771,31845254,2,20463,576,492269563,2287521356,7965924767,576,1199,0,3,1,2,2,4444,3,7924656000,7896133152,2942466718,481860673,482073665,3,1,25055903060,73389,73389,2,2,2,481844293,21,3,1531195,436734202,16978295,917379,65708,7924656000,11574693,475266668,9590
51250.16,32546,262144,64,422490,27838647000,2771,400,576,13804793,0,8,166283,67,1052,117508164,1154,1,4,2875,526733112,47,2106156768,66,72989,37078165,2,20463,576,545464011,2545892884,8842631361,576,1199,0,3,1,2,2,4444,3,8796801961,8766882128,3272214004,534984783,535263311,3,1,27818356780,73389,73389,2,2,2,534968403,21,3,1711514,487140774,18765259,984275,72931,8796801961,12820518,526670281,9590
