timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5029.22,242,262144,64,54997,3624711130,392,52,576,1890099,11,21465,67,27343,116337762,1154,1,4,842,67973681,18,271313480,66,9823,4734083,2,275733,576,67989825,216351817,1179794813,576,2090,3,1,2,2,2071,3,1173760231,1144139749,297270227,69376977,69557201,3,1,3607602836,73389,73389,2,2,2,69376981,18,3,310707,49299734,3021265,114918,9759,1173760231,1775181,64965186,9316
10083.66,461,262144,64,96400,6352263622,663,97,576,3233008,11,37731,67,27343,117218580,1154,1,4,842,119503548,18,476989152,66,16953,10215181,2,275733,576,120856460,457356600,2043265629,576,2090,3,1,2,2,2071,3,2032763378,2002664689,608734836,121880654,122044494,3,1,6336942072,73389,73389,2,2,2,121864274,18,3,464023,96916478,4738083,201914,16892,2032894450,3031338,116112783,9316
15152.92,690,262144,64,142095,9363835608,961,135,576,4771347,11,55768,67,27343,117508164,1154,1,4,842,176701201,18,705576984,66,24782,12756237,2,275733,576,179518500,715500409,2993603512,576,2090,3,1,2,2,2071,3,2978174948,2950696260,941415711,179812580,179960036,3,1,9349402224,73389,73389,2,2,2,179796200,18,3,600465,145916299,6407325,351649,24724,2978174948,4419698,173105231,9316
20192.54,890,262144,64,183398,12085703252,1223,164,576,6151226,11,71955,67,27343,117508164,1154,1,4,842,227986694,18,910912812,66,31902,16745164,2,275733,576,233083572,956806761,3856383012,576,2090,3,1,2,2,2071,3,3836473393,3807809364,1252682112,232121364,232268820,3,1,12070310960,73389,73389,2,2,2,232121368,18,3,727356,193412616,8097072,467843,31840,3836473393,5683383,224976716,9316
25217.95,1039,262144,64,218473,14396311726,1448,206,576,7245238,11,85856,67,27343,117508164,1154,1,4,842,271992874,18,1087196256,66,37935,19920148,2,275733,576,280406225,1232131075,4589484444,576,2090,3,1,2,2,2071,3,4565764350,4535163064,1592294180,276579226,276726682,3,1,14381267816,73389,73389,2,2,2,276562846,18,3,901497,242970141,9792838,505404,37873,4565764350,6739834,270604205,9316
30256.46,1216,262144,64,259860,17123250018,1718,245,576,8588224,11,102191,67,27343,117508164,1154,1,4,842,323650821,18,1293892868,66,45032,23162314,2,275733,576,332965748,1478991176,5450530060,576,2090,3,1,2,2,2071,3,5422326439,5393591699,1911771280,329023400,329168697,3,1,17107512896,73389,73389,2,2,2,328990636,18,3,1093166,289630895,11769994,602818,44973,5422326439,7985406,321183249,9316
35331.89,1393,262144,64,302273,19918031546,1991,287,576,9969807,11,118861,67,27343,117508164,1154,1,4,842,376465272,18,1505279104,66,52320,25796929,2,275733,576,387421802,1724662487,6333887423,576,2090,3,1,2,2,2071,3,6301089496,6273609641,2228548076,382747241,382878313,3,1,19901152628,73389,73389,2,2,2,382714477,18,3,1255249,338425407,13601768,708873,52258,6301089496,9260934,373804864,9316
40368.29,1617,262144,64,349414,23024091070,2296,330,576,11481519,11,137495,67,27343,117508164,1154,1,4,842,435554860,18,1741573508,66,60418,29308541,2,275733,576,449474375,1985033865,7316454657,576,2090,3,1,2,2,2071,3,7278569792,7250985454,2566787635,442475374,442655598,3,1,23007015544,73389,73389,2,2,2,442442610,18,3,1406685,388969690,15361703,815488,60358,7278569792,10666031,434095058,9316
45476.06,50867,262144,64,397382,26184348866,2608,384,576,13017261,11,156373,67,27343,117508164,1154,1,4,842,495432057,18,1980777512,66,68667,32876402,2,275733,576,509377916,2232869545,8318601756,576,2090,3,1,2,2,2071,3,8275672029,8246457774,2889955771,503243891,503391347,3,1,26168682364,73389,73389,2,2,2,503243895,18,3,1570564,439814137,17173148,918390,68607,8275672029,12098871,492181212,9316
51091.92,51067,262144,64,442349,29148572624,2894,432,576,14473931,11,174168,67,27343,117508164,1154,1,4,842,551786719,18,2206371532,66,76397,37873397,2,275733,576,568425734,2510446787,9257259609,576,2090,3,1,2,2,2071,3,9209314210,9179316301,3250788261,560215194,560444570,3,1,29130338152,73389,73389,2,2,2,560198814,18,3,1757806,493536187,19167896,1024049,76343,9209314210,13449882,549230626,9316
