timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5035.59,13,262144,64,58389,3847612542,117,585,900879,7,12784,67,295,125280612,1172,1,66,9023,608273,2,74576,585,13160075,13105715,1178588331,585,1012,7,1,2,1,2,2,977,1,1173791132,1128102429,45354705,87098815,87098815,2,1,3831626964,73389,73389,2,2,2,87082431,16,3,269205,10633459,2091128,50158,8957,1173791132,850721,11069789,10935
10040.14,13,262144,64,105202,6932514106,125,585,1256359,7,26004,67,295,126837126,1172,1,66,15904,611938,2,74576,585,25134836,13390061,2083899745,585,1012,7,1,2,1,2,2,977,1,2075697564,2029851760,76270992,157198847,157215231,2,1,6916749268,73389,73389,2,2,2,157198847,16,3,292282,11434046,2347898,58842,15838,2075697564,1197517,22787568,10935
15045.77,13,262144,64,152148,10025625186,133,585,1606807,7,39248,67,295,127886868,1172,1,66,22799,614701,2,74576,585,35761924,13549646,2991062619,585,1012,7,1,2,1,2,2,977,1,2979439004,2934083369,104867047,227507997,227524381,2,1,10010351868,73389,73389,2,2,2,227507997,16,3,305078,12204808,2536295,67524,22733,2979439004,1539283,33226541,10935
20050.97,13,262144,64,201427,13272959014,141,585,1963712,7,53070,67,295,129214128,1172,1,66,30038,617773,2,74576,585,47925873,13678198,3943475887,585,1012,7,1,2,1,2,2,977,1,3928269212,3883305270,138981117,301296144,301312528,2,1,13257030336,73389,73389,2,2,2,301296144,16,3,328294,12983609,2761086,76492,29972,3928269212,1887220,45166213,10935
25055.41,13,262144,64,252878,16663240334,150,585,2329405,7,67598,67,295,130541388,1172,1,66,37595,620419,2,74576,585,59228671,13723853,4937759548,585,1012,7,1,2,1,2,2,977,1,4918780316,4874388033,168332289,378348581,378364965,2,1,16647337564,73389,73389,2,2,2,378348581,16,3,345868,13763074,2968378,85785,37529,4918780316,2243620,56262003,10935
30060.08,13,262144,64,306217,20177712130,159,585,2711409,7,82638,67,295,131868648,1172,1,66,45435,627943,2,74576,585,70576279,13834143,5969245889,585,1012,7,1,2,1,2,2,977,1,5946384796,5901789659,196321198,458231132,458247516,2,1,20162169808,73389,73389,2,2,2,458231132,16,3,359578,14579657,3175484,94962,45369,5946384796,2616447,67402429,10935
35085.01,13,262144,64,353457,23290356246,167,585,3088034,7,96009,67,295,132930456,1172,1,66,52371,637441,2,74576,585,80409416,14525813,6881816005,585,1012,7,1,2,1,2,2,977,1,6855500188,6811633054,250888072,528988683,528988683,2,1,23274781156,73389,73389,2,2,2,528972299,16,3,377519,15567398,3364919,103955,52305,6855500188,2984079,77046355,10935
40115.34,13,262144,64,361367,23811665978,168,585,3276425,7,98228,67,295,133195908,1172,1,66,53534,701199,2,74576,585,83872813,18154845,7034947243,585,1012,7,1,2,1,2,2,977,1,7007936924,6964040807,352920448,540835142,540835142,2,1,23796746248,73389,73389,2,2,2,540835142,16,3,382557,17364734,3571912,110269,53468,7007936924,3166156,80303725,10935
45119.12,13,262144,64,373265,24595672604,170,585,3507670,7,101555,67,295,133461360,1172,1,66,55281,765309,2,74576,585,87733136,21432692,7264896677,585,1012,7,1,2,1,2,2,977,1,7236919708,7193201179,422110931,558642774,558659158,2,1,24580282056,73389,73389,2,2,2,558642774,16,3,388621,19020690,3796810,119488,55215,7236919708,3388182,83938897,10935
50141.96,13,262144,64,400000,26357333836,174,585,3829537,7,109092,67,295,133992264,1172,1,66,59207,796743,2,74576,585,94340161,23510657,7781383113,585,1012,7,1,2,1,2,2,977,1,7751387894,7708230843,502462190,598689466,598689466,2,1,26342336504,73389,73389,2,2,2,598689466,16,3,405937,20458000,4030580,127722,59141,7751387894,3701815,90312503,10935
