event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,610214,895439,285225,Total time spent analyzing index of patch parts
ArenaAllocBytes,132362240,207597568,75235328,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,32175,50543,18368,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,2262874,2262874,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,54,54,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,3,3,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,54,54,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CannotWriteToWriteBufferDiscard,126410,127528,1118,Number of stack traces dropped by query profiler or signal handler because pipe is full or cannot write to pipe.
CommonBackgroundExecutorTaskExecuteStepMicroseconds,849749149,878553434,28804285,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,1419,1958,539,Time spent resetting task for Common executor.
CompileExpressionsBytes,24576,24576,0,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,122085,122085,0,Total time spent for compilation of expressions to LLVM code.
CompileFunction,3,3,0,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,319616319,444759241,125142922,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,21009523826200,29240026384936,8230502558736,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlSlotsAcquired,25228,25228,0,Total number of CPU slots acquired
ConcurrencyControlSlotsAcquiredNonCompeting,376,495,119,Total number of noncompeting CPU slot acquired
ConcurrencyControlSlotsGranted,376,495,119,Number of CPU slot granted according to guarantee of 1 thread per query and for queries with setting 'use_concurrency_control' = 0
ConcurrencyControlWaitMicroseconds,20313,20313,0,Total time a query was waiting on resource requests for CPU slots.
ContextLock,1879802,2684605,804803,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,871925,1170638,298713,Context lock wait time in microseconds
CreatedReadBufferOrdinary,421238,592157,170919,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,4381473061,6140628563,1759155502,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,1590701,1775444,184743,Total time spent waiting for write syscall. This include writes to page cache.
FairPolicyDequeue,25262,25262,0,Number of dequeues invoked at all FairPolicyNodes
FileOpen,362373,364755,2382,Number of files opened.
FilterTransformPassedBytes,196522612,315261608,118738996,Number of bytes that passed the filter in the query
FilterTransformPassedRows,32822,35960,3138,Number of rows that passed the filter in the query
FilteringMarksWithPrimaryKeyMicroseconds,4842,6907,2065,Time spent filtering parts by PK.
FunctionExecute,107336793,149386628,42049835,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
GlobalThreadPoolExpansions,2870,4027,1157,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolJobWaitTimeMicroseconds,57551403,97040371,39488968,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
GlobalThreadPoolJobs,89099,131399,42300,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolLockWaitMicroseconds,2817830,4500080,1682250,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolShrinks,1130,2287,1157,"Counts the total number of times the global thread pool has shrunk by removing threads. This occurs when the number of idle threads exceeds max_thread_pool_free_size, indicating adjustments in the global thread pool size in response to decreased thread utilization."
GlobalThreadPoolThreadCreationMicroseconds,4970616,9623210,4652594,Total time spent waiting for new threads to start.
HTTPServerConnectionsCreated,11043,15795,4752,Number of created server HTTP connections
HTTPServerConnectionsExpired,10813,15476,4663,Number of expired server HTTP connections.
HTTPServerConnectionsPreserved,733,1020,287,Number of preserved server HTTP connections. Connection kept alive successfully
HTTPServerConnectionsReset,10810,15471,4661,Number of reset server HTTP connections. Server closes connection
HTTPServerConnectionsReused,730,1015,285,Number of reused server HTTP connections
HardPageFaults,19,19,0,"The number of hard page faults in query execution threads. High values indicate either that you forgot to turn off swap on your server, or eviction of memory pages of the ClickHouse binary during very high memory pressure, or successful usage of the 'mmap' read method for the tables data."
IOBufferAllocBytes,405396133750,474436364908,69040231158,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocs,1895732,2305633,409901,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
InitialQuery,11548,16496,4948,"Same as Query, but only counts initial queries (see is_initial_query)."
