arrival_ms,start_ms,end_ms,latency_ms,qid
468.0440,468.0939,58145.2422,57677.1483,np_default_87
728.5698,728.6190,13825.3376,13096.7186,p_default_330
1260.9588,1261.0210,51050.5566,49789.5356,np_default_87
2636.4702,2636.5311,17557.2925,14920.7614,p_default_330
4568.7949,4568.8552,18515.7224,13946.8672,p_default_330
5803.2893,5803.3434,50579.1036,44775.7602,np_default_87
6793.9940,6794.0582,50617.4577,43823.3995,np_default_87
26902.6650,26902.7110,66016.2209,39113.5099,np_default_87
27239.6955,27239.7415,66279.6940,39039.9525,np_default_87
33914.8357,33914.8863,115864.6292,81949.7429,np_default_87
37422.3513,37422.4015,118008.0587,80585.6572,np_default_87
51070.4381,51070.4757,57286.0037,6215.5280,p_default_330
54025.2325,54025.2927,147556.4833,93531.1907,np_default_87
55537.5902,55537.6520,149384.0582,93846.4062,np_default_87
59109.3264,59109.3763,154693.6483,95584.2720,np_default_87
62638.1902,62638.2578,166259.1351,103620.8773,np_default_87
65082.0176,65082.0667,169157.2722,104075.2055,np_default_87
65097.1058,65097.1302,168480.0178,103382.8876,np_default_87
70076.4373,70076.4865,179584.4637,109507.9772,np_default_87
70310.6248,70310.6751,82281.6601,11970.9850,p_default_330
70873.0331,70873.0960,179305.1014,108432.0054,np_default_87
72186.1057,72186.1722,90009.2308,17823.0585,p_default_330
78780.9439,78781.0052,181297.0605,102516.0553,np_default_87
79409.9383,79409.9852,181652.6711,102242.6860,np_default_87
79420.1020,79420.1218,107528.6911,28108.5693,p_default_330
80189.3335,80189.3713,107956.9123,27767.5410,p_default_330
82712.3001,82712.3395,181475.9175,98763.5780,np_default_87
83495.7456,83495.7930,110815.7507,27319.9577,p_default_330
87121.5224,87121.5885,112870.1006,25748.5121,p_default_330
87869.9261,87869.9893,186465.8499,98595.8606,np_default_87
93822.6110,93822.6744,114678.9231,20856.2487,p_default_330
108355.9329,108355.9942,194316.6412,85960.6471,np_default_87
109202.7633,109202.8227,194320.9827,85118.1600,np_default_87
110533.2787,110533.3413,194658.8177,84125.4764,np_default_87
116848.2978,116848.3518,123696.1019,6847.7501,p_default_330
124095.3637,124095.4094,198987.8100,74892.4007,np_default_87
124281.3807,124281.4190,198652.6597,74371.2407,np_default_87
131230.1554,131230.2233,138413.3188,7183.0955,p_default_330
137868.5802,137868.6449,145035.5971,7166.9523,p_default_330
145311.3404,145311.3950,245126.8902,99815.4952,np_default_87
151265.0365,151265.0902,159286.7484,8021.6582,p_default_330
152713.7330,152713.7936,258762.7343,106048.9407,np_default_87
155391.0007,155391.0405,262225.5423,106834.5018,np_default_87
157012.9130,157012.9755,165097.5040,8084.5284,p_default_330
168405.4247,168405.4761,175309.0462,6903.5700,p_default_330
171195.8616,171195.9060,267592.5566,96396.6506,np_default_87
181439.6957,181439.7486,191665.0848,10225.3362,p_default_330
183918.3646,183918.4284,290496.8144,106578.3859,np_default_87
184018.8711,184018.9286,194261.4079,10242.4793,p_default_330
187573.8233,187573.8884,291127.8946,103554.0062,np_default_87
199555.8830,199555.9340,205931.6842,6375.7502,p_default_330
201620.8673,201620.9326,328228.3746,126607.4420,np_default_87
203635.0625,203635.1263,324947.1755,121312.0493,np_default_87
207049.7899,207049.8430,214081.2519,7031.4089,p_default_330
211789.1525,211789.2342,342042.0422,130252.8080,np_default_87
212833.3393,212833.4044,223763.5978,10930.1934,p_default_330
217210.8311,217210.8934,236605.4355,19394.5421,p_default_330
218296.1239,218296.1842,348283.5158,129987.3316,np_default_87
219415.9693,219416.0332,240718.3682,21302.3350,p_default_330
225460.7668,225460.8347,248000.7442,22539.9095,p_default_330
226631.2749,226631.3307,248622.1516,21990.8208,p_default_330
232692.7981,232692.8590,350138.6355,117445.7764,np_default_87
235381.4214,235381.4838,250949.1570,15567.6732,p_default_330
235983.6211,235983.6862,356044.0454,120060.3592,np_default_87
240396.5141,240396.5824,360244.0493,119847.4669,np_default_87
253135.5795,253135.6204,364612.5741,111476.9537,np_default_87
255236.0204,255236.0716,261950.9242,6714.8526,p_default_330
