event,value,description
RecomputeWeight,1002,Number of weight recomputes triggered at all FairPolicyNodes
FairPolicyDequeue,7294268,Number of dequeues invoked at all FairPolicyNodes
SchedulerNodeUpdate,456,Number of SchedulerNodeInfo update due to query starting in the GREEDY module.
Query,235,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,235,"Same as Query, but only for SELECT queries."
InitialQuery,235,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,582,Count queries with all subqueries
SelectQueriesWithSubqueries,582,Count SELECT queries with all subqueries
QueryTimeMicroseconds,9306713984,Total time of all queries.
SelectQueryTimeMicroseconds,9306713984,Total time of SELECT queries.
FileOpen,2507,Number of files opened.
Seek,19974,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,201213,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,2032188363862,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,1,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,60,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
ReadCompressedBytes,2013707884442,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,100132091,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,6596719767065,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheHits,206862,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMisses,2415,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,374731,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,420778,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,44101750067,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
ArenaAllocChunks,14592,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocBytes,59768832,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
FunctionExecute,34165441,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
MarkCacheHits,208711,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,143,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
QueryConditionCacheHits,2929,Number of times an entry has been found in the query condition cache (and reading of marks can be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
QueryConditionCacheMisses,2999,Number of times an entry has not been found in the query condition cache (and reading of mark cannot be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
CreatedReadBufferOrdinary,209297,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,1173205485,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,9,Total time spent waiting for write syscall. This include writes to page cache.
NetworkReceiveElapsedMicroseconds,5796,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendElapsedMicroseconds,43675,"Total time spent waiting for data to send to network or sending data to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveBytes,249946,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendBytes,349539,"Total number of bytes send to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
GlobalThreadPoolExpansions,1267,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolThreadCreationMicroseconds,643285,Total time spent waiting for new threads to start.
GlobalThreadPoolLockWaitMicroseconds,313436,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolJobs,16857,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolJobWaitTimeMicroseconds,6884320,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolExpansions,16034,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolShrinks,15986,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,1650769,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LocalThreadPoolLockWaitMicroseconds,1090116,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolJobs,23790,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolBusyMicroseconds,216383115777,Total time threads have spent executing the actual work.
LocalThreadPoolJobWaitTimeMicroseconds,7288504,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
AnalyzePatchRangesMicroseconds,106979,Total time spent analyzing index of patch parts
CompileFunction,2,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompileExpressionsMicroseconds,76187,Total time spent for compilation of expressions to LLVM code.
CompileExpressionsBytes,16384,Number of bytes used for expressions compilation.
JoinBuildTableRowCount,476,Total number of rows in the build table for a JOIN operation.
JoinProbeTableRowCount,70400322531,Total number of rows in the probe table for a JOIN operation.
JoinResultRowCount,281601290124,Total number of rows in the result of a JOIN operation.
JoinReorderMicroseconds,1550,Total time spent executing JOIN reordering algorithm.
JoinOptimizeMicroseconds,281432,Total time spent executing JOIN plan optimizations.
QueryPlanOptimizeMicroseconds,502909,Total time spent executing query plan optimizations.
SelectedParts,2964,Number of data parts selected to read from a MergeTree table.
