event,value,description
RecomputeWeight,666,Number of weight recomputes triggered at all FairPolicyNodes
FairPolicyDequeue,4213515,Number of dequeues invoked at all FairPolicyNodes
SchedulerNodeUpdate,280,Number of SchedulerNodeInfo update due to query starting in the GREEDY module.
Query,145,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,145,"Same as Query, but only for SELECT queries."
InitialQuery,145,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,359,Count queries with all subqueries
SelectQueriesWithSubqueries,359,Count SELECT queries with all subqueries
QueryTimeMicroseconds,4908329125,Total time of all queries.
SelectQueryTimeMicroseconds,4908329125,Total time of SELECT queries.
FileOpen,1934,Number of files opened.
Seek,13346,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,132313,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,1249440208226,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,1,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,60,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
ReadCompressedBytes,1238389053835,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,61551127,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,4054994919407,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheHits,124621,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMisses,1847,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,188332,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,254248,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,26702212650,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
ArenaAllocChunks,8960,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocBytes,36700160,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
FunctionExecute,21050814,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
MarkCacheHits,125902,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,143,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
QueryConditionCacheHits,1785,Number of times an entry has been found in the query condition cache (and reading of marks can be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
QueryConditionCacheMisses,1855,Number of times an entry has not been found in the query condition cache (and reading of mark cannot be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
CreatedReadBufferOrdinary,126488,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,664317741,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,9,Total time spent waiting for write syscall. This include writes to page cache.
NetworkReceiveElapsedMicroseconds,3286,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendElapsedMicroseconds,22796,"Total time spent waiting for data to send to network or sending data to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveBytes,154075,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendBytes,217137,"Total number of bytes send to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
GlobalThreadPoolExpansions,1238,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolThreadCreationMicroseconds,633549,Total time spent waiting for new threads to start.
GlobalThreadPoolLockWaitMicroseconds,114999,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolJobs,11045,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolJobWaitTimeMicroseconds,4828253,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolExpansions,10312,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolShrinks,10264,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,1014205,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LocalThreadPoolLockWaitMicroseconds,387562,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolJobs,14197,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolBusyMicroseconds,131894662183,Total time threads have spent executing the actual work.
LocalThreadPoolJobWaitTimeMicroseconds,3723523,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
