event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,49659,106979,57320,Total time spent analyzing index of patch parts
ArenaAllocBytes,36700160,59768832,23068672,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,8960,14592,5632,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,157,157,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,2,2,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CommonBackgroundExecutorTaskExecuteStepMicroseconds,14596,16942,2346,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,132,140,8,Time spent resetting task for Common executor.
CompileExpressionsBytes,16384,16384,0,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,76187,76187,0,Total time spent for compilation of expressions to LLVM code.
CompileFunction,2,2,0,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,61551127,100132091,38580964,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,4054994919407,6596719767065,2541724847658,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlDownscales,11263,19088,7825,Total number of CPU downscaling events
ConcurrencyControlPreemptedMicroseconds,8612211740,17758658461,9146446721,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptions,201273,389824,188551,Total number of CPU preemptions
ConcurrencyControlSlotsAcquired,11263,19088,7825,Total number of CPU slots acquired
ConcurrencyControlUpscales,11263,19088,7825,Total number of CPU upscaling events
ConcurrencyControlWaitMicroseconds,4469689184,8725634304,4255945120,Total time a query was waiting on resource requests for CPU slots.
ContextLock,256933,412266,155333,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,4512,8890,4378,Context lock wait time in microseconds
CreatedReadBufferOrdinary,126488,209297,82809,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,664317741,1173205485,508887744,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,9,9,0,Total time spent waiting for write syscall. This include writes to page cache.
FairPolicyDequeue,4213515,7294268,3080753,Number of dequeues invoked at all FairPolicyNodes
FileOpen,1934,2507,573,Number of files opened.
FilteringMarksWithPrimaryKeyMicroseconds,6573,10804,4231,Time spent filtering parts by PK.
FunctionExecute,21050814,34165441,13114627,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
GlobalThreadPoolExpansions,1238,1267,29,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolJobWaitTimeMicroseconds,4828253,6884037,2055784,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
GlobalThreadPoolJobs,11045,16852,5807,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolLockWaitMicroseconds,114999,313425,198426,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolThreadCreationMicroseconds,633549,643285,9736,Total time spent waiting for new threads to start.
HTTPServerConnectionsCreated,57,89,32,Number of created server HTTP connections
HTTPServerConnectionsExpired,38,55,17,Number of expired server HTTP connections.
HTTPServerConnectionsPreserved,140,228,88,Number of preserved server HTTP connections. Connection kept alive successfully
HTTPServerConnectionsReset,4,5,1,Number of reset server HTTP connections. Server closes connection
HTTPServerConnectionsReused,106,178,72,Number of reused server HTTP connections
IOBufferAllocBytes,26702212650,44095458233,17393245583,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocs,254248,420772,166524,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
InitialQuery,145,234,89,"Same as Query, but only counts initial queries (see is_initial_query)."
