timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5009.76,0,262144,64,60978,4018274658,2,4887095,226,7,7,1594,433,0,576,401899,0,4,23964,10,107541648,1154,1,4,268,75854033,4,303351564,9,10782,1697,2,40,576,23354481,14022,1303303911,576,128,0,3,1,2,2,672,3,1297440740,1268232154,29882556,77050278,77066662,3,1,4006614488,73389,73389,2,2,2,77050282,4,3,56005,988728,293114,16483,10773,1297440740,385416,23062820,1411
10014.94,0,262144,64,114390,7536866952,2,7559609,489,7,7,1594,793,1,576,742898,0,4,45005,10,111957804,1154,1,4,268,142451654,4,569677336,9,20051,3340,2,40,576,44759916,18398,2424880832,576,128,0,3,1,2,2,672,3,2413918958,2376979462,55374382,144656512,144672896,3,1,7521286688,73389,73389,2,2,2,144640132,4,3,66733,1839863,450956,30990,20042,2413918958,711908,44311921,1411
15020.13,2,262144,64,172077,11338569750,3,10512089,711,9,9,1594,1151,1,576,1146082,0,4,67646,11,117218580,1154,1,4,268,214156728,4,856562268,10,30262,6420,2,47,576,68794066,77206,3664452701,576,128,0,3,1,2,2,672,3,3647869903,3576748276,84103901,217584499,217600883,3,1,11314393980,73389,73389,2,2,2,217584503,4,3,82872,2869717,671183,47317,30251,3647869903,1098765,68126649,1411
20024.72,3,262144,64,217244,14316528140,5,15365867,877,10,10,1594,1445,1,576,1458840,0,4,85393,11,117218580,1154,1,4,268,270378896,4,1081386168,10,38409,8246,2,47,576,87506355,112059,4650546736,576,128,0,3,1,2,2,672,3,4629499311,4517750131,108913666,274596762,274629530,3,1,14279031656,73389,73389,2,2,2,274596766,4,3,90921,3660079,835046,60643,38397,4629499311,1398197,86675512,1411
25029.09,3,262144,64,260876,17190811940,10,22771987,1066,15,15,1594,1730,2,576,1768287,0,4,102539,12,117508164,1154,1,4,268,324667073,4,1298603600,11,46357,10101,2,52,576,106097930,139074,5612926652,576,128,0,3,1,2,2,672,3,5587510622,5426568176,136325215,329619257,329635641,3,1,17140201396,73389,73389,2,2,2,329619261,4,3,108994,4449517,1039016,73361,46340,5587510622,1694926,105064432,1411
30034.76,4,262144,64,307647,20272152570,11,26934567,1243,15,15,1594,2031,2,576,2090187,0,4,120865,12,117508164,1154,1,4,268,382661872,4,1530647488,11,54938,11758,2,52,576,124682878,158205,6654033084,576,128,0,3,1,2,2,672,3,6623943055,6401971437,160403495,388548892,388548892,3,1,20204542416,73389,73389,2,2,2,388548896,4,3,118147,5263745,1205744,86624,54921,6623943055,2003563,123483561,1411
35038.96,4,262144,64,348807,22985360460,12,30079818,1458,15,15,1594,2298,2,576,2342747,0,4,136985,12,117508164,1154,1,4,268,433619516,4,1734478064,11,62601,12480,2,52,576,137788271,159297,7582240697,576,128,0,3,1,2,2,672,3,7548074587,7262102350,177679506,440314845,440331229,3,1,22896371972,73389,73389,2,2,2,440314849,4,3,118963,5902778,1325735,95983,62584,7548074587,2246764,136469543,1411
40042.81,4,262144,64,384359,25327905302,15,35803822,1663,17,17,1594,2528,2,585,2555262,2,4,150891,12,118949768,1172,1,4,268,477734111,4,1910871872,11,69235,12966,2,52,585,148608111,159998,8385862509,583,130,2,3,1,2,2,672,3,8348177636,8003786105,195072366,485090036,485090036,3,1,25224681904,73389,73389,2,2,2,485090040,4,3,124379,6432559,1417571,103593,69216,8348177636,2451669,147198340,1427
45046.28,4,262144,64,410119,27024739852,15,38052343,1873,17,17,1594,2698,2,585,2704342,2,4,160932,12,118949768,1172,1,4,268,509458404,4,2037833616,11,74110,13176,2,52,585,155968780,160134,8975731220,583,130,2,3,1,2,2,672,3,8935467510,8542578418,205271960,517431103,517431103,3,1,26906417388,73389,73389,2,2,2,517431107,4,3,126341,6805374,1478110,109017,74091,8935467510,2595325,154498527,1427
50056.10,37,262144,64,456980,30113645964,16,44862577,2259,30,30,1594,2996,6,594,3257888,2,4,179344,18,120448283,1190,1,4,268,567627157,4,2270444204,17,82970,74000,2,1016,594,180689487,3988458,10048287874,592,143,2,3,1,2,2,672,3,10003033495,9522451810,242766283,576340666,576373434,3,1,29968862696,73389,73389,2,2,2,576324286,4,3,165364,10184812,2126012,136611,82938,10003033495,3121277,178570259,1520
