event,value,description
Query,84,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,84,"Same as Query, but only for SELECT queries."
InitialQuery,84,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,204,Count queries with all subqueries
SelectQueriesWithSubqueries,204,Count SELECT queries with all subqueries
FailedQuery,2,"Number of total failed queries, both internal and user queries."
FailedSelectQuery,2,"Same as FailedQuery, but only for SELECT queries."
QueryTimeMicroseconds,5256749048,Total time of all queries.
SelectQueryTimeMicroseconds,5256749048,Total time of SELECT queries.
FileOpen,316,Number of files opened.
Seek,5309,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,128878,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,554650017347,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,1,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,60,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
ReadCompressedBytes,549933261440,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,27144143,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,1788598333920,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheHits,48788,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMisses,227,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,194535,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,98529,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,10757789173,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
ArenaAllocChunks,5248,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocBytes,21495808,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
FunctionExecute,9517090,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
MarkCacheHits,48830,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,22,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
QueryConditionCacheHits,156,Number of times an entry has been found in the query condition cache (and reading of marks can be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
QueryConditionCacheMisses,172,Number of times an entry has not been found in the query condition cache (and reading of mark cannot be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
CreatedReadBufferOrdinary,49041,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,1401133483,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,7,Total time spent waiting for write syscall. This include writes to page cache.
NetworkReceiveElapsedMicroseconds,73118,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendElapsedMicroseconds,37485,"Total time spent waiting for data to send to network or sending data to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveBytes,86098,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendBytes,33670,"Total number of bytes send to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
GlobalThreadPoolExpansions,4898,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolShrinks,305,"Counts the total number of times the global thread pool has shrunk by removing threads. This occurs when the number of idle threads exceeds max_thread_pool_free_size, indicating adjustments in the global thread pool size in response to decreased thread utilization."
GlobalThreadPoolThreadCreationMicroseconds,53587638,Total time spent waiting for new threads to start.
GlobalThreadPoolLockWaitMicroseconds,695458,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolJobs,6487,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolJobWaitTimeMicroseconds,234831858,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolExpansions,5814,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolShrinks,2855,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,61953371,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LocalThreadPoolLockWaitMicroseconds,7944888160,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolJobs,4482518,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolBusyMicroseconds,335620038501,Total time threads have spent executing the actual work.
LocalThreadPoolJobWaitTimeMicroseconds,576166819,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
AnalyzePatchRangesMicroseconds,1073029,Total time spent analyzing index of patch parts
CompileFunction,2,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompileExpressionsMicroseconds,298424,Total time spent for compilation of expressions to LLVM code.
CompileExpressionsBytes,16384,Number of bytes used for expressions compilation.
JoinBuildTableRowCount,152,Total number of rows in the build table for a JOIN operation.
JoinProbeTableRowCount,22480775262,Total number of rows in the probe table for a JOIN operation.
JoinResultRowCount,89923101048,Total number of rows in the result of a JOIN operation.
JoinReorderMicroseconds,823,Total time spent executing JOIN reordering algorithm.
JoinOptimizeMicroseconds,4571368,Total time spent executing JOIN plan optimizations.
QueryPlanOptimizeMicroseconds,5324168,Total time spent executing query plan optimizations.
SelectedParts,164,Number of data parts selected to read from a MergeTree table.
SelectedPartsTotal,164,Number of total data parts before selecting which ones to read from a MergeTree table.
SelectedRanges,164,Number of (non-adjacent) ranges in all data parts selected to read from a MergeTree table.
SelectedMarks,6017898,Number of marks (index granules) selected to read from a MergeTree table.
SelectedMarksTotal,6017898,Number of total marks (index granules) before selecting which ones to read from a MergeTree table.
SelectedRows,36469306287,Number of rows SELECTed from all tables.
SelectedBytes,1787060999867,Number of bytes (uncompressed; for columns as they stored in memory) SELECTed from all tables.
RowsReadByMainReader,36469469902,Number of rows read from MergeTree tables by the main reader (after PREWHERE step).
RowsReadByPrewhereReaders,36469912270,Number of rows read from MergeTree tables (in total) by prewhere readers.
LoadedDataParts,15,Number of data parts loaded by MergeTree tables during initialization.
LoadedDataPartsMicroseconds,3266049,Microseconds spent by MergeTree tables for loading data parts during initialization.
