timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5012.41,2,262144,64,53038,3495059176,30,30,581943,123,585,536711,7,11283,33,84,125280612,1172,1,32,8203,26810,2,8256,585,8996834,1623207,1074871712,585,519,2,1,2,2,658,1,1070768540,1025050685,25756254,79085768,79085768,2,1,3479052896,73389,73389,2,2,2,79069384,14,3,326771,1904336,1398256,16136,8171,1070768540,520575,7597949,5444
10019.98,2,262144,64,71674,4722770986,30,30,898684,126,585,777809,7,16532,33,84,125546064,1172,1,32,10942,91073,2,8256,585,15214493,5460480,1435332486,585,519,2,1,2,2,658,1,1429774748,1384001529,69325036,106985056,106985056,2,1,4707342464,73389,73389,2,2,2,106985056,14,3,345728,3706650,1791124,25667,10910,1429774748,752142,13423670,5444
15024.71,2,262144,64,113523,7480517814,30,30,1981603,133,585,1126584,7,28329,33,84,126837126,1172,1,32,17090,104615,2,8256,585,23651453,7080280,2244227436,585,519,2,1,2,2,658,1,2235605404,2190055308,103618369,169653673,169670057,2,1,7464761612,73389,73389,2,2,2,169653673,14,3,363408,4815875,2053232,38841,17058,2235605404,1087743,21598529,5444
20028.54,2,262144,64,177227,11678227898,30,30,3538818,144,585,1593849,7,46254,33,84,128417772,1172,1,32,26449,105031,2,8256,585,34481653,7147000,3475624707,585,519,2,1,2,2,658,1,3462308252,3417110026,131380578,265068639,265085023,2,1,11663020116,73389,73389,2,2,2,265068639,14,3,383672,5707413,2271132,49043,26417,3462308252,1544806,32210987,5444
25033.14,2,262144,64,237535,15652146994,30,30,5020869,154,585,2052907,7,63303,33,84,130010484,1172,1,32,35309,112720,2,8256,585,44434839,7629548,4641367215,585,519,2,1,2,2,658,1,4623606172,4578836083,174551402,355374400,355390784,2,1,15636473600,73389,73389,2,2,2,355374400,14,3,400349,6688595,2495631,59596,35277,4623606172,1993311,41940243,5444
30038.06,2,262144,64,299328,19723845558,30,30,5772461,164,585,2500653,7,80649,33,84,131603196,1172,1,32,44388,113085,2,8256,585,55025062,7654035,5835880300,585,519,2,1,2,2,658,1,5813608860,5769136475,200424489,447928643,447928643,2,1,19708860292,73389,73389,2,2,2,447928643,14,3,431444,7542356,2710652,69287,44356,5813608860,2431366,52315664,5444
35047.82,2,262144,64,330964,21808291438,30,30,6555544,170,585,2803246,7,89661,33,84,132399552,1172,1,32,49034,135536,2,8256,585,61686921,9649186,6447206005,585,519,2,1,2,2,658,1,6422569372,6378468151,280013426,495302413,495302413,2,1,21793306172,73389,73389,2,2,2,495302413,14,3,444701,8937254,2968374,79660,49002,6422569372,2723586,58719476,5444
40054.02,2,262144,64,349592,23035732346,30,30,6960361,173,585,3039127,7,94901,33,84,132930456,1172,1,32,51771,172161,2,8256,585,67825916,13384212,6807405233,585,519,2,1,2,2,658,1,6781313436,6737257803,413669407,523183158,523199542,2,1,23020058952,73389,73389,2,2,2,523183158,14,3,460519,10737198,3287466,89265,51739,6781313436,2949862,64539538,5444
45061.48,2,262144,64,368525,24283427186,30,30,7328290,176,585,3274760,7,100235,33,84,133461360,1172,1,32,54551,211325,2,8256,585,74910979,17858838,7173262300,585,519,2,1,2,2,658,1,7145693596,7101977532,475736617,551553264,551553264,2,1,24268343616,73389,73389,2,2,2,551553264,14,3,475369,12457675,3633824,100463,54519,7145693596,3174297,71279683,5444
50069.57,2,262144,64,387647,25543254944,30,30,7709827,179,585,3506670,7,105615,33,84,133726812,1172,1,32,57360,266489,2,8256,585,80613117,21393281,7542933370,585,519,2,1,2,2,658,1,7513874844,7470266383,511018328,580179481,580195865,2,1,25527897164,73389,73389,2,2,2,580179481,14,3,483080,14252050,3921715,110428,57328,7513874844,3396242,76694304,5444
