timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5008.16,15,262144,64,52527,3462233910,2,4498919,209,7,7,2622,377,0,576,360328,0,1,20650,9,109749726,1154,1,4,264,65391080,4,261435196,8,9344,1892,2,30,576,19675021,2780,1128467241,576,190,0,3,1,2,2,594,3,1123400830,1093023784,25619699,66374831,66391215,3,1,3451491244,73389,73389,2,2,2,66374835,3,3,38934,871116,246947,14473,9335,1123400830,345855,19428795,1379
10012.79,17,262144,64,106796,7037316338,2,7277013,465,7,7,2622,738,0,576,703921,0,1,42030,9,117218580,1154,1,4,264,133080036,4,532255672,8,18687,3629,2,30,576,40964641,5026,2257233224,576,190,0,3,1,2,2,594,3,2247039387,2218701279,51099772,135125786,135125786,3,1,7026540904,73389,73389,2,2,2,135125790,3,3,49662,1730481,443314,29364,18678,2247039387,674557,40522593,1379
15017.23,19,262144,64,164740,10854522562,2,9760251,669,8,8,2622,1112,1,576,1098844,0,1,64826,10,117508164,1154,1,4,264,205279672,4,821118688,9,28650,6930,2,40,576,64833594,52078,3465485068,576,190,0,3,1,2,2,594,3,3449789174,3420605235,79147768,208521161,208521161,3,1,10843100404,73389,73389,2,2,2,208521165,3,3,61790,2741652,669795,46816,28640,3449789174,1052028,64166062,1379
20020.98,20,262144,64,212410,13997108794,4,15202977,831,9,9,2622,1419,1,576,1423912,0,1,83618,10,117508164,1154,1,4,264,264799510,4,1059068676,9,36976,8718,2,40,576,83612909,63799,4472660887,576,190,0,3,1,2,2,594,3,4452405552,4410935825,104716317,268908084,268908084,3,1,13983220400,73389,73389,2,2,2,268908088,3,3,70375,3556786,840545,60525,36965,4452405552,1363387,82775792,1379
25025.72,20,262144,64,252156,16615766484,5,20165485,1000,9,9,2622,1679,2,576,1684302,0,1,99252,10,117508164,1154,1,4,264,314252408,4,1256944880,9,44071,10135,2,40,576,98931724,69638,5330452885,576,190,0,3,1,2,2,594,3,5306326643,5238057264,126084218,319081359,319081359,3,1,16592230700,73389,73389,2,2,2,319081363,3,3,83199,4220778,989417,71535,44060,5306326643,1612767,97945940,1379
30029.72,20,262144,64,292797,19294575078,5,23513717,1168,9,9,2622,1937,2,576,1947457,0,1,115232,10,117508164,1154,1,4,264,364865935,4,1459463740,9,51268,11750,2,40,576,114472118,75061,6204443590,576,190,0,3,1,2,2,594,3,6176390182,6083830299,146050831,370415295,370415295,3,1,19261595372,73389,73389,2,2,2,370415299,3,3,92512,4886665,1122992,82493,51257,6176390182,1864964,113352665,1379
35033.40,21,262144,64,326333,21502875728,6,29291137,1288,9,9,2622,2154,2,576,2165111,0,1,128271,10,117508164,1154,1,4,264,406140015,4,1624560060,9,57470,12575,2,40,576,125576092,76486,6955618673,576,190,0,3,1,2,2,594,3,6924385362,6782908222,163789427,412639344,412639344,3,1,21457245920,73389,73389,2,2,2,412639348,3,3,96089,5418601,1223373,90903,57459,6924385362,2074208,124356997,1379
40036.51,21,262144,64,354597,23365658520,7,32904921,1447,13,13,2622,2335,2,576,2350620,0,1,139316,10,117508164,1154,1,4,264,441116543,4,1764466172,9,62784,13098,2,40,576,134624855,77670,7602840921,576,190,0,3,1,2,2,594,3,7568659883,7374565259,177171373,448137761,448137761,3,1,23303163604,73389,73389,2,2,2,448137765,3,3,102097,5871080,1311447,98567,62769,7568659883,2252053,133318192,1379
45039.25,21,262144,64,378444,24937689804,11,39366532,1666,13,13,2622,2489,2,576,2494417,0,1,148656,10,117508164,1154,1,4,264,470641352,4,1882500820,9,67377,13382,2,40,576,141829875,77875,8161728674,576,190,0,3,1,2,2,594,3,8125110130,7874751528,191403831,478051837,478051837,3,1,24858695556,73389,73389,2,2,2,478051841,3,3,105360,6230925,1371722,104329,67362,8125110130,2390088,140463225,1379
50043.24,34,262144,64,409323,26971818358,11,42350520,1921,24,24,2622,2691,3,612,2812395,2,1,160722,17,123703912,1226,1,4,264,508756571,4,2035026284,16,73604,35224,2,3911,612,155075079,1455353,8915700862,610,199,2,3,1,2,2,594,3,8875707433,8523579432,210040281,516625043,516625043,3,1,26864502268,73389,73389,2,2,2,516625047,3,3,139830,7799664,1752553,119241,73578,8875707433,2693154,153327663,1449
55047.19,39,262144,64,437865,28853182138,25,66100043,2177,27,27,2622,2874,4,612,3077947,2,1,171812,17,123703912,1226,1,4,264,543843669,4,2175374676,16,79400,56232,2,3911,612,166418566,2400367,9624208140,610,199,2,3,1,2,2,594,3,9581090123,9125067694,247132451,552191155,552207539,3,1,28713940092,73389,73389,2,2,2,552191159,3,3,163968,8974126,1993385,130973,79371,9581090123,2946974,164431611,1449
