timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5009.71,78,262144,64,90527,5965138484,23,31581933,530,26,26,916,628,14,576,1094929,0,9,35564,29,12,114757116,1154,1,4,7902,112679492,8,450717968,28,15883,145827,2,19603,576,50619529,7337702,1918084540,576,1126,0,3,1,2,2,8886,3,1908970271,1881202931,93711899,114514775,114514775,3,1,5954768332,73389,73389,2,2,2,114514779,16,1,3,142681,6414507,1510159,58471,15855,1908970271,1036458,49112762,6438
10013.58,78,262144,64,133839,8819633232,23,33529402,686,26,26,916,910,14,576,1323017,0,9,52639,29,12,115070832,1154,1,4,7902,166743859,8,666910672,28,23336,146192,2,19603,576,63053795,7338133,2822316342,576,1126,0,3,1,2,2,8886,3,2809232768,2780016250,108992546,169397562,169397562,3,1,8808673256,73389,73389,2,2,2,169397566,16,1,3,145446,6983702,1601046,67614,23308,2809232768,1255403,61456882,6438
15017.52,78,262144,64,166523,10973533064,24,37336661,806,27,27,916,1121,14,576,1498756,0,9,65491,29,12,115384548,1154,1,4,7902,207412003,8,829648012,28,29089,146534,2,19603,576,72619584,7338480,3520130467,576,1126,0,3,1,2,2,8886,3,3503987036,3459475716,123076381,210711855,210728239,3,1,10957016492,73389,73389,2,2,2,210711859,16,1,3,152400,7433586,1666957,74755,29060,3503987036,1424001,70956793,6438
20024.02,90,262144,64,197188,12992802226,29,45021080,1034,45,45,916,1321,14,576,1725063,0,9,77492,29,12,116904864,1154,1,4,7902,245423622,8,981241788,28,34706,153790,2,19603,576,83749187,8026094,4196876246,576,1126,0,3,1,2,2,8886,3,4177690783,4098365483,143465724,249333583,249366351,3,1,12964494380,73389,73389,2,2,2,249317203,16,1,3,196185,8370131,1927483,84218,34659,4177690783,1640845,81824471,6438
25029.97,169,262144,64,264063,17400112734,34,58809999,1566,45,45,916,1755,33,576,2641260,0,9,103777,29,12,117508164,1154,1,4,7902,328614498,8,1314263976,28,46676,292378,2,19603,576,124514408,15444128,5646321304,576,1126,0,3,1,2,2,8886,3,5620156006,5490604699,208690413,333743707,333776475,3,1,17354672796,73389,73389,2,2,2,333743711,16,1,3,222210,14662582,2972146,130426,46629,5620156006,2510834,121548861,6438
30036.27,207,262144,64,305799,20152010508,43,73042516,1894,55,55,916,2021,41,576,3152653,0,9,120179,29,12,117508164,1154,1,4,7902,380536822,8,1521953556,28,54268,344815,2,19603,576,147055458,18943173,6565879691,576,1126,0,3,1,2,2,8886,3,6535383436,6360453488,250709779,386412495,386478031,3,1,20093449772,73389,73389,2,2,2,386412499,16,1,3,263523,17806981,3618030,157071,54211,6535383436,2995582,143443205,6438
35042.62,267,262144,64,370091,24388354422,45,82258629,2397,57,57,916,2437,56,621,4088000,2,9,145372,29,12,125144289,1244,1,4,7902,460223226,8,1840699240,28,66257,485478,2,19603,621,186634397,26454173,8015016796,619,1213,2,3,1,2,2,8886,3,7977560607,7703194884,310479104,467309769,467309769,3,1,24300108020,73389,73389,2,2,2,467309773,16,1,3,287418,24243853,4604859,205887,66198,7977560607,3882113,182037141,6884
40045.92,287,262144,64,412113,27156944272,56,97898098,2744,58,58,916,2708,59,630,4576716,2,9,161724,29,12,127210605,1262,1,4,7902,511924103,8,2047631752,28,74597,531022,2,19603,630,207465090,29224952,9021440556,628,1222,2,3,1,2,2,8886,3,8979354950,8585680262,351471330,519870790,519870790,3,1,27033281112,73389,73389,2,2,2,519870794,16,1,3,303979,26976432,5038917,227183,74537,8979354950,4349533,202436495,6926
45049.57,287,262144,64,439523,28963457670,56,99718057,2929,58,58,916,2885,59,630,4755634,2,9,172391,29,12,127210605,1262,1,4,7902,545627660,8,2182445944,28,80233,531278,2,19603,630,215179925,29226003,9699797888,628,1222,2,3,1,2,2,8886,3,9654761932,9162696566,361714414,554064964,554064964,3,1,28811378160,73389,73389,2,2,2,554064968,16,1,3,306639,27413900,5133481,233251,80173,9654761932,4522383,210056755,6926
50053.39,292,262144,64,471794,31089844692,56,101406775,3168,71,71,916,3090,74,630,5022295,2,9,184938,29,12,127210605,1262,1,4,7902,585324191,8,2341232144,28,86787,540785,2,19603,630,226690026,29954337,10494115847,628,1222,2,3,1,2,2,8886,3,10445582112,9842035345,376634588,594279814,594279814,3,1,30902550360,73389,73389,2,2,2,594279818,16,1,3,353951,28481044,5454086,243973,86714,10445582112,4778322,221247339,6926
