timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5007.12,1,262144,64,31858,2099839492,0,2411538,119,3,3,6325,246,0,576,230312,0,4,12499,6,0,104742336,1154,1,0,4,232,39544090,3,158111764,5,5761,267,2,21,576,0,0,9395091,483,695051513,0,576,53,0,3,1,2,2,562,3,691993293,664257392,12623875,40140678,40157062,3,1,2087315288,73389,73389,2,2,2,40140682,4,3,41455,508176,162434,6836,5756,691993293,223476,9232670,998
10013.94,21,262144,64,69306,4567183560,5,10441623,428,19,19,6325,507,3,576,585669,0,4,27262,18,16,112211190,1154,1,0,4,232,86209202,3,344707264,17,12303,55849,2,2838,576,0,0,26232244,2030734,1481995827,0,576,53,0,3,1,2,2,562,3,1475271756,1441084483,40920814,87588176,87604560,3,1,4553733216,73389,73389,2,2,2,87571796,4,3,89143,2522397,603181,23068,12282,1475271756,562601,25627883,998
15018.27,75,262144,64,126703,8347612510,10,23925139,901,20,20,6325,861,7,576,1321457,0,4,49816,18,16,116904864,1154,1,0,4,232,157718965,3,630875860,17,22159,134407,2,2838,576,0,0,61058488,7768396,2679101885,0,576,53,0,3,1,2,2,562,3,2666591252,2631900560,97621702,160277324,160277324,3,1,8333568912,73389,73389,2,2,2,160260944,4,3,115569,7392422,1443610,60893,22137,2666591252,1260564,59614539,998
20024.84,128,262144,64,174768,11516676696,18,38733286,1276,30,30,6325,1175,15,576,1908584,0,4,68778,18,16,117508164,1154,1,0,4,232,217807617,3,870971984,17,30533,205201,2,2838,576,0,0,88493879,12164786,3691990783,0,576,53,0,3,1,2,2,562,3,3674626378,3630332231,146436568,221169992,221169992,3,1,11500839616,73389,73389,2,2,2,221169996,4,3,154876,11200082,2174176,90950,30501,3674626378,1817634,86319364,998
25031.20,194,262144,64,241125,15888108996,19,49686081,1794,32,32,6325,1609,37,576,2776658,0,4,94900,18,16,117508164,1154,1,0,4,232,300570559,3,1201894516,17,42060,325777,2,2838,576,0,0,129055705,19169226,5089031446,0,576,53,0,3,1,2,2,562,3,5064910569,5006938865,208226304,305170960,305203728,3,1,15868889952,73389,73389,2,2,2,305170964,4,3,192855,17029492,3227412,135449,42026,5064910569,2641209,125830943,998
30036.90,207,262144,64,274977,18120159654,30,64485871,2080,32,32,6325,1825,37,576,3069638,0,4,108217,18,16,117508164,1154,1,0,4,232,342640910,3,1370563640,17,48112,347897,2,2838,576,0,0,143703742,20778600,5826533294,0,576,53,0,3,1,2,2,562,3,5799039743,5712786461,240435643,347922283,347938667,3,1,18091958748,73389,73389,2,2,2,347922287,4,3,203655,18571353,3489768,148329,48078,5799039743,2921309,140217018,998
35041.72,207,262144,64,302395,19926569908,30,66137568,2267,32,32,6325,2003,37,576,3230209,0,4,118960,18,16,117508164,1154,1,0,4,232,376554845,3,1506219380,17,53289,348116,2,2838,576,0,0,151668215,20778914,6456559685,0,576,53,0,3,1,2,2,562,3,6426323274,6286525522,250687979,382354025,382354025,3,1,19882409332,73389,73389,2,2,2,382354029,4,3,210949,18975213,3556478,154172,53255,6426323274,3076037,148114797,998
40045.49,210,262144,64,335188,22087118458,43,81200817,2505,45,45,6325,2215,39,576,3490820,0,4,131742,19,16,117508164,1154,1,0,4,232,417018610,3,1668074440,18,59549,367525,2,2850,576,0,0,163202258,21497318,7215703805,0,576,53,0,3,1,2,2,562,3,7182094968,6972947613,278959938,423461803,423478187,3,1,22020013788,73389,73389,2,2,2,423461807,4,3,250814,20023871,3867324,163816,59502,7182094968,3327004,159338391,998
45049.83,210,262144,64,364866,24043510302,44,85196534,2634,46,46,6325,2406,39,576,3682986,0,4,143310,19,16,117508164,1154,1,0,4,232,453587346,3,1814349384,18,65483,367833,2,2850,576,0,0,171623240,21497560,7939925613,0,576,53,0,3,1,2,2,562,3,7903208050,7597271723,292106443,460583951,460583951,3,1,23950365484,73389,73389,2,2,2,460583955,4,3,257110,20483514,3948148,170364,65435,7903208050,3512622,167678703,998
50058.41,277,262144,64,419607,27651576942,47,93696074,3091,57,57,6325,2755,62,576,4465269,0,4,164618,19,16,117508164,1154,1,0,4,232,521082624,3,2084265712,18,76104,496944,2,2850,576,0,0,203456560,27473077,9230966180,0,576,53,0,3,1,2,2,562,3,9188177418,8744945505,340912072,529178814,529211582,3,1,27516446392,73389,73389,2,2,2,529162434,4,3,300265,25758644,4850556,212997,76045,9188177418,4252272,198608516,998
55068.36,336,262144,64,476284,31385718176,56,102335640,3593,78,78,6325,3154,89,621,5351011,2,4,186900,38,16,132021475,1251,1,1202,4,232,591599349,3,2366397396,37,87378,614382,33,5526,621,1202,142,238741121,34426696,10600789834,8,619,142,2,3,1,2,2,562,3,10551514627,9935335385,450649786,600037902,600037902,3,1,31201970936,73389,73389,2,2,2,600037906,4,3,336864,31616984,5896518,259651,87291,10551514627,5091360,232851894,1433
