event,value,description
RecomputeWeight,22,Number of weight recomputes triggered at all FairPolicyNodes
FairPolicyDequeue,536,Number of dequeues invoked at all FairPolicyNodes
Query,26,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,26,"Same as Query, but only for SELECT queries."
InitialQuery,26,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,54,Count queries with all subqueries
SelectQueriesWithSubqueries,54,Count SELECT queries with all subqueries
QueryTimeMicroseconds,811156647,Total time of all queries.
SelectQueryTimeMicroseconds,811156647,Total time of SELECT queries.
FileOpen,1809,Number of files opened.
Seek,7337,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,147758,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,172363933261,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,5557,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,26232214,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
ReadCompressedBytes,171345805557,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,8683932,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,566709333561,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheHits,6982,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMisses,1203,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,3018,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,17171,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,1815517962,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
ArenaAllocChunks,536,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocBytes,2195456,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
FunctionExecute,2862000,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
MarkCacheHits,7246,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,86,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
QueryConditionCacheHits,74,Number of times an entry has been found in the query condition cache (and reading of marks can be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
QueryConditionCacheMisses,86,Number of times an entry has not been found in the query condition cache (and reading of mark cannot be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
CreatedReadBufferOrdinary,8212,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,617932941,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,20182,Total time spent waiting for write syscall. This include writes to page cache.
NetworkReceiveElapsedMicroseconds,640,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendElapsedMicroseconds,2657,"Total time spent waiting for data to send to network or sending data to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveBytes,21574,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendBytes,114433,"Total number of bytes send to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
GlobalThreadPoolExpansions,783,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolThreadCreationMicroseconds,110248,Total time spent waiting for new threads to start.
GlobalThreadPoolLockWaitMicroseconds,4209,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolJobs,1509,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolJobWaitTimeMicroseconds,5292632,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolExpansions,892,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolShrinks,779,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,33912,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LocalThreadPoolLockWaitMicroseconds,540017,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolJobs,1365878,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolBusyMicroseconds,6296335725,Total time threads have spent executing the actual work.
