event,value,description
RecomputeWeight,22,Number of weight recomputes triggered at all FairPolicyNodes
FairPolicyDequeue,536,Number of dequeues invoked at all FairPolicyNodes
Query,45,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,45,"Same as Query, but only for SELECT queries."
InitialQuery,45,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,93,Count queries with all subqueries
SelectQueriesWithSubqueries,93,Count SELECT queries with all subqueries
QueryTimeMicroseconds,1355546208,Total time of all queries.
SelectQueryTimeMicroseconds,1355546208,Total time of SELECT queries.
FileOpen,2274,Number of files opened.
Seek,11446,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,225729,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,293659516353,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,8647,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,39611724,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
ReadCompressedBytes,292104662037,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,14769625,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,965261577296,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheHits,11524,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMisses,1380,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,5440,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,27391,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,2981802579,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
ArenaAllocChunks,936,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocBytes,3833856,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
FunctionExecute,4888444,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
MarkCacheHits,11917,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,110,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
QueryConditionCacheHits,130,Number of times an entry has been found in the query condition cache (and reading of marks can be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
QueryConditionCacheMisses,142,Number of times an entry has not been found in the query condition cache (and reading of mark cannot be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
CreatedReadBufferOrdinary,12931,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,663427196,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,31316,Total time spent waiting for write syscall. This include writes to page cache.
NetworkReceiveElapsedMicroseconds,1059,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendElapsedMicroseconds,4727,"Total time spent waiting for data to send to network or sending data to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveBytes,36629,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendBytes,229284,"Total number of bytes send to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
GlobalThreadPoolExpansions,789,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolThreadCreationMicroseconds,111974,Total time spent waiting for new threads to start.
GlobalThreadPoolLockWaitMicroseconds,7541,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolJobs,2037,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolJobWaitTimeMicroseconds,5313440,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolExpansions,1401,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolShrinks,1288,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,39407,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LocalThreadPoolLockWaitMicroseconds,2561890,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolJobs,2329813,Counts the number of jobs that have been pushed to the local thread pools.
