event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,1045,1271,226,Total time spent analyzing index of patch parts
ArenaAllocBytes,3014656,3833856,819200,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,736,936,200,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,2767921,2767921,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,56,56,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,4,4,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,56,56,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CannotWriteToWriteBufferDiscard,412,504,92,Number of stack traces dropped by query profiler or signal handler because pipe is full or cannot write to pipe.
CommonBackgroundExecutorTaskExecuteStepMicroseconds,2362809,2738264,375455,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,132,161,29,Time spent resetting task for Common executor.
CompileExpressionsBytes,24576,24576,0,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,298175,298175,0,Total time spent for compilation of expressions to LLVM code.
CompileFunction,3,3,0,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,11726753,14769625,3042872,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,765983745309,965261577296,199277831987,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlSlotsAcquired,504,504,0,Total number of CPU slots acquired
ConcurrencyControlSlotsAcquiredNonCompeting,45,56,11,Total number of noncompeting CPU slot acquired
ConcurrencyControlSlotsGranted,45,56,11,Number of CPU slot granted according to guarantee of 1 thread per query and for queries with setting 'use_concurrency_control' = 0
ConcurrencyControlWaitMicroseconds,78069664,78069664,0,Total time a query was waiting on resource requests for CPU slots.
ContextLock,45425,56902,11477,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,106,227,121,Context lock wait time in microseconds
CreatedReadBufferOrdinary,10531,12931,2400,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
