event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,471,789,318,Total time spent analyzing index of patch parts
ArenaAllocBytes,1638400,2195456,557056,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,400,536,136,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,2767921,2767921,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,56,56,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,4,4,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,56,56,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CannotWriteToWriteBufferDiscard,192,328,136,Number of stack traces dropped by query profiler or signal handler because pipe is full or cannot write to pipe.
CommonBackgroundExecutorTaskExecuteStepMicroseconds,2327883,2348727,20844,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,33,84,51,Time spent resetting task for Common executor.
CompileExpressionsBytes,24576,24576,0,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,298175,298175,0,Total time spent for compilation of expressions to LLVM code.
CompileFunction,3,3,0,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,6105658,8683932,2578274,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,398652250640,566709333561,168057082921,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlSlotsAcquired,372,504,132,Total number of CPU slots acquired
ConcurrencyControlSlotsAcquiredNonCompeting,20,36,16,Total number of noncompeting CPU slot acquired
ConcurrencyControlSlotsGranted,20,36,16,Number of CPU slot granted according to guarantee of 1 thread per query and for queries with setting 'use_concurrency_control' = 0
ConcurrencyControlWaitMicroseconds,64760644,78069664,13309020,Total time a query was waiting on resource requests for CPU slots.
ContextLock,25099,34090,8991,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,40,63,23,Context lock wait time in microseconds
CreatedReadBufferOrdinary,6430,8212,1782,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,597183807,617932941,20749134,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,12226,20182,7956,Total time spent waiting for write syscall. This include writes to page cache.
