event,value,description
RecomputeWeight,15,Number of weight recomputes triggered at all FairPolicyNodes
FairPolicyDequeue,400,Number of dequeues invoked at all FairPolicyNodes
Query,19,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,19,"Same as Query, but only for SELECT queries."
InitialQuery,19,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,39,Count queries with all subqueries
SelectQueriesWithSubqueries,39,Count SELECT queries with all subqueries
QueryTimeMicroseconds,563170846,Total time of all queries.
SelectQueryTimeMicroseconds,563170846,Total time of SELECT queries.
FileOpen,1424,Number of files opened.
Seek,4214,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,88480,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,121548732548,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,3110,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,15772120,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
ReadCompressedBytes,120800018166,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,6105658,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,398652250640,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheHits,5352,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMisses,1051,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,2368,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,13050,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,1348404948,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
ArenaAllocChunks,400,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocBytes,1638400,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
FunctionExecute,2026444,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
MarkCacheHits,5500,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,68,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
QueryConditionCacheHits,50,Number of times an entry has been found in the query condition cache (and reading of marks can be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
QueryConditionCacheMisses,62,Number of times an entry has not been found in the query condition cache (and reading of mark cannot be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
CreatedReadBufferOrdinary,6430,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,597183807,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,12226,Total time spent waiting for write syscall. This include writes to page cache.
NetworkReceiveElapsedMicroseconds,477,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendElapsedMicroseconds,1900,"Total time spent waiting for data to send to network or sending data to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveBytes,15477,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendBytes,88121,"Total number of bytes send to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
GlobalThreadPoolExpansions,783,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolThreadCreationMicroseconds,110248,Total time spent waiting for new threads to start.
GlobalThreadPoolLockWaitMicroseconds,3354,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolJobs,1328,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolJobWaitTimeMicroseconds,5287300,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolExpansions,718,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolShrinks,605,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,33286,Total time local thread pools have spent waiting to borrow a thread from the global pool.
