event,value,description
Query,1,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,1,"Same as Query, but only for SELECT queries."
InitialQuery,1,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,1,Count queries with all subqueries
SelectQueriesWithSubqueries,1,Count SELECT queries with all subqueries
FileOpen,864,Number of files opened.
Seek,268,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,12396,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,42828519,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,131,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,543191,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
ReadCompressedBytes,942332,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,303,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,12089337,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheMisses,767,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,121,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,1029,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,39224430,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
FunctionExecute,1539,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
CreatedReadBufferOrdinary,794,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,2901581,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,379,Total time spent waiting for write syscall. This include writes to page cache.
NetworkReceiveElapsedMicroseconds,13,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveBytes,249,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
GlobalThreadPoolExpansions,690,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolThreadCreationMicroseconds,88513,Total time spent waiting for new threads to start.
GlobalThreadPoolLockWaitMicroseconds,309,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolJobs,773,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolJobWaitTimeMicroseconds,5274756,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolExpansions,183,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolShrinks,126,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,8762,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LocalThreadPoolLockWaitMicroseconds,121,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolJobs,229,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolBusyMicroseconds,14125688,Total time threads have spent executing the actual work.
LocalThreadPoolJobWaitTimeMicroseconds,12982,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
InsertedRows,10,Number of rows INSERTed to all tables.
InsertedBytes,122904,Number of bytes (uncompressed; for columns as they stored in memory) INSERTed to all tables.
QueryPlanOptimizeMicroseconds,1736,Total time spent executing query plan optimizations.
SelectedRows,10,Number of rows SELECTed from all tables.
SelectedBytes,122904,Number of bytes (uncompressed; for columns as they stored in memory) SELECTed from all tables.
LoadedDataParts,18,Number of data parts loaded by MergeTree tables during initialization.
LoadedDataPartsMicroseconds,3266677,Microseconds spent by MergeTree tables for loading data parts during initialization.
MergeTreeDataWriterRows,10,Number of rows INSERTed to MergeTree tables.
MergeTreeDataWriterUncompressedBytes,122904,Uncompressed bytes (for columns as they stored in memory) INSERTed to MergeTree tables.
MergeTreeDataWriterCompressedBytes,214969,Bytes written to filesystem for data INSERTed to MergeTree tables.
MergeTreeDataWriterBlocks,1,Number of blocks INSERTed to MergeTree tables. Each block forms a data part of level zero.
MergeTreeDataWriterBlocksAlreadySorted,1,Number of blocks INSERTed to MergeTree tables that appeared to be already sorted.
CommonBackgroundExecutorTaskExecuteStepMicroseconds,2291296,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,3,Time spent resetting task for Common executor.
MergeTreeDataWriterSortingBlocksMicroseconds,11,Time spent sorting blocks
InsertedCompactParts,1,Number of parts inserted in Compact format.
ContextLock,1963,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,14,Context lock wait time in microseconds
RWLockAcquiredReadLocks,179,Number of times a read lock was acquired (in a heavy RWLock).
PartsLockHoldMicroseconds,3207160,Total time spent holding data parts lock in MergeTree tables
PartsLocks,88,Number of times data parts lock has been acquired for MergeTree tables
SharedPartsLockHoldMicroseconds,6149,Total time spent holding shared data parts lock in MergeTree tables
SharedPartsLocks,882,Number of times shared data parts lock has been acquired for MergeTree tables
RealTimeMicroseconds,147685,Total (wall clock) time spent in processing (queries and other tasks) threads (note that this is a sum).
UserTimeMicroseconds,32181,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in user mode. This includes time CPU pipeline was stalled due to main memory access, cache misses, branch mispredictions, hyper-threading, etc."
SystemTimeMicroseconds,5519,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in OS kernel mode. This is time spent in syscalls, excluding waiting time during blocking syscalls."
