event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,91,471,380,Total time spent analyzing index of patch parts
ArenaAllocBytes,819200,1638400,819200,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,200,400,200,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,2767921,2767921,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,56,56,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,4,4,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,56,56,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CannotWriteToWriteBufferDiscard,104,192,88,Number of stack traces dropped by query profiler or signal handler because pipe is full or cannot write to pipe.
CommonBackgroundExecutorTaskExecuteStepMicroseconds,2306384,2327883,21499,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,15,33,18,Time spent resetting task for Common executor.
CompileExpressionsBytes,8192,24576,16384,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,250342,298175,47833,Total time spent for compilation of expressions to LLVM code.
CompileFunction,1,3,2,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,3062600,6105658,3043058,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,199362659852,398652250640,199289590788,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlSlotsAcquired,184,372,188,Total number of CPU slots acquired
ConcurrencyControlSlotsAcquiredNonCompeting,10,20,10,Total number of noncompeting CPU slot acquired
ConcurrencyControlSlotsGranted,10,20,10,Number of CPU slot granted according to guarantee of 1 thread per query and for queries with setting 'use_concurrency_control' = 0
ConcurrencyControlWaitMicroseconds,41437999,64760644,23322645,Total time a query was waiting on resource requests for CPU slots.
ContextLock,13571,25055,11484,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,39,40,1,Context lock wait time in microseconds
CreatedReadBufferOrdinary,3706,6430,2724,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,574177160,597183807,23006647,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,6753,12226,5473,Total time spent waiting for write syscall. This include writes to page cache.
FairPolicyDequeue,200,400,200,Number of dequeues invoked at all FairPolicyNodes
FileOpen,1152,1424,272,Number of files opened.
FilteringMarksWithPrimaryKeyMicroseconds,45,81,36,Time spent filtering parts by PK.
FunctionExecute,1013222,2026444,1013222,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
GlobalThreadPoolExpansions,781,783,2,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolJobWaitTimeMicroseconds,5282627,5287239,4612,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
GlobalThreadPoolJobs,1074,1323,249,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolLockWaitMicroseconds,1485,3353,1868,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolThreadCreationMicroseconds,109852,110248,396,Total time spent waiting for new threads to start.
HTTPServerConnectionsCreated,8,15,7,Number of created server HTTP connections
HTTPServerConnectionsExpired,2,3,1,Number of expired server HTTP connections.
HTTPServerConnectionsPreserved,7,14,7,Number of preserved server HTTP connections. Connection kept alive successfully
HTTPServerConnectionsReset,2,3,1,Number of reset server HTTP connections. Server closes connection
HTTPServerConnectionsReused,7,14,7,Number of reused server HTTP connections
HardPageFaults,785,807,22,"The number of hard page faults in query execution threads. High values indicate either that you forgot to turn off swap on your server, or eviction of memory pages of the ClickHouse binary during very high memory pressure, or successful usage of the 'mmap' read method for the tables data."
IOBufferAllocBytes,706758569,1342113114,635354545,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocs,7214,13044,5830,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
InitialQuery,10,18,8,"Same as Query, but only counts initial queries (see is_initial_query)."
