event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,0,91,91,Total time spent analyzing index of patch parts
ArenaAllocBytes,0,819200,819200,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,0,200,200,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,2767921,2767921,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,56,56,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,4,4,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,56,56,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CannotWriteToWriteBufferDiscard,4,104,100,Number of stack traces dropped by query profiler or signal handler because pipe is full or cannot write to pipe.
CommonBackgroundExecutorTaskExecuteStepMicroseconds,2291296,2306384,15088,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,3,15,12,Time spent resetting task for Common executor.
CompileExpressionsBytes,0,8192,8192,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,0,250342,250342,Total time spent for compilation of expressions to LLVM code.
CompileFunction,0,1,1,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,303,3062600,3062297,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,12089337,199362659852,199350570515,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlSlotsAcquired,0,184,184,Total number of CPU slots acquired
ConcurrencyControlSlotsAcquiredNonCompeting,1,10,9,Total number of noncompeting CPU slot acquired
ConcurrencyControlSlotsGranted,1,10,9,Number of CPU slot granted according to guarantee of 1 thread per query and for queries with setting 'use_concurrency_control' = 0
ConcurrencyControlWaitMicroseconds,0,41437999,41437999,Total time a query was waiting on resource requests for CPU slots.
ContextLock,1963,13527,11564,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,14,39,25,Context lock wait time in microseconds
CreatedReadBufferOrdinary,794,3706,2912,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,2901581,574177146,571275565,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,379,6753,6374,Total time spent waiting for write syscall. This include writes to page cache.
FairPolicyDequeue,0,200,200,Number of dequeues invoked at all FairPolicyNodes
FileOpen,864,1152,288,Number of files opened.
FilteringMarksWithPrimaryKeyMicroseconds,0,45,45,Time spent filtering parts by PK.
FunctionExecute,1539,1013222,1011683,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
GlobalThreadPoolExpansions,690,781,91,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolJobWaitTimeMicroseconds,5274756,5282525,7769,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
GlobalThreadPoolJobs,773,1069,296,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolLockWaitMicroseconds,309,1485,1176,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolThreadCreationMicroseconds,88513,109852,21339,Total time spent waiting for new threads to start.
HTTPServerConnectionsCreated,1,7,6,Number of created server HTTP connections
HTTPServerConnectionsExpired,0,1,1,Number of expired server HTTP connections.
HTTPServerConnectionsPreserved,0,7,7,Number of preserved server HTTP connections. Connection kept alive successfully
HTTPServerConnectionsReset,0,1,1,Number of reset server HTTP connections. Server closes connection
HTTPServerConnectionsReused,0,7,7,Number of reused server HTTP connections
HardPageFaults,46,785,739,"The number of hard page faults in query execution threads. High values indicate either that you forgot to turn off swap on your server, or eviction of memory pages of the ClickHouse binary during very high memory pressure, or successful usage of the 'mmap' read method for the tables data."
IOBufferAllocBytes,39224430,700466735,661242305,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocs,1029,7208,6179,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
InitialQuery,1,9,8,"Same as Query, but only counts initial queries (see is_initial_query)."
InsertedBytes,122904,1253614,1130710,Number of bytes (uncompressed; for columns as they stored in memory) INSERTed to all tables.
InsertedCompactParts,1,10,9,Number of parts inserted in Compact format.
InsertedRows,10,102,92,Number of rows INSERTed to all tables.
