event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,682468,767567,85099,Total time spent analyzing index of patch parts
ArenaAllocBytes,67002368,77750272,10747904,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,15938,18562,2624,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,2128666,2128666,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,58,58,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,5,5,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,58,58,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CannotWriteToWriteBufferDiscard,31326,31590,264,Number of stack traces dropped by query profiler or signal handler because pipe is full or cannot write to pipe.
CommonBackgroundExecutorTaskExecuteStepMicroseconds,330572757,332708032,2135275,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,2707,2817,110,Time spent resetting task for Common executor.
CompileExpressionsBytes,24576,24576,0,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,56256,56256,0,Total time spent for compilation of expressions to LLVM code.
CompileFunction,3,3,0,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,109118558,126801029,17682471,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,7128580885742,8288625759579,1160044873837,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlSlotsAcquired,5080,7704,2624,Total number of CPU slots acquired
ConcurrencyControlSlotsAcquiredNonCompeting,404,430,26,Total number of noncompeting CPU slot acquired
ConcurrencyControlSlotsGranted,404,430,26,Number of CPU slot granted according to guarantee of 1 thread per query and for queries with setting 'use_concurrency_control' = 0
ConcurrencyControlWaitMicroseconds,13809849846,13809853236,3390,Total time a query was waiting on resource requests for CPU slots.
