event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,87410,91420,4010,Total time spent analyzing index of patch parts
ArenaAllocBytes,190541824,234582016,44040192,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,46401,57153,10752,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,167,167,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,2,2,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CommonBackgroundExecutorTaskExecuteStepMicroseconds,22759,23826,1067,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,155,156,1,Time spent resetting task for Common executor.
CompileExpressionsBytes,16384,16384,0,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,113117,113117,0,Total time spent for compilation of expressions to LLVM code.
CompileFunction,2,2,0,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,458704696,532892828,74188132,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,30221067544447,35109094762697,4888027218250,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlDownscales,58966,63977,5011,Total number of CPU downscaling events
ConcurrencyControlPreemptedMicroseconds,136008869860,146331395260,10322525400,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptions,3119957,3440605,320648,Total number of CPU preemptions
ConcurrencyControlSlotsAcquired,58967,63978,5011,Total number of CPU slots acquired
ConcurrencyControlSlotsAcquiredNonCompeting,2,2,0,Total number of noncompeting CPU slot acquired
