event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,1835197,2031875,196678,Total time spent analyzing index of patch parts
ArenaAllocBytes,239726592,395964416,156237824,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,58387,96531,38144,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,1830861,1830861,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,53,53,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,3,3,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,53,53,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CommonBackgroundExecutorTaskExecuteStepMicroseconds,338559,429351,90792,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,1096,1170,74,Time spent resetting task for Common executor.
CompileExpressionsBytes,16384,16384,0,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,388317,388317,0,Total time spent for compilation of expressions to LLVM code.
CompileFunction,2,2,0,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,398326415,658584586,260258171,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,26246602827260,43395633928290,17149031101030,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlDownscales,28960,67378,38418,Total number of CPU downscaling events
ConcurrencyControlPreemptedMicroseconds,33587689717,56870816847,23283127130,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptions,952848,1573413,620565,Total number of CPU preemptions
ConcurrencyControlSlotsAcquired,28960,67378,38418,Total number of CPU slots acquired
ConcurrencyControlUpscales,28960,67378,38418,Total number of CPU upscaling events
ConcurrencyControlWaitMicroseconds,28811547385,47426421859,18614874474,Total time a query was waiting on resource requests for CPU slots.
ConcurrentQuerySlotsAcquired,456,1052,596,Total number of query slots acquired
ConcurrentQueryWaitMicroseconds,29312,50723,21411,Total time a query was waiting for a query slots
ContextLock,1581068,2598861,1017793,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,902757,957530,54773,Context lock wait time in microseconds
CreatedReadBufferOrdinary,544376,900992,356616,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,8145651545,11161410036,3015758491,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,23,23,0,Total time spent waiting for write syscall. This include writes to page cache.
FairPolicyDequeue,15156746,28502013,13345267,Number of dequeues invoked at all FairPolicyNodes
FileOpen,1815,2832,1017,Number of files opened.
FileSync,1,1,0,Number of times the F_FULLFSYNC/fsync/fdatasync function was called for files.
FileSyncElapsedMicroseconds,1123,1123,0,Total time spent waiting for F_FULLFSYNC/fsync/fdatasync syscall for files.
FilterTransformPassedBytes,1804310,1804310,0,Number of bytes that passed the filter in the query
