at_ms,qid
3288,np_greedy_113
8864,np_greedy_113
13019,p_greedy_94
17730,p_greedy_94
40830,np_greedy_113
45529,p_greedy_94
47795,np_greedy_113
67908,p_greedy_94
74338,p_greedy_94
99047,p_greedy_94
102588,p_greedy_94
116934,p_greedy_94
128377,p_greedy_94
153702,p_greedy_94
159489,p_greedy_94
167251,p_greedy_94
189278,np_greedy_113
189661,p_greedy_94
191656,np_greedy_113
200648,p_greedy_94
218293,p_greedy_94
233835,p_greedy_94
238619,np_greedy_113
250623,p_greedy_94
263299,np_greedy_113
284367,p_greedy_94
294541,p_greedy_94
311412,p_greedy_94
318583,p_greedy_94
319077,p_greedy_94
340519,p_greedy_94
343579,p_greedy_94
369799,p_greedy_94
380116,np_greedy_113
390749,np_greedy_113
407227,p_greedy_94
415890,np_greedy_113
423627,p_greedy_94
426476,p_greedy_94
432755,p_greedy_94
440338,p_greedy_94
440717,np_greedy_113
441501,p_greedy_94
450826,p_greedy_94
457909,np_greedy_113
458011,np_greedy_113
463836,p_greedy_94
470096,p_greedy_94
473298,p_greedy_94
474708,p_greedy_94
489832,p_greedy_94
490030,p_greedy_94
493047,np_greedy_113
496658,p_greedy_94
498652,np_greedy_113
500634,p_greedy_94
512237,p_greedy_94
531891,p_greedy_94
554294,np_greedy_113
558722,np_greedy_113
568544,p_greedy_94
581889,np_greedy_113
584106,p_greedy_94
618245,np_greedy_113
657498,p_greedy_94
708322,p_greedy_94
723515,p_greedy_94
727576,p_greedy_94
737681,p_greedy_94
740669,p_greedy_94
762383,np_greedy_113
768334,np_greedy_113
777708,np_greedy_113
814371,p_greedy_94
823355,p_greedy_94
844640,p_greedy_94
845330,p_greedy_94
847541,p_greedy_94
850821,p_greedy_94
855348,p_greedy_94
861979,p_greedy_94
866828,p_greedy_94
873123,np_greedy_113
874435,np_greedy_113
875533,p_greedy_94
883867,p_greedy_94
885624,p_greedy_94
886612,p_greedy_94
893314,p_greedy_94
894735,p_greedy_94
