event,value,description
Query,1078,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,550,"Same as Query, but only for SELECT queries."
InitialQuery,1078,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,1909,Count queries with all subqueries
SelectQueriesWithSubqueries,1381,Count SELECT queries with all subqueries
QueryTimeMicroseconds,32224708903,Total time of all queries.
SelectQueryTimeMicroseconds,32222725662,Total time of SELECT queries.
OtherQueryTimeMicroseconds,1983241,Total time of queries that are not SELECT or INSERT.
FileOpen,2809,Number of files opened.
Seek,50524,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,393287,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,4832172913903,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,529,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,30101,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
FileSync,528,Number of times the F_FULLFSYNC/fsync/fdatasync function was called for files.
FileSyncElapsedMicroseconds,658707,Total time spent waiting for F_FULLFSYNC/fsync/fdatasync syscall for files.
ReadCompressedBytes,4766669226520,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,236742589,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,15597409448671,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheHits,431363,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMisses,2168,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,656237,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,873551,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,90445598031,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
ArenaAllocChunks,23661,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocBytes,97398784,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
FunctionExecute,81003375,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
TableFunctionExecute,2,Number of table function calls.
MarkCacheHits,433087,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,110,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
QueryConditionCacheHits,5354,Number of times an entry has been found in the query condition cache (and reading of marks can be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
QueryConditionCacheMisses,5406,Number of times an entry has not been found in the query condition cache (and reading of mark cannot be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
CreatedReadBufferOrdinary,433551,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,2924814894,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,25485,Total time spent waiting for write syscall. This include writes to page cache.
NetworkReceiveElapsedMicroseconds,32482931,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendElapsedMicroseconds,154504,"Total time spent waiting for data to send to network or sending data to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveBytes,729723,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendBytes,1347787,"Total number of bytes send to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
GlobalThreadPoolExpansions,1170,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolThreadCreationMicroseconds,902033,Total time spent waiting for new threads to start.
GlobalThreadPoolLockWaitMicroseconds,853028,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolJobs,22054,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolJobWaitTimeMicroseconds,20890320,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolExpansions,20916,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolShrinks,20868,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,6037519,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LocalThreadPoolLockWaitMicroseconds,4309313,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolJobs,39956,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolBusyMicroseconds,308841498958,Total time threads have spent executing the actual work.
LocalThreadPoolJobWaitTimeMicroseconds,36101550,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
AnalyzePatchRangesMicroseconds,38635,Total time spent analyzing index of patch parts
CompileFunction,2,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompileExpressionsMicroseconds,113117,Total time spent for compilation of expressions to LLVM code.
CompileExpressionsBytes,16384,Number of bytes used for expressions compilation.
JoinBuildTableRowCount,1144,Total number of rows in the build table for a JOIN operation.
JoinProbeTableRowCount,169197413814,Total number of rows in the probe table for a JOIN operation.
