arrival_ms,start_ms,end_ms,latency_ms,qid
1346.9911,1347.0037,178023.9092,176676.9055,np_default_300
3628.2242,3628.2395,181180.7638,177552.5242,np_default_300
8698.9072,8698.9227,22416.8376,13717.9149,p_default_1200
16708.8750,16708.8903,190774.5360,174065.6458,np_default_300
19551.3171,19551.3322,192004.0206,172452.6884,np_default_300
29270.0096,29270.0244,43244.9260,13974.9016,p_default_1200
49578.5561,49578.5712,63796.5785,14218.0074,p_default_1200
63639.5561,63639.5701,91440.3385,27800.7684,p_default_1200
63717.2230,63717.2355,91606.4817,27889.2462,p_default_1200
77428.5516,77428.5682,239344.7445,161916.1764,np_default_300
78389.3486,78389.3628,240429.9030,162040.5402,np_default_300
92378.5271,92378.5402,117319.2439,24940.7037,p_default_1200
96965.8867,96965.9028,122000.4476,25034.5448,p_default_1200
97596.3982,128002.9306,275450.5958,147447.6652,np_default_300
107690.0981,117694.9862,267817.2127,150122.2265,np_default_300
