event,value,description
RecomputeWeight,10634,Number of weight recomputes triggered at all FairPolicyNodes
FairPolicyDequeue,28824410,Number of dequeues invoked at all FairPolicyNodes
SchedulerNodeUpdate,3162,Number of SchedulerNodeInfo update due to query starting in the GREEDY module.
Query,3172,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,3172,"Same as Query, but only for SELECT queries."
InitialQuery,3172,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,7878,Count queries with all subqueries
SelectQueriesWithSubqueries,7878,Count SELECT queries with all subqueries
FailedQuery,1,"Number of total failed queries, both internal and user queries."
FailedSelectQuery,1,"Same as FailedQuery, but only for SELECT queries."
QueryTimeMicroseconds,99881117608,Total time of all queries.
SelectQueryTimeMicroseconds,99881117608,Total time of SELECT queries.
FileOpen,7901,Number of files opened.
Seek,440001,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,7322755,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,27953194591061,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,1,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,61,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
ReadCompressedBytes,27663275630193,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,1378665065,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,90843152888956,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheHits,1875207,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMisses,7443,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,5118577,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,3798246,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,433351115843,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
ArenaAllocChunks,201942,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocBytes,827727872,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
FunctionExecute,464823622,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
TableFunctionExecute,2,Number of table function calls.
MarkCacheHits,1882445,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,22,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
QueryConditionCacheHits,6314,Number of times an entry has been found in the query condition cache (and reading of marks can be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
QueryConditionCacheMisses,6318,Number of times an entry has not been found in the query condition cache (and reading of mark cannot be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
CreatedReadBufferOrdinary,1882676,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,16512160913,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,11,Total time spent waiting for write syscall. This include writes to page cache.
NetworkReceiveElapsedMicroseconds,628146009,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendElapsedMicroseconds,484133,"Total time spent waiting for data to send to network or sending data to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveBytes,3368710,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendBytes,9240213,"Total number of bytes send to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
GlobalThreadPoolExpansions,2519,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolShrinks,782,"Counts the total number of times the global thread pool has shrunk by removing threads. This occurs when the number of idle threads exceeds max_thread_pool_free_size, indicating adjustments in the global thread pool size in response to decreased thread utilization."
GlobalThreadPoolThreadCreationMicroseconds,2021358,Total time spent waiting for new threads to start.
GlobalThreadPoolLockWaitMicroseconds,6133851,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolJobs,217314,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolJobWaitTimeMicroseconds,75393436,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolExpansions,213554,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolShrinks,213399,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,119416794,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LocalThreadPoolLockWaitMicroseconds,7216885524,Total time threads have spent waiting for locks in the local thread pools.
