event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,97554,194929,97375,Total time spent analyzing index of patch parts
ArenaAllocBytes,91103232,181280768,90177536,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,22102,44118,22016,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,7420772,7420772,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,67,67,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,3,3,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,67,67,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CommonBackgroundExecutorTaskExecuteStepMicroseconds,1191770,1891536,699766,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,133,248,115,Time spent resetting task for Common executor.
CompileExpressionsBytes,16384,16384,0,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,27628,27628,0,Total time spent for compilation of expressions to LLVM code.
CompileFunction,2,2,0,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,151584882,301761415,150176533,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,9988222180838,19883635288210,9895413107372,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlDownscales,22579,22579,0,Total number of CPU downscaling events
ConcurrencyControlPreemptedMicroseconds,3814056878,3814056878,0,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptions,165390,165390,0,Total number of CPU preemptions
ConcurrencyControlSlotsAcquired,22579,22579,0,Total number of CPU slots acquired
ConcurrencyControlUpscales,22579,22579,0,Total number of CPU upscaling events
ConcurrencyControlWaitMicroseconds,2514727761,2514727761,0,Total time a query was waiting on resource requests for CPU slots.
ContextLock,613591,1213771,600180,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,19830,74003,54173,Context lock wait time in microseconds
CreatedReadBufferOrdinary,205949,411221,205272,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,1827869650,3517841386,1689971736,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,11,11,0,Total time spent waiting for write syscall. This include writes to page cache.
FailedQuery,1,1,0,"Number of total failed queries, both internal and user queries."
FailedSelectQuery,1,1,0,"Same as FailedQuery, but only for SELECT queries."
FairPolicyDequeue,6167847,6167847,0,Number of dequeues invoked at all FairPolicyNodes
FileOpen,1715,3197,1482,Number of files opened.
FilterTransformPassedBytes,1804310,1804310,0,Number of bytes that passed the filter in the query
FilterTransformPassedRows,26463,26463,0,Number of rows that passed the filter in the query
FilteringMarksWithPrimaryKeyMicroseconds,1563,3130,1567,Time spent filtering parts by PK.
FunctionExecute,51083936,101737008,50653072,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
GlobalThreadPoolExpansions,1110,1330,220,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolJobWaitTimeMicroseconds,12225222,16077012,3851790,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
GlobalThreadPoolJobs,25709,51023,25314,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolLockWaitMicroseconds,314944,771415,456471,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolThreadCreationMicroseconds,184301,352475,168174,Total time spent waiting for new threads to start.
HTTPServerConnectionsCreated,131,265,134,Number of created server HTTP connections
HTTPServerConnectionsExpired,6,9,3,Number of expired server HTTP connections.
HTTPServerConnectionsPreserved,344,687,343,Number of preserved server HTTP connections. Connection kept alive successfully
HTTPServerConnectionsReset,2,3,1,Number of reset server HTTP connections. Server closes connection
HTTPServerConnectionsReused,340,681,341,Number of reused server HTTP connections
HardPageFaults,23,23,0,"The number of hard page faults in query execution threads. High values indicate either that you forgot to turn off swap on your server, or eviction of memory pages of the ClickHouse binary during very high memory pressure, or successful usage of the 'mmap' read method for the tables data."
IOBufferAllocBytes,47408462545,94668815923,47260353378,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocs,415452,829632,414180,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
InitialQuery,353,698,345,"Same as Query, but only counts initial queries (see is_initial_query)."
InterfaceHTTPReceiveBytes,376863,734140,357277,Number of bytes received through HTTP interfaces
InterfaceHTTPSendBytes,418014,819975,401961,Number of bytes sent through HTTP interfaces
InterfaceNativeReceiveBytes,4931,4931,0,Number of bytes received through native interfaces
InterfaceNativeSendBytes,5522916,5522916,0,Number of bytes sent through native interfaces
JoinBuildTableRowCount,676,1348,672,Total number of rows in the build table for a JOIN operation.
JoinOptimizeMicroseconds,148180,315494,167314,Total time spent executing JOIN plan optimizations.
JoinProbeTableRowCount,99980289981,199368980613,99388690632,Total number of rows in the probe table for a JOIN operation.
JoinReorderMicroseconds,955,1805,850,Total time spent executing JOIN reordering algorithm.
JoinResultRowCount,399921159924,797475922452,397554762528,Total number of rows in the result of a JOIN operation.
LoadedDataParts,17,17,0,Number of data parts loaded by MergeTree tables during initialization.
LoadedDataPartsMicroseconds,7935738,7935738,0,Microseconds spent by MergeTree tables for loading data parts during initialization.
LoadedMarksCount,807301,807301,0,Number of marks loaded (total across columns).
LoadedMarksFiles,22,22,0,Number of mark files loaded.
LoadedMarksMemoryBytes,3652160,3652160,0,Size of in-memory representations of loaded marks.
LocalThreadPoolBusyMicroseconds,447180911944,961735414609,514554502665,Total time threads have spent executing the actual work.
LocalThreadPoolExpansions,24768,49737,24969,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolJobWaitTimeMicroseconds,432765590,846767715,414002125,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolJobs,24507354,48764050,24256696,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolLockWaitMicroseconds,316844767,839379992,522535225,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolShrinks,24620,49582,24962,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,4030781,13891888,9861107,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LogDebug,1,1,0,Number of log messages with level Debug
LogInfo,62,62,0,Number of log messages with level Info
LogWarning,3,3,0,Number of log messages with level Warning
LoggerElapsedNanoseconds,105978590,105978590,0,Cumulative time spend in logging
MainConfigLoads,2,2,0,Number of times the main configuration was reloaded.
MarkCacheHits,205718,410990,205272,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,22,22,0,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
MemoryAllocatorPurge,1,1,0,Total number of times memory allocator purge was requested
MemoryAllocatorPurgeTimeMicroseconds,2829,2829,0,Total time spent for memory allocator purge
