greedy_prefix,default_prefix,lambda1,lambda2,total_lambda,lambda_ratio,length,seed,greedy_Average,default_Average,diff_Average,pct_diff_Average,greedy_Min,default_Min,diff_Min,pct_diff_Min,greedy_Max,default_Max,diff_Max,pct_diff_Max,greedy_P50,default_P50,diff_P50,pct_diff_P50,greedy_P90,default_P90,diff_P90,pct_diff_P90,greedy_P95,default_P95,diff_P95,pct_diff_P95,greedy_P99,default_P99,diff_P99,pct_diff_P99,greedy_priority_avg,greedy_nonpriority_avg,default_priority_avg,default_nonpriority_avg,priority_diff,nonpriority_diff,priority_pct_diff,nonpriority_pct_diff
1,4,0.024,0.024,0.048,1.0,120,123,184614.8255,155713.7151,28901.110400000005,18.560414142992858,22750.6878,38123.9976,-15373.309800000003,-40.32449577113603,289428.8485,245302.6847,44126.16380000001,17.988455305316112,174660.4451,210625.1763,-35964.73119999998,-17.075229007179225,286602.8751,240511.4088,46091.4663,19.163941756429477,288015.8618,242907.0467,45108.81510000001,18.570402017077427,289146.2511,244823.5571,44322.69399999999,18.103933512368688,125855.3012,228684.4687,59170.1033,228121.4239,66685.1979,563.0448000000033,112.70083062369775,0.2468180280370428
2,5,0.016,0.016,0.032,1.0,120,123,187671.2386,150266.5281,37404.710500000016,24.89224378373058,19788.5373,33406.5635,-13618.026199999997,-40.7645228160029,298201.3712,240358.0853,57843.28589999999,24.06546292287343,181978.597,215179.7686,-33201.1716,-15.429504277290128,297340.974,237357.5838,59983.390199999994,25.271318168853046,297771.1726,238857.8345,58913.33809999999,24.664603622201888,298115.3315,240058.0351,58057.29639999996,24.18469199575647,124199.1614,235275.2964,47633.823,227241.0569,76565.33840000001,8034.239499999996,160.73733657699492,3.5355580587426836
3,6,0.008,0.008,0.016,1.0,120,123,175201.6346,144843.88,30357.754599999986,20.958948766078336,32643.6805,39642.5415,-6998.861000000001,-17.65492507588092,270056.3,212411.792,57644.508,27.138092220416844,182570.3997,185779.226,-3208.826299999986,-1.7272255725728916,263372.801,207928.0749,55444.72609999997,26.665339024884116,266714.5505,210169.9334,56544.6171,26.904237054870762,269387.9501,211963.4203,57424.52980000002,27.091716919232983,79661.7033,222971.6003,40824.3392,196853.6504,38837.36409999999,26117.949899999978,95.13286647392934,13.267699047962372
7,10,0.013333,0.013333,0.026666,1.0,120,123,272726.2684,161730.9303,110995.3381,68.62962940614457,123575.1357,76415.5552,47159.5805,61.714634378525055,331139.259,234901.2328,96238.02620000002,40.96957050963592,280358.5469,205537.3251,74821.22180000003,36.40274182005497,322478.3416,232483.9146,89994.427,38.709958559859864,326808.8003,233692.5737,93116.2266,39.84560789661071,330273.1673,234659.501,95613.66629999998,40.74570426193823,235935.6972,300319.1968,84370.2154,219751.4664,151565.4818,80567.73039999997,179.64335053718497,36.66311388946434
8,11,0.008889,0.008889,0.017778,1.0,120,123,219246.258,159609.89,59636.36799999999,37.36383002331496,120667.5196,46023.5506,74643.969,162.18646329299068,295961.9439,215220.9773,80740.96660000001,37.51537959399463,228568.699,204759.0531,23809.645900000003,11.628128544026756,292848.5292,210763.173,82085.35619999998,38.946726333447245,294405.2366,212992.0751,81413.16150000002,38.22356369915475,295650.6025,214775.1969,80875.40559999997,37.65584051013852,136321.5459,260708.6141,63307.4441,207761.113,73014.1018,52947.501099999994,115.33256923888355,25.484798543604253
9,12,0.004444,0.004444,0.008888,1.0,120,123,235959.4399,146075.727,89883.71289999998,61.53227147724548,155173.1095,66389.0347,88784.07479999999,133.73304070649482,305237.156,186581.2228,118655.93320000003,63.5947880603128,247468.0542,185256.9234,62211.13080000001,33.5810018099437,293683.3357,186316.3629,107366.97279999999,57.62616397660475,299460.2458,186448.7928,113011.45299999998,60.612595717487515,304081.774,186554.7368,117527.03719999996,62.9986883292046,247468.0542,230205.1328,66389.0347,185919.0731,181079.0195,44286.05969999998,272.7544093964662,23.820073412360394
13,16,0.04,0.02,0.06,2.0,120,123,372445.7635,228086.2721,144359.4914,63.291617715909,161005.3645,33612.4916,127392.87289999999,379.0045510937368,453698.0574,346195.5199,107502.53749999998,31.05255016906415,392934.0236,278221.6741,114712.34950000001,41.23055828453158,433126.388,344314.7036,88811.68439999997,25.79375306120385,440273.3994,345371.0916,94902.30780000001,27.478358816989072,451013.1258,346030.6342,104982.49160000001,30.339074412504726,412151.253,337703.4602,125244.4451,318072.8707,286906.8079,19630.589499999944,229.07747139677338,6.17172708153256
14,17,0.026667,0.013333,0.04,2.000075001875047,120,123,231407.6791,156942.9316,74464.7475,47.447022137822735,155660.6838,36081.3157,119579.36809999999,331.416318335642,323547.4252,190549.5289,132997.8963,69.79702183876665,204301.0039,182013.1853,22287.8186,12.245167053839806,303850.3124,187893.5819,115956.7305,61.714045433288966,313698.8688,189221.5554,124477.31339999998,65.78389715530261,321577.7139,190283.9342,131293.77969999998,68.99887804611095,156511.5208,243890.3722,36081.3157,177086.5343,120430.20509999999,66803.83790000001,333.77442802065,37.723838328005506
15,18,0.013333,0.006667,0.02,1.9998500074996248,120,123,249025.7419,142653.0463,106372.6956,74.567419595301,157024.4951,34316.795,122707.7001,357.5733109691625,334352.8839,183358.3334,150994.5505,82.34943441081691,271500.9806,158607.9599,112893.02070000002,71.17739914893139,315286.316,182072.7038,133213.6122,73.16506506451958,324819.6,182715.5186,142104.08139999997,77.77340561372544,332446.2272,183229.7704,149216.4568,81.43679734698833,195563.8858,262391.206,34316.795,169737.1091,161247.0908,92654.0969,469.87806058228927,54.586823936899485
19,22,0.024,0.012,0.036000000000000004,2.0,120,123,377751.2592,238395.7345,139355.52469999998,58.455544513947665,165314.8048,133271.4999,32043.304900000017,24.043628925947143,493247.4466,318416.2054,174831.24120000005,54.90651488053945,399296.5489,298316.2461,100980.3028,33.850084975308356,454540.6083,315655.0622,138885.54610000004,43.99915057025182,473894.0274,317035.6338,156858.3936,49.476581455494426,489376.7627,318140.091,171236.6717,53.82429833403172,441516.4039,329927.4007,144676.8433,308684.903,296839.56059999997,21242.497700000007,205.17420329974806,6.8816121208234176
20,23,0.016,0.008,0.024,2.0,120,123,276221.2165,163387.2431,112833.97339999999,69.05923085496997,151655.8521,55395.7613,96260.09079999999,173.76797166609205,335673.7839,224129.5054,111544.27849999999,49.767779704385134,297490.688,202118.8964,95371.79160000003,47.1859847340825,333575.8577,222903.65,110672.2077,49.65024471335485,334624.8208,223516.5777,111108.24309999999,49.70917336123834,335463.9913,224006.9198,111457.07149999999,49.75608414218282,289606.0696,269528.7899,65139.1829,212511.2732,224466.88669999997,57017.51669999998,344.59579734765134,26.830349205211
21,24,0.008,0.004,0.012,2.0,120,123,269683.5586,152322.8002,117360.75839999999,77.04740081321061,159344.2964,67697.0635,91647.23289999999,135.3784465111991,341459.3424,190295.6228,151163.7196,79.43625679654886,281115.8184,159162.3479,121953.4705,76.62206049927214,319942.9523,189837.3102,130105.6421,68.53533794959975,330701.1473,190066.4665,140634.6808,73.99236876958514,339307.7034,190249.7915,149057.9119,78.34852838721771,287668.3672,265187.3565,67697.0635,173479.2344,219971.3037,91708.12210000001,324.9347790395664,52.86403437113625
25,28,0.06,0.015,0.075,4.0,120,123,339524.1725,143142.2195,196381.95299999998,137.19359227904104,157984.9049,29204.7401,128780.1648,440.9563802281535,416246.5692,201944.5952,214301.97400000002,106.1191926368525,352564.9304,174710.3334,177854.597,101.7997009900961,413617.6151,201170.7779,212446.8372,105.60521732714344,415991.9139,201409.0808,214582.8331,106.5407936164912,416195.6381,201837.4923,214358.14579999997,106.20333385899879,333196.9907,341824.9659,31509.1588,183736.0598,301687.83190000005,158088.90610000002,957.4607618531537,86.0413063565653
26,29,0.04,0.01,0.05,4.0,120,123,265376.3975,119885.572,145490.82550000004,121.3580776008643,157303.9264,15072.9457,142230.9807,943.6176811809253,357850.4225,161447.9133,196402.5092,121.65069537631493,268739.0862,157951.3942,110787.69200000001,70.14036980244647,339122.072,161082.6903,178039.3817,110.52669990079002,348486.2473,161265.3018,187220.9455,116.09499589204255,355977.5875,161411.391,194566.19650000002,120.54056116770595,229950.151,278661.2399,15467.4594,159042.3642,214482.69160000002,119618.87569999998,1386.6704676787451,75.21195770805824
27,30,0.02,0.005,0.025,4.0,120,123,235860.5962,126764.3244,109096.2718,86.06228315133119,155548.8423,14282.1042,141266.7381,989.1171225315665,306131.8381,158542.563,147589.2751,93.09126351136382,269392.8196,154667.2938,114725.52579999997,74.17568574539834,293440.2858,157549.2822,135891.00360000003,86.25301347136194,299786.0619,158045.9226,141740.13929999998,89.68288265096945,304862.6828,158443.235,146419.44780000002,92.41129657571055,173826.5235,251369.1143,14282.1042,154884.8794,159544.4193,96484.23489999998,1117.0932312620994,62.294160200637364
31,34,0.04,0.01,0.05,4.0,120,123,256343.1774,397062.3227,-140719.14530000003,-35.44006501123508,155104.6221,248615.6611,-93511.03899999999,-37.61269044205035,337176.0408,463222.7229,-126046.68209999998,-27.21081584920669,259456.9142,419497.6023,-160040.68810000003,-38.15056086674563,307327.996,461762.8581,-154434.86210000003,-33.444626260208096,322252.0184,462492.7905,-140240.7721,-30.322801777814956,334191.2363,463076.7365,-128885.50020000001,-27.83242820059047,297705.4571,240832.3225,293320.344,435965.5648,4385.113100000017,-195133.24229999998,1.4949911213795717,-44.75886584976447
32,35,0.026667,0.006667,0.033334,3.999850007499625,120,123,231718.4247,454972.6852,-223254.2605,-49.06981622465102,158357.2363,344625.7644,-186268.5281,-54.04950741982309,312864.9143,494671.7505,-181806.83620000002,-36.75302582292902,198648.8664,488008.9654,-289360.099,-59.29401292101753,299662.3523,491730.2753,-192067.92299999995,-39.05960902708728,306263.6333,493201.0129,-186937.3796,-37.90287828097038,311544.6581,494377.6029,-182832.9448,-36.982448987880716,176279.6994,240958.2123,344625.7644,473363.8387,-168346.06499999997,-232405.6264,-48.84894932132938,-49.09661604871551
33,36,0.013333,0.003333,0.016666,4.000300030003,120,123,260963.1017,264477.2103,-3514.1085999999777,-1.3286999647394488,155496.1778,170154.7182,-14658.540399999998,-8.614830405566737,328464.0577,307865.7643,20598.293400000024,6.6906735949788825,277895.2952,270780.4583,7114.836899999995,2.627529676501768,309300.7975,307827.8199,1472.9775999999838,0.47850697850457147,318882.4276,307846.7921,11035.635499999975,3.5847817106423485,326547.7317,307861.9699,18685.76179999998,6.0695258352532155,262404.0705,260602.8595,170154.7182,288057.8333,92249.35229999997,-27454.973800000007,54.21498344322724,-9.531063080449826
37,40,0.013333,0.026667,0.04,0.49998125023437207,120,123,190783.6558,195346.558,-4562.902199999982,-2.335798616937997,13949.3435,25011.1944,-11061.8509,-44.2275995423873,296841.9996,317780.8558,-20938.85620000004,-6.589086730000567,193861.1246,212660.1273,-18799.002699999983,-8.839928264258113,291835.5867,314491.3073,-22655.7206,-7.203925855536676,294338.7932,316136.0816,-21797.28839999996,-6.894906867220424,296341.3583,317451.9009,-21110.542599999986,-6.64999722482367,150725.4064,230841.9052,86979.3047,303713.8113,63746.101700000014,-72871.9061,73.2888149886533,-23.993609572143942
38,41,0.008889,0.017778,0.026666999999999996,0.5,120,123,201010.4462,250436.0997,-49425.653499999986,-19.73583423444443,13760.0689,98139.2383,-84379.1694,-85.97903434104806,328069.8647,357316.9454,-29247.08070000005,-8.185192747368664,204618.2554,290909.4015,-86291.14609999998,-29.66254980246831,287898.9406,353987.0427,-66088.10210000002,-18.669638751723728,307984.4027,355651.9941,-47667.591400000034,-13.40287477387155,324052.7723,356983.9551,-32931.18280000001,-9.224835550599234,133160.6146,251897.8198,150875.6653,325106.4256,-17715.050699999993,-73208.60580000002,-11.741489699333238,-22.51835092612824
39,42,0.004444,0.008889,0.013333,0.49994375070311625,120,123,226596.603,145739.2343,80857.36869999999,55.48085187105995,163319.4359,53630.09,109689.34590000001,204.52948316887034,314705.4647,197797.0655,116908.39920000001,59.10522428857774,201764.9085,185790.5474,15974.36109999998,8.598048352593409,292117.3534,195395.7619,96721.59150000001,49.50035280166433,303411.4091,196596.4137,106814.99539999999,54.3321179617225,312446.6536,197556.9351,114889.71850000002,58.15524443211512,201764.9085,239012.4503,53630.09,191793.8065,148134.8185,47218.64379999999,276.2158678085381,24.619483111411103
43,46,0.007059,0.014118,0.021177,0.5,120,123,316216.8713,518936.5097,-202719.6384,-39.06443940843424,78370.6879,350377.1926,-272006.5047,-77.63248020841638,403267.7722,595883.1111,-192615.33889999997,-32.32434940880135,383929.3729,525045.7877,-141116.41479999997,-26.876973038517338,401247.1141,589176.6736,-187929.55949999997,-31.89697894040997,402257.4431,592529.8923,-190272.44919999997,-32.11187345526601,403065.7064,595212.4674,-192146.76099999994,-32.28204574399006,218467.7694,389528.6978,460183.2872,563001.4267,-241715.51780000003,-173472.72889999993,-52.525922718907466,-30.81212953878292
44,47,0.004706,0.009412,0.014118,0.5,120,123,296191.1873,207795.251,88395.9363,42.53992132861593,158473.5986,127974.6811,30498.917499999996,23.831993358254984,407074.4471,252003.5276,155070.9195,61.535217771292814,323025.5161,243407.5445,79617.97160000002,32.70973862521341,390264.6609,250284.3309,139980.33000000002,55.92852317068484,398669.554,251143.9293,147525.62470000001,58.741465545749115,405393.4685,251831.6079,153561.8606,60.97799314412431,323025.5161,282774.0229,127974.6811,247705.536,195050.83500000002,35068.48689999999,152.41361285173775,14.157328684006476
45,48,0.002353,0.004706,0.007059,0.5,120,123,268376.71,189883.7202,78492.98980000001,41.337398339007265,163312.1317,110760.4606,52551.67109999999,47.44623741660387,343535.636,242839.1725,100696.46350000001,41.46631800106304,298282.3621,216051.5274,82230.83470000004,38.060751381663245,334484.9812,237481.6435,97003.33769999997,40.84666767096884,339010.3086,240160.408,98849.9006,41.15994864565686,342630.5705,242303.4196,100327.15089999998,41.4055860481137,298282.3621,253423.8839,110760.4606,229445.35,187521.90150000004,23978.53389999998,169.30401018935456,10.450651495007408
