timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5024.28,24,262144,64,39632,2611174520,64,72,119,0,603,731372,24,7412,69,209,128250912,1208,1,68,6283,78778,4,570,603,25040,114205640,12027870,3292565,817647129,603,1627,2,1,4,4,394,1,814309388,766738049,36175753,59001204,59001204,2,1,2595332080,73389,73389,4,4,4,58984820,11,3,422960,2908231,2884015,14484,6215,814309388,716888,9143546,7342
10044.90,24,262144,64,47813,3150244508,64,72,121,0,603,867023,24,9751,69,209,128516364,1208,1,68,7483,222158,4,570,603,29840,116476232,15789137,10115367,975635010,603,1627,2,1,4,4,394,1,971595788,924332560,71509051,71249071,71265455,2,1,3134959124,73389,73389,4,4,4,71249071,11,3,440357,5569671,3082481,23254,7415,971595788,843769,12706691,7342
15061.72,24,262144,64,54687,3603393492,64,72,122,0,603,970069,24,11684,69,209,128769750,1208,1,68,8495,369693,4,570,603,33892,118393864,19660717,17434284,1109020422,603,1627,2,1,4,4,394,1,1104371724,1056785783,110153205,81549401,81565785,2,1,3588173644,73389,73389,4,4,4,81549401,11,3,461549,8296205,3251906,27042,8428,1104371724,943027,16409145,7342
20072.52,24,262144,64,62829,4139907576,64,72,123,0,603,1094658,24,13940,69,209,129035202,1208,1,68,9693,496569,4,570,603,38680,120655432,23874108,24002277,1266615448,603,1627,2,1,4,4,394,1,1261264908,1213708984,167917811,93748116,93748116,2,1,4124917104,73389,73389,4,4,4,93748116,11,3,475805,10936165,3433726,31488,9625,1261264908,1063170,20440452,7342
25077.50,24,262144,64,84048,5537948616,64,72,127,1,603,1350414,24,19964,69,209,129566106,1208,1,68,12809,520442,4,570,603,51144,126347592,31262169,27953949,1676722234,603,1627,2,1,4,4,394,1,1669685260,1622409429,246224046,125521776,125521776,2,1,5522237248,73389,73389,4,4,4,125505392,11,3,499177,12365588,3687340,38144,12741,1669685260,1312270,27575529,7342
30096.77,24,262144,64,103401,6813434028,64,72,130,1,603,1597479,24,25407,69,209,130097010,1208,1,68,15651,546861,4,570,603,62516,148560152,38614965,31343051,2050781507,603,1627,2,1,4,4,394,1,2042191884,1995153700,281754780,154504123,154520507,2,1,6798181412,73389,73389,4,4,4,154504123,11,3,515365,14143522,3911607,44607,15584,2042322956,1552925,34703886,7342
35115.91,24,262144,64,115847,7633342316,64,72,132,1,603,1797632,24,28908,69,209,130362462,1208,1,68,17479,597541,4,570,603,69828,152008920,44971250,37701028,2291407140,603,1627,2,1,4,4,394,1,2281791500,2234961765,351853759,173139147,173139147,2,1,7617401572,73389,73389,4,4,4,173122763,11,3,533836,16258972,4209499,51020,17411,2281791500,1746612,40762591,7342
40122.85,24,262144,64,131830,8686378696,64,72,135,1,603,2008838,24,33380,69,209,130627914,1208,1,68,19828,648811,4,570,603,79228,173175416,52966682,42749352,2600601491,603,1627,2,1,4,4,394,1,2589679628,2542812851,411936661,197071792,197071792,2,1,8671158848,73389,73389,4,4,4,197071792,11,3,565300,17829350,4501057,59000,19760,2589679628,1949838,48466865,7342
45135.21,24,262144,64,157269,10362851886,64,72,139,1,603,2324535,24,40592,69,209,131424270,1208,1,68,23565,695803,4,570,603,94180,196819776,62379652,44634903,3092413931,603,1627,2,1,4,4,394,1,3079495692,3032800196,461803924,235162755,235179139,2,1,10347161220,73389,73389,4,4,4,235162755,11,3,588036,19030165,4736143,64997,23497,3079495692,2259538,57645089,7342
50147.16,24,262144,64,168429,11098215426,64,72,141,1,603,2499012,24,43745,69,209,131689722,1208,1,68,25203,746904,4,570,603,100732,199916352,67414688,50487405,3308036922,603,1627,2,1,4,4,394,1,3294191628,3247734879,504989403,251891202,251891202,2,1,11082491992,73389,73389,4,4,4,251874818,11,3,610353,21475780,4997981,70506,25135,3294191628,2428506,62418802,7342
