timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5011.69,8,262144,64,55123,3631967188,64,79,122,0,603,802070,36,12,11747,69,147,128769750,1208,1,68,8559,33538,4,413,603,34132,66845864,14534800,566542,1117211562,567,796,36,2,1,4,4,337,1,1112629260,1065223394,25531758,82204761,82204761,2,1,3616288588,73389,73389,4,4,4,82188377,10,3,431356,1913642,2933929,19117,8491,1112629260,782953,11601497,5778
10028.84,8,262144,64,87484,5764457572,64,79,127,0,603,1165924,36,12,20903,69,147,129566106,1208,1,68,13313,41252,4,413,603,53164,142887960,22997796,1097625,1742899629,567,796,36,2,1,4,4,337,1,1735745548,1688542615,68721259,130663749,130680133,2,1,5749204956,73389,73389,4,4,4,130663749,10,3,459505,2918653,3173446,27305,13245,1735745548,1138619,19824911,5778
15041.20,8,262144,64,98770,6508078648,64,79,129,0,603,1342816,36,12,24089,69,147,129831558,1208,1,68,14974,96998,4,413,603,59808,146023256,27918536,6463382,1961552308,567,796,36,2,1,4,4,337,1,1953456140,1905977487,115924545,147556036,147572420,2,1,6492465584,73389,73389,4,4,4,147556036,10,3,477755,5322778,3457807,34971,14906,1953456140,1307845,24461572,5778
20053.58,8,262144,64,106374,7009068912,64,79,131,1,603,1459576,36,12,26273,69,147,130097010,1208,1,68,16088,187760,4,413,603,64264,148135896,32491874,13653987,2108224648,567,796,36,2,1,4,4,337,1,2099470348,2052421585,179977347,158954094,158954094,2,1,6993980136,73389,73389,4,4,4,158954094,10,3,498886,8080190,3666777,38898,16020,2099470348,1420678,28826288,5778
25067.55,8,262144,64,113497,7478536360,64,79,132,1,603,1575787,36,12,28235,69,147,130362462,1208,1,68,17133,308184,4,413,603,68452,167071960,35104335,20074151,2245945216,567,796,36,2,1,4,4,337,1,2236571660,2189639441,221733844,169614872,169631256,2,1,7463054368,73389,73389,4,4,4,169614872,10,3,510706,10705391,3806153,45012,17066,2236571660,1530775,31299221,5778
30074.26,8,262144,64,127871,8425594412,64,79,134,1,603,1773842,36,12,32246,69,147,130627914,1208,1,68,19244,347849,4,413,603,76892,171039128,41246260,27740386,2523670354,567,796,36,2,1,4,4,337,1,2513133580,2466494203,274545051,191151579,191151579,2,1,8410669476,73389,73389,4,4,4,191151579,10,3,545473,13024775,4094100,51564,19176,2513133580,1722278,37153518,5778
35095.61,8,262144,64,158825,10465356806,64,79,139,1,603,2063817,36,12,41013,69,147,131424270,1208,1,68,23794,370188,4,413,603,95104,230212680,49258248,28858775,3122527161,567,796,36,2,1,4,4,337,1,3109511180,3062796760,293394379,237501349,237501349,2,1,10449338460,73389,73389,4,4,4,237484965,10,3,550737,14078045,4261086,58381,23726,3109511180,2005436,44998921,5778
40112.46,8,262144,64,170613,11242142406,64,79,141,1,603,2262236,36,12,44342,69,147,131689722,1208,1,68,25526,436712,4,413,603,102040,250451824,57253238,37125991,3350653450,567,796,36,2,1,4,4,337,1,3336658956,3289788816,416203861,255153333,255169717,2,1,11226746652,73389,73389,4,4,4,255153333,10,3,576216,16331890,4622021,64234,25459,3336658956,2198002,52633345,5778
45124.11,8,262144,64,182831,12046584198,64,79,144,2,603,2461288,36,12,47837,69,147,132220626,1208,1,68,27321,518729,4,413,603,109220,271067592,63698988,43490670,3586217976,567,796,36,2,1,4,4,337,1,3571209758,3525000858,466894201,273427909,273444293,2,1,12030827996,73389,73389,4,4,4,273427909,10,3,597939,18540060,4960063,72591,27253,3571209758,2388697,58740958,5778
50131.61,8,262144,64,205339,13529632046,64,79,148,3,603,2723159,36,12,54158,69,147,132751530,1208,1,68,30625,521889,4,413,603,122444,311182928,72298675,44462273,4021080318,567,796,36,2,1,4,4,337,1,4004271646,3958518553,498049485,307146947,307146947,2,1,13513744772,73389,73389,4,4,4,307130563,10,3,627115,19166805,5182922,85347,30557,4004271646,2637812,67118286,5778
55144.15,8,262144,64,220953,14558485642,64,79,150,3,603,2950087,36,12,58563,69,147,133016982,1208,1,68,32920,564597,4,413,603,131624,315459152,79005310,49246361,4323142845,567,796,36,2,1,4,4,337,1,4305081886,4259241667,561112762,330530728,330547112,2,1,14543352032,73389,73389,4,4,4,330530728,10,3,647525,21339002,5434345,91998,32852,4305081886,2858089,73573313,5778
60181.79,8,262144,64,228847,15078481346,64,79,152,3,603,3070016,36,12,60829,69,147,133282434,1208,1,68,34076,680049,4,413,603,136248,317648016,83130205,56772401,4475334564,567,796,36,2,1,4,4,337,1,4456601118,4411233229,612415730,342354770,342354770,2,1,15063609880,73389,73389,4,4,4,342354770,10,3,655292,24067668,5612369,96480,34008,4456601118,2973536,77519467,5778
65200.19,8,262144,64,236415,15577377766,64,79,153,3,603,3184698,36,12,62945,69,147,133547886,1208,1,68,35191,762580,4,413,603,140708,319755728,86896540,64658324,4622142525,567,796,36,2,1,4,4,337,1,4602746398,4557073397,659213504,353693325,353693325,2,1,15562506300,73389,73389,4,4,4,353693325,10,3,669796,26713241,5792570,100770,35123,4602746398,3083928,81105065,5778
70216.84,8,262144,64,247294,16294060238,64,79,155,3,603,3346486,36,12,66021,69,147,133813338,1208,1,68,36787,838118,4,413,603,147092,322780688,92767172,72709234,4832243642,567,796,36,2,1,4,4,337,1,4811937310,4766539331,816541396,369973371,369989755,2,1,16278828324,73389,73389,4,4,4,369973371,10,3,691692,29362571,6032440,106643,36719,4811937310,3239843,86735842,5778
75236.02,8,262144,64,267984,17657698186,64,79,158,3,603,3610620,36,12,71818,69,147,134344242,1208,1,68,39828,870685,4,413,603,159260,328326032,99789871,76180173,5232635277,567,796,36,2,1,4,4,337,1,5210658334,5165169895,915827416,400966632,400966632,2,1,17642531808,73389,73389,4,4,4,400966632,10,3,715430,31036595,6223889,112723,39761,5210658334,3497897,93566798,5778
80252.91,8,262144,64,277035,18253899121,64,79,160,3,603,3737397,36,12,74408,69,147,134609694,1208,1,68,41158,1000345,4,413,603,164576,330847952,104191568,82978447,5407592558,567,796,36,2,1,4,4,337,1,5384853022,5339400436,976748037,414508835,414531252,2,1,18238388740,73389,73389,4,4,4,414508835,10,3,725290,33708679,6408017,117105,41090,5384853022,3620292,97783546,5778
85276.89,8,262144,64,283041,18649517326,64,79,161,3,603,3827671,36,12,76100,69,147,134609694,1208,1,68,42041,1096693,4,413,603,168108,332514384,106780647,88734517,5523868867,567,796,36,2,1,4,4,337,1,5500589598,5455182622,1021652521,423510955,423510955,2,1,18633761124,73389,73389,4,4,4,423494571,10,3,729093,36311276,6538135,120837,41973,5500589598,3706834,100242758,5778
90349.84,8,262144,64,288962,19039679598,64,79,162,3,603,3923095,36,12,77771,69,147,134875146,1208,1,68,42910,1262535,4,413,603,171588,334158096,109703133,94445872,5638432190,567,796,36,2,1,4,4,337,1,5614622238,5569156013,1063069619,432373811,432390195,2,1,19024447684,73389,73389,4,4,4,432373811,10,3,740542,39106003,6674928,125671,42843,5614622238,3797424,103027916,5778
95405.82,8,262144,64,294209,19385405154,64,79,163,3,603,3998850,36,12,79236,69,147,134875146,1208,1,68,43683,1352672,4,413,603,174676,335621392,112317304,100796753,5740101231,567,796,36,2,1,4,4,337,1,5715809822,5670340194,1101182220,440223018,440239402,2,1,19369812792,73389,73389,4,4,4,440223018,10,3,748993,41956479,6789012,128856,43615,5715809822,3869994,105528014,5778
100447.35,8,262144,64,299863,19758069314,64,79,164,3,603,4109504,36,12,80852,69,147,135140598,1208,1,68,44513,1459084,4,413,603,178000,337196176,115209988,109128165,5849526775,567,796,36,2,1,4,4,337,1,5824599582,5779206762,1135395328,448709042,448709042,2,1,19743197848,73389,73389,4,4,4,448709042,10,3,758249,44934302,6910072,158705,44446,5824730654,3951032,108299877,5778
105583.82,8,262144,64,305662,20140236194,64,79,165,3,603,4211274,36,12,82488,69,147,135406050,1208,1,68,45365,1605840,4,413,603,181404,338802960,117677294,115403551,5961591616,567,796,36,2,1,4,4,337,1,5936272926,5890907358,1164420964,457383482,457399866,2,1,20124873208,73389,73389,4,4,4,457383482,10,3,769604,48105125,7020991,174929,45297,5936272926,4036345,110655931,5778
