timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5038.03,22,262144,64,26490,1745387724,64,41,117,1,603,493165,17,3719,69,11070,127985460,1208,1,68,4351,742429,4,192985,603,17298,76549760,6389035,22839423,563650242,603,1426,2,1,4,4,7131,1,561078284,513626010,39777953,39311571,39327955,2,1,1729709124,73389,73389,4,4,4,39311571,16,3,274267,15156805,1566329,17226,4283,561078284,475939,4825356,7897
10219.12,22,262144,64,32710,2155410712,64,41,118,1,603,584211,17,5468,69,11070,128250912,1208,1,68,5267,856035,4,192985,603,20962,78277632,9282419,29001435,684267219,603,1426,2,1,4,4,7131,1,681140236,633531181,66495632,48639212,48639212,2,1,2139404432,73389,73389,4,4,4,48622828,16,3,277000,17932418,1682594,20925,5199,681140236,563286,7602950,7897
15354.89,22,262144,64,37991,2503099040,64,41,119,1,603,664853,17,6967,69,11070,128250912,1208,1,68,6039,1020147,4,192985,603,24050,79746304,10483396,33834934,785930438,603,1426,2,1,4,4,7131,1,782327820,735100084,83754970,56547922,56547922,2,1,2488108568,73389,73389,4,4,4,56547922,16,3,278649,20935813,1741630,26506,5971,782327820,638347,8744049,7897
20945.85,22,262144,64,43711,2880088576,64,41,120,1,603,748191,17,8579,69,11070,128516364,1208,1,68,6881,1199156,4,192985,603,27422,81339328,15554108,45018860,896936659,603,1426,2,1,4,4,7131,1,892821516,845374941,205010523,65099482,65115866,2,1,2864377208,73389,73389,4,4,4,65099482,16,3,309998,23798472,1971453,29810,6814,892821516,718381,13585301,7897
26033.72,22,262144,64,48006,3162892956,64,41,121,1,603,816548,17,9806,69,11070,128516364,1208,1,68,7513,1409063,4,192985,603,29946,82535168,17482502,50772835,980042274,603,1426,2,1,4,4,7131,1,975527948,928122213,246057019,71527599,71543983,2,1,3147214356,73389,73389,4,4,4,71527599,16,3,315471,26586352,2065070,32684,7445,975527948,783864,15420035,7897
31074.36,22,262144,64,53478,3523629564,64,41,122,1,603,908396,17,11354,69,11070,128769750,1208,1,68,8316,1557181,4,192985,603,33166,101535704,19650584,56948879,1085920278,603,1426,2,1,4,4,7131,1,1080909836,1033483570,273200625,79735095,79751479,2,1,3508344180,73389,73389,4,4,4,79735095,16,3,322606,29360895,2173793,43198,8249,1080909836,865198,17479187,7897
36147.29,22,262144,64,58921,3882465628,64,41,123,1,603,997390,17,12893,69,11070,129035202,1208,1,68,9116,1665331,4,192985,603,36362,103041816,21629744,62395394,1191135968,603,1426,2,1,4,4,7131,1,1185636364,1138463120,306668359,87885247,87901631,2,1,3866950868,73389,73389,4,4,4,87885247,16,3,329808,32165515,2293869,46285,9049,1185636364,951105,19338968,7897
41261.22,22,262144,64,65042,4285735100,64,41,124,1,603,1089360,17,14614,69,11070,129035202,1208,1,68,10015,1772489,4,192985,603,39958,104741912,24942362,69479799,1309520625,603,1426,2,1,4,4,7131,1,1303470092,1256362586,361225108,97051207,97067591,2,1,4270253108,73389,73389,4,4,4,97051207,16,3,343374,35142942,2466852,49780,9947,1303470092,1039580,22479526,7897
46340.82,22,262144,64,69413,4573520216,64,41,124,1,603,1157810,17,15809,69,11070,129035202,1208,1,68,10658,1991830,4,192985,603,42530,105959064,27134052,75467718,1394204424,603,1426,2,1,4,4,7131,1,1387749388,1340488030,426851973,103602204,103602204,2,1,4558496976,73389,73389,4,4,4,103602204,16,3,355399,38167727,2576406,52511,10590,1387749388,1105299,24561798,7897
51404.99,22,262144,64,73778,4861443020,64,41,125,1,603,1224348,17,17054,69,11070,129300654,1208,1,68,11300,2119643,4,192985,603,45098,107175576,29433724,82834993,1478756795,603,1426,2,1,4,4,7131,1,1471897612,1424615826,464089350,110132499,110148883,2,1,4845829956,73389,73389,4,4,4,110132499,16,3,363728,41159797,2687741,55180,11232,1471897612,1169168,26749245,7897
