timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5212.14,8093,262144,64,22520,1483882544,64,40,117,0,603,7755745,24,2603,32,69,2348,171778,127985460,1208,1,68,3769,811785,4,806699,603,14976,78391696,6057808,28593910,487039561,603,2167,2,1,4,4,1042,1,484794380,437158349,58332760,33366782,33383166,2,1,1468138408,73389,73389,4,4,4,33366782,20,1,3,219843,25554284,2470092,28414,3701,484794380,7727331,3586277,13227
10270.67,8093,262144,64,27161,1789627832,64,40,117,0,603,7826524,24,3902,32,69,2348,171778,127985460,1208,1,68,4449,1017430,4,806699,603,17700,79680976,7796400,34672756,576724547,603,2167,2,1,4,4,1042,1,574054412,526553747,84544605,40317028,40333412,2,1,1773949232,73389,73389,4,4,4,40317028,20,1,3,231795,28803107,2610428,30870,4382,574054412,7795654,5184973,13227
15667.68,8093,262144,64,31944,2104944684,64,40,118,0,603,7896107,24,5237,32,69,2348,171778,128250912,1208,1,68,5152,1264976,4,806699,603,20512,81012176,10407004,44116863,669308043,603,2167,2,1,4,4,1042,1,666198028,618712627,133031952,47486299,47502683,2,1,2089397156,73389,73389,4,4,4,47486299,20,1,3,253412,32091026,2757078,33280,5085,666198028,7862827,7648248,13227
21796.54,8093,262144,64,37404,2464363956,64,40,119,0,603,7973242,24,6806,32,69,2348,171778,128250912,1208,1,68,5955,1498963,4,806699,603,23720,82539024,13071115,55517286,774927007,603,2167,2,1,4,4,1042,1,771317772,723780683,193085825,55657153,55673537,2,1,2448914732,73389,73389,4,4,4,55657153,20,1,3,267811,36177123,2914465,36119,5887,771317772,7937123,10155163,13227
26881.04,8093,262144,64,42471,2798558484,64,40,120,0,603,8049912,24,8232,32,69,2348,171778,128516364,1208,1,68,6701,1717943,4,806699,603,26704,83956880,15429024,62965596,873168874,603,2167,2,1,4,4,1042,1,869097484,821513318,243338427,63258441,63258441,2,1,2782650508,73389,73389,4,4,4,63242057,20,1,3,275396,39423085,3025352,38891,6633,869097484,8011021,12403109,13227
31896.16,8093,262144,64,48049,3165879928,64,40,121,0,603,8136845,24,9818,32,69,2348,171778,128516364,1208,1,68,7519,1767001,4,806699,603,29980,85509776,17567591,68875034,981023683,603,2167,2,1,4,4,1042,1,976445452,928984047,268783369,71593135,71615552,2,1,3150097940,73389,73389,4,4,4,71593135,20,1,3,279960,42234914,3123944,41865,7452,976445452,8094980,14443233,13227
36934.27,8093,262144,64,54001,3558170344,64,40,122,0,603,8229584,24,11481,32,69,2348,171778,128769750,1208,1,68,8394,1871921,4,806699,603,33480,87163408,20688296,75729111,1096250710,603,2167,2,1,4,4,1042,1,1091133452,1043654726,338337360,80511176,80527560,2,1,3542491744,73389,73389,4,4,4,80511176,20,1,3,295798,45120011,3299443,44827,8327,1091133452,8184757,17388289,13227
41948.08,8093,262144,64,64920,4277474256,64,40,124,1,603,8395152,24,14535,32,69,2348,171778,129035202,1208,1,68,9998,1934210,4,806699,603,39888,90151312,25806339,81304345,1307134823,603,2167,2,1,4,4,1042,1,1301110796,1253926049,391495914,96864950,96881334,2,1,4262057800,73389,73389,4,4,4,96864950,20,1,3,315077,47466147,3565950,49283,9930,1301110796,8345869,22239970,13227
46958.65,8093,262144,64,88065,5802533988,64,40,128,1,603,8739569,24,21090,32,69,2348,171778,129566106,1208,1,68,13398,1943040,4,806699,603,53500,130074400,37184519,83175096,1754763998,603,2167,2,1,4,4,1042,1,1746886668,1699711481,424364730,131523909,131540293,2,1,5787051996,73389,73389,4,4,4,131523909,20,1,3,344053,48387584,3989103,57369,13330,1746886668,8682200,33193811,13227
51974.44,8093,262144,64,111717,7361351376,64,40,132,2,603,9103407,24,27731,32,69,2348,171778,130362462,1208,1,68,16874,1950656,4,806699,603,67408,153213720,46760037,84111786,2212224329,603,2167,2,1,4,4,1042,1,2202492940,2155409760,455260213,166948598,166964982,2,1,7345738312,73389,73389,4,4,4,166948598,20,1,3,363753,49367054,4411656,66002,16806,2202492940,9037405,42348001,13227
56987.11,8093,262144,64,136933,9022667068,64,40,136,2,603,9488791,24,34826,32,69,2348,171778,130893366,1208,1,68,20576,1957024,4,806699,603,82220,176950736,58347372,84787662,2699416925,603,2167,2,1,4,4,1042,1,2687721484,2641060101,487116291,204716199,204716199,2,1,9007512756,73389,73389,4,4,4,204716199,20,1,3,387443,50304415,4808277,74718,20508,2687721484,9414073,53538141,13227
61995.41,8093,262144,64,162044,10677378998,64,40,140,2,603,9860560,24,41903,32,69,2348,171778,131424270,1208,1,68,24265,1965141,4,806699,603,96980,200575784,68893973,85308119,3184953793,603,2167,2,1,4,4,1042,1,3171246092,3124748902,511683027,242317801,242334185,2,1,10661983244,73389,73389,4,4,4,242317801,20,1,3,412545,51201103,5187206,83889,24197,3171246092,9776671,63707166,13227
67003.26,8093,262144,64,186748,12304615970,64,40,145,3,603,10237196,24,48910,32,69,2348,171778,132220626,1208,1,68,27894,1969423,4,806699,603,111508,258537176,79389882,85771181,3662004733,603,2167,2,1,4,4,1042,1,3646314014,3600342426,538540518,279298970,279315354,2,1,12289154680,73389,73389,4,4,4,279298970,20,1,3,430673,52063292,5515346,93082,27826,3646314014,10144114,73874263,13227
72011.07,8093,262144,64,212553,14004797818,64,40,149,3,603,10620635,24,56195,32,69,2348,171778,132751530,1208,1,68,31685,1974720,4,806699,603,126672,282618464,89142948,86086273,4160825017,603,2167,2,1,4,4,1042,1,4143076894,4097374997,562218814,317940956,317957340,2,1,13989402064,73389,73389,4,4,4,317940956,20,1,3,449457,52941096,5842758,101836,31617,4143076894,10518799,83299311,13227
77018.91,8093,262144,64,240117,15821053846,64,40,154,5,603,10981031,24,63956,32,69,2348,171778,133547886,1208,1,68,35734,1978332,4,806699,603,142880,324553088,100646290,86237791,4693872424,603,2167,2,1,4,4,1042,1,4673918494,4628304854,607652056,359230673,359230673,2,1,15805428716,73389,73389,4,4,4,359214289,20,1,3,465706,53743617,6139566,110544,35666,4673918494,10870487,94505271,13227
