timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5187.80,60,262144,64,23953,1578061084,64,48,117,5,603,2644692,37,3028,41,67,7,61063,127985460,1208,1,66,3976,733863,2,521970,603,15802,82441870,6190557,19956115,514385243,603,2148,2,1,4,4,1038,1,512057356,464714638,35581792,35519119,35519119,2,1,1562841236,73389,73389,4,4,4,35519119,20,1,3,277215,16516963,2083229,46856,3909,512057356,2597836,4111315,12319
10814.78,60,262144,64,29117,1918612604,64,48,118,5,603,2722873,37,4484,41,67,7,61063,128250912,1208,1,66,4736,861782,2,521970,603,18850,117894326,8643879,30059530,614470121,603,2148,2,1,4,4,1038,1,611672076,564249020,83068120,43251479,43267863,2,1,1903065076,73389,73389,4,4,4,43251479,20,1,3,302348,19862191,2290432,49748,4669,611672076,2673125,6356698,12319
15861.41,60,262144,64,34950,2302742256,64,48,119,5,603,2811110,37,6137,41,67,7,61063,128250912,1208,1,66,5593,1003770,2,521970,603,22282,136997494,11633678,38281771,727325038,603,2148,2,1,4,4,1038,1,724000780,676504428,125665567,51985422,52001806,2,1,2287358568,73389,73389,4,4,4,51985422,20,1,3,310660,22992057,2395256,53100,5526,724000780,2758010,9242644,12319
20913.65,60,262144,64,40154,2645649764,64,48,120,5,603,2890115,37,7606,41,67,7,61063,128250912,1208,1,66,6359,1145973,2,521970,603,25342,138448054,13984405,48027271,828060227,603,2148,2,1,4,4,1038,1,824270860,776766848,191342612,59777285,59793669,2,1,2630200540,73389,73389,4,4,4,59777285,20,1,3,321954,25816479,2500466,56114,6291,824270860,2834001,11487960,12319
25995.94,60,262144,64,46044,3033780420,64,48,121,5,603,2983955,37,9272,41,67,7,61063,128516364,1208,1,66,7226,1291576,2,521970,603,28810,140084086,16684188,54755937,942230752,603,2148,2,1,4,4,1038,1,937910284,890328670,214307846,68599181,68615565,2,1,3018363964,73389,73389,4,4,4,68599181,20,1,3,331004,28762996,2604623,59415,7158,937910284,2924540,14082686,12319
31129.68,60,262144,64,51769,3411097636,64,48,121,5,603,3074253,37,10832,41,67,7,61063,128516364,1208,1,66,8066,1439664,2,521970,603,32170,141676726,19300802,63231091,1052842044,603,2148,2,1,4,4,1038,1,1048010764,1000673325,255655576,77183509,77183509,2,1,3395353500,73389,73389,4,4,4,77167125,20,1,3,342644,31933867,2741578,62849,7998,1048010764,3011404,16562007,12319
36143.00,60,262144,64,57597,3795165060,64,48,122,5,603,3181610,37,12476,41,67,7,61063,128769750,1208,1,66,8922,1526794,2,521970,603,35594,143300726,21188746,69565031,1165553324,603,2148,2,1,4,4,1038,1,1160208396,1112896386,308448591,85915293,85915293,2,1,3780272892,73389,73389,4,4,4,85915293,20,1,3,347992,35026346,2832361,85859,8854,1160208396,3095751,18359549,12319
41219.29,60,262144,64,61574,4057394444,64,48,123,5,603,3244509,37,13618,41,67,7,61063,129035202,1208,1,66,9507,1842123,2,521970,603,37934,144409142,23337559,78344117,1242595116,603,2148,2,1,4,4,1038,1,1236885516,1189565355,335537170,91874307,91874307,2,1,4042469508,73389,73389,4,4,4,91874307,20,1,3,353517,38056573,2961377,89313,9439,1236885516,3155196,20379742,12319
46386.91,60,262144,64,66516,4382866068,64,48,124,5,603,3321172,37,15020,41,67,7,61063,129035202,1208,1,66,10232,1963914,2,521970,603,40838,145790774,24804037,83689002,1338206447,603,2148,2,1,4,4,1038,1,1332043788,1284741283,351468535,99258729,99275113,2,1,4367384076,73389,73389,4,4,4,99258729,20,1,3,354934,41033309,3046923,93365,10165,1332043788,3227807,21760954,12319
51400.58,60,262144,64,71041,4681009180,64,48,125,5,603,3392948,37,16309,41,67,7,61063,129300654,1208,1,66,10896,2112535,2,521970,603,43490,147048182,27075882,90257627,1425529159,603,2148,2,1,4,4,1038,1,1418944524,1371900805,388059176,106045135,106045135,2,1,4665985940,73389,73389,4,4,4,106045135,20,1,3,356226,44209812,3120546,96057,10828,1418944524,3296891,23959959,12319
