timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5009.99,4,262144,64,47436,3125537436,64,81,121,1,603,732343,3,9621,69,106,128516364,1208,1,68,7429,45792,4,3017,603,29608,47434944,14301166,813490,968409205,603,915,2,1,4,4,290,1,964517900,917191764,30239798,70692015,70692015,2,1,3109727764,73389,73389,4,4,4,70675631,8,3,397303,1953316,2527980,14524,7361,964517900,717819,11773799,10376
10019.68,4,262144,64,73272,4828016352,64,81,125,1,603,1043812,3,16904,69,106,129300654,1208,1,68,11225,55622,4,3017,603,44796,71602240,22912061,2407382,1467998781,603,915,2,1,4,4,290,1,1462067212,1414859121,79319955,109372802,109389186,2,1,4812403288,73389,73389,4,4,4,109372802,8,3,433825,3111667,2832105,21614,11157,1462067212,1022198,20081540,10376
15036.00,4,262144,64,83090,5474899676,64,81,127,1,603,1201516,3,19703,69,106,129566106,1208,1,68,12666,180910,4,3017,603,50560,74320064,27249854,9069509,1657694834,603,915,2,1,4,4,290,1,1650941964,1603941827,117234395,124090335,124090335,2,1,5459974740,73389,73389,4,4,4,124090335,8,3,446807,5659685,3059029,27068,12598,1650941964,1174448,24192248,10376
20050.69,4,262144,64,90583,5968615444,64,81,128,1,603,1316062,3,21803,69,106,129566106,1208,1,68,13768,331093,4,3017,603,54972,76403392,30988310,15488801,1802920878,603,915,2,1,4,4,290,1,1795514380,1748242578,167966599,135299977,135316361,2,1,5953198988,73389,73389,4,4,4,135299977,8,3,457285,8279103,3221524,31071,13701,1795514380,1284991,27767945,10376
25064.98,4,262144,64,97580,6429559904,64,81,129,1,603,1432600,3,23765,69,106,129831558,1208,1,68,14796,469265,4,3017,603,59084,78347136,33874849,21652060,1938279013,603,915,2,1,4,4,290,1,1930256396,1883009266,216128301,145774498,145790882,2,1,6414077912,73389,73389,4,4,4,145774498,8,3,471774,11008472,3375236,34850,14729,1930256396,1397750,30501779,10376
30071.08,4,262144,64,117401,7735716164,64,81,133,1,603,1650736,3,29294,69,106,130362462,1208,1,68,17709,522675,4,3017,603,70740,117528184,42957304,28961846,2321557996,603,915,2,1,4,4,290,1,2311938060,2264844161,322707855,175469549,175469549,2,1,7720660156,73389,73389,4,4,4,175469549,8,3,504789,12691929,3729777,41311,17641,2311938060,1609425,39230328,10376
35084.71,4,262144,64,143580,9460939380,64,81,137,1,603,1869829,3,36743,69,106,131158818,1208,1,68,21556,538593,4,3017,603,86136,158464176,49829740,31041720,2827901365,603,915,2,1,4,4,290,1,2816172044,2769208249,364427592,214664273,214680657,2,1,9445228012,73389,73389,4,4,4,214664273,8,3,509636,14034778,3904850,47741,21488,2816172044,1822088,45927736,10376
40103.49,4,262144,64,156151,10289051734,64,81,139,1,603,2086305,3,40286,69,106,131424270,1208,1,68,23402,604782,4,3017,603,93520,161951728,56690549,38304173,3070894912,603,915,2,1,4,4,290,1,3058130956,3011241891,426461469,233495905,233495905,2,1,10273819820,73389,73389,4,4,4,233495905,8,3,533299,16172585,4231037,68032,23334,3058130956,2018273,52462281,10376
45109.96,4,262144,64,170036,11204062682,64,81,141,1,603,2290543,3,44183,69,106,131689722,1208,1,68,25443,652720,4,3017,603,101688,182687264,62531443,43617340,3339540028,603,915,2,1,4,4,290,1,3325648908,3278687886,472675157,254295332,254295332,2,1,11188273712,73389,73389,4,4,4,254278948,8,3,546647,18083662,4478814,75172,25375,3325648908,2215371,58055771,10376
50128.58,4,262144,64,198030,13047974902,64,81,147,1,603,2650573,3,52120,69,106,132486078,1208,1,68,29552,656880,4,3017,603,118128,190060832,72671819,44275875,3879814154,603,915,2,1,4,4,290,1,3863762462,3817696941,508083081,296191257,296207641,2,1,13032415308,73389,73389,4,4,4,296191257,8,3,574127,18911982,4682491,83797,29485,3863762462,2566776,67992685,10376
