timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5025.87,22,262144,64,31562,2079644480,64,42,118,1,603,621146,20,5154,68,1131,128250912,1208,1,67,5098,546137,3,56471,603,20292,95702904,9388883,15490424,661913028,603,1544,2,1,4,4,877,1,658989068,611380908,41273596,46906826,46923210,2,1,2063900344,73389,73389,4,4,4,46906826,21,3,307338,10558856,2253237,19239,5030,658989068,601907,7136883,12935
10030.91,22,262144,64,44368,2923411180,64,42,120,1,603,821621,20,8759,68,1131,128516364,1208,1,67,6977,587678,3,56471,603,27804,99221496,14915571,20519109,909112168,603,1544,2,1,4,4,877,1,905142284,857993395,82348712,66088555,66104939,2,1,2907896420,73389,73389,4,4,4,66088555,21,3,326039,12641382,2594172,25101,6909,905142284,796520,12324393,12935
15037.70,22,262144,64,72053,4747597064,64,42,125,1,603,1162963,20,16583,68,1131,129300654,1208,1,67,11048,590292,3,56471,603,44092,106520824,25041422,21718908,1445035661,603,1544,2,1,4,4,877,1,1438867468,1391372748,116328323,107558496,107558496,2,1,4731852928,73389,73389,4,4,4,107542112,21,3,348181,13327186,2816655,31497,10980,1438867468,1131466,22228393,12935
20072.16,22,262144,64,84223,5549682868,64,42,127,1,603,1350193,20,20012,68,1131,129566106,1208,1,67,12835,644024,3,56471,603,51244,109880056,29835312,25929190,1680396389,603,1544,2,1,4,4,877,1,1673224204,1625829487,161202160,125773569,125789953,2,1,5534037036,73389,73389,4,4,4,125773569,21,3,361540,15622795,3080436,37168,12768,1673224204,1313025,26758516,12935
25112.84,22,262144,64,90709,5976872980,64,42,128,1,603,1445089,20,21838,68,1131,129566106,1208,1,67,13787,658183,3,56471,603,55048,111682744,32728399,31564560,1805622271,603,1544,2,1,4,4,877,1,1797873676,1750711756,191573756,135496585,135496585,2,1,5961849740,73389,73389,4,4,4,135496585,21,3,370350,18328747,3198795,40782,13719,1797873676,1404307,29533779,12935
30125.83,22,262144,64,97849,6447454540,64,42,129,1,603,1545293,20,23839,68,1131,129831558,1208,1,67,14835,709469,3,56471,603,59244,113668536,37574958,40037531,1943735127,603,1544,2,1,4,4,877,1,1935368204,1888257744,255995941,146190131,146190131,2,1,6432365764,73389,73389,4,4,4,146190131,21,3,386765,21327473,3372080,44348,14768,1935368204,1500945,34207475,12935
35139.55,22,262144,64,109288,7201102624,64,42,131,1,603,1709926,20,27068,68,1131,130097010,1208,1,67,16515,764022,3,56471,603,65960,116848568,43876587,48574363,2164754310,603,1544,2,1,4,4,877,1,2155438092,2108534071,331559523,163319986,163319986,2,1,7186079384,73389,73389,4,4,4,163319986,21,3,415925,23829911,3607521,52231,16447,2155438092,1657695,40273774,12935
40159.10,22,262144,64,130476,8597112048,64,42,135,1,603,1976967,20,33067,68,1131,130627914,1208,1,67,19628,800675,3,56471,603,78412,122522680,51209070,52613585,2574451403,603,1544,2,1,4,4,877,1,2563465228,2516692972,404144473,195044494,195044494,2,1,8581957736,73389,73389,4,4,4,195044494,21,3,451024,25442265,3870840,60333,19560,2563465228,1916634,47342724,12935
45177.80,22,262144,64,137841,9082439208,64,42,136,1,603,2079710,20,35129,68,1131,130893366,1208,1,67,20712,891222,3,56471,603,82748,124575032,55405795,59325269,2717173406,603,1544,2,1,4,4,877,1,2705547276,2658514785,434833197,206065720,206082104,2,1,9066891680,73389,73389,4,4,4,206065720,21,3,462961,28122089,4008561,63988,20644,2705547276,2015722,51401468,12935
50195.60,22,262144,64,143774,9473653364,64,42,137,1,603,2174091,20,36801,68,1131,131158818,1208,1,67,21583,1019488,3,56471,603,86236,126228664,57274810,64494541,2832001400,603,1544,2,1,4,4,877,1,2819842060,2772888532,456742495,214959185,214975569,2,1,9458204140,73389,73389,4,4,4,214959185,21,3,467356,30864215,4110282,71401,21516,2819842060,2102690,53167825,12935
