timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5155.79,55,262144,64,25118,1654941428,64,41,117,4,603,2678452,53,3346,55,68,5,245155,127985460,1208,1,67,4151,823606,3,391138,603,16498,80217544,6390294,21410980,537293721,603,2035,2,1,4,4,826,1,534863884,487174758,44882249,37267889,37267889,2,1,1639787116,73389,73389,4,4,4,37267889,22,1,3,218156,16842117,1780820,23838,4083,534863884,2654614,4611888,10527
10285.54,55,262144,64,30979,2041171540,64,41,118,5,603,2776568,53,4997,55,68,5,245155,128250912,1208,1,67,5010,942461,3,391138,603,19938,81837000,8784073,26624004,650542248,603,2035,2,1,4,4,826,1,647585804,600107717,65026670,46032441,46048825,2,1,2025427404,73389,73389,4,4,4,46032441,22,1,3,231518,19627856,1901938,29289,4943,647585804,2747279,6884624,10527
15378.98,55,262144,64,36909,2431923636,64,41,119,5,603,2865389,53,6667,55,68,5,245155,128250912,1208,1,67,5883,1058544,3,391138,603,23430,100463272,11971585,35187314,765366632,603,2035,2,1,4,4,826,1,761880588,714271874,120864811,54919873,54936257,2,1,2416474412,73389,73389,4,4,4,54919873,22,1,3,266417,22830934,2132744,37690,5815,761880588,2827699,9841813,10527
20406.34,55,262144,64,41883,2759757864,64,41,120,5,603,2935083,53,8077,55,68,5,245155,128516364,1208,1,67,6610,1205319,3,391138,603,26342,101847144,14884010,43935087,861239676,603,2035,2,1,4,4,826,1,857301004,810160477,180279281,62367672,62384056,2,1,2744177568,73389,73389,4,4,4,62367672,22,1,3,284452,25735764,2284982,40596,6543,857301004,2894487,12601886,10527
25470.54,55,262144,64,46880,3088833968,64,41,121,5,603,3009352,53,9494,55,68,5,245155,128516364,1208,1,67,7347,1314444,3,391138,603,29286,103244968,17236974,50884344,958167188,603,2035,2,1,4,4,826,1,953769996,906424283,209161494,69850398,69866782,2,1,3073417512,73389,73389,4,4,4,69850398,22,1,3,293516,28797397,2427097,43697,7280,953769996,2965655,14811410,10527
30587.09,55,262144,64,51501,3393268536,64,41,121,5,603,3077621,53,10748,55,68,5,245155,128516364,1208,1,67,8026,1427652,3,391138,603,32002,104535656,18681878,56182583,1047589256,603,2035,2,1,4,4,826,1,1042767884,995465660,220123722,76767876,76784260,2,1,3377786544,73389,73389,4,4,4,76767876,22,1,3,299048,32087692,2501801,46511,7959,1042767884,3031110,16182903,10527
35663.92,55,262144,64,56168,3700983212,64,41,122,5,603,3148811,53,12086,55,68,5,245155,128769750,1208,1,67,8710,1628655,3,391138,603,34746,122797640,20700855,62718291,1137804261,603,2035,2,1,4,4,826,1,1132552204,1085376983,276234477,83773307,83773307,2,1,3686025508,73389,73389,4,4,4,83773307,22,1,3,305907,35222454,2595094,49270,8643,1132552204,3099541,18108919,10527
42283.29,55,262144,64,62140,4094487820,64,41,123,5,603,3239475,53,13772,55,68,5,245155,129035202,1208,1,67,9588,1855657,3,391138,603,38258,124463560,23740737,73501782,1253422744,603,2035,2,1,4,4,826,1,1247633420,1200372836,313441875,92709891,92726275,2,1,4079235204,73389,73389,4,4,4,92709891,22,1,3,313170,39027700,2722557,52403,9521,1247633420,3187072,21021796,10527
49099.59,55,262144,64,66851,4404820628,64,41,124,5,603,3320702,53,15110,55,68,5,245155,129035202,1208,1,67,10283,2170526,3,391138,603,41034,125783240,25663423,82778977,1344833212,603,2035,2,1,4,4,826,1,1338597388,1291198020,389580955,99766633,99766633,2,1,4389010956,73389,73389,4,4,4,99750249,22,1,3,317978,43387290,2855005,55532,10215,1338597388,3265170,22811998,10527
54647.13,55,262144,64,71271,4696082460,64,41,125,5,603,3393390,53,16372,55,68,5,245155,129300654,1208,1,67,10932,2353013,3,391138,603,43638,144083712,28401426,91166084,1430434151,603,2035,2,1,4,4,826,1,1423794188,1376282888,464984579,106389199,106389199,2,1,4681124756,73389,73389,4,4,4,106389199,22,1,3,325615,46786861,2957472,58204,10865,1423794188,3335186,25447213,10527
60085.51,55,262144,64,76751,5057077904,64,41,126,5,603,3483574,53,17879,55,68,5,245155,129300654,1208,1,67,11735,2464736,3,391138,603,46850,145610048,31551767,100108918,1536053363,603,2035,2,1,4,4,826,1,1529045004,1481826604,511767248,114582470,114598854,2,1,5041628680,73389,73389,4,4,4,114582470,22,1,3,335648,50153004,3107493,69815,11668,1529045004,3413759,28447609,10527
65162.23,55,262144,64,81656,5380390148,64,41,127,5,603,3564309,53,19289,55,68,5,245155,129300654,1208,1,67,12457,2709473,3,391138,603,49738,146980672,34648102,110438350,1631264139,603,2035,2,1,4,4,826,1,1623678988,1576299680,629445090,121931965,121948349,2,1,5365006460,73389,73389,4,4,4,121931965,22,1,3,344858,53321525,3233038,72698,12390,1623678988,3491611,31418816,10527
70198.03,55,262144,64,87061,5736470392,64,41,127,5,603,3650969,53,20786,55,68,5,245155,129566106,1208,1,67,13251,2947951,3,391138,603,52910,148487552,37600824,118596741,1735692355,603,2035,2,1,4,4,826,1,1727619084,1680459070,747140725,130018740,130035124,2,1,5720824560,73389,73389,4,4,4,130018740,22,1,3,358951,56755854,3338461,84631,13183,1727619084,3566338,34265887,10527
75592.74,55,262144,64,91710,6042739968,64,41,128,5,603,3719039,53,22111,55,68,5,245155,129566106,1208,1,67,13932,3159803,3,391138,603,55634,149782784,39626046,125734496,1825381785,603,2035,2,1,4,4,826,1,1816879116,1769951968,785386695,136993562,136993562,2,1,6027716728,73389,73389,4,4,4,136993562,22,1,3,368760,60059949,3440953,88631,13864,1816879116,3630408,36188709,10527
