timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5356.71,36,262144,64,25791,1699312608,64,45,117,0,603,8328090,25,3527,55,68,289762,127985460,1208,1,67,4249,1127639,3,334312,603,16884,63771896,6451313,24402969,550205317,603,1761,11,1,2,1,4,4,494,1,547708940,500182390,58351613,38273346,38273346,2,1,1684027224,73389,73389,4,4,4,38273346,12,3,267815,24353445,2001910,34323,4181,547708940,8293767,4451243,23455
10549.96,36,262144,64,31089,2048380500,64,45,118,0,603,8404189,25,5023,55,68,289762,128250912,1208,1,67,5027,1253060,3,334312,603,19996,65253624,9015474,30764382,652654404,603,1761,11,1,2,1,4,4,494,1,649682956,602224669,86449211,46196281,46212665,2,1,2032636364,73389,73389,4,4,4,46196281,12,3,285271,27313622,2146343,40526,4959,649682956,8363663,6869964,23455
15605.44,36,262144,64,35822,2360155100,64,45,119,0,603,8479275,25,6350,55,68,289762,128250912,1208,1,67,5720,1451966,3,334312,603,22768,66564216,12067168,42608623,743911939,603,1761,11,1,2,1,4,4,494,1,740515852,693341949,148667851,53285791,53302175,2,1,2344574804,73389,73389,4,4,4,53285791,12,3,324337,29876505,2356570,43197,5652,740515852,8436078,9712917,23455
20689.56,36,262144,64,41439,2730394428,64,45,120,0,603,8570032,25,7961,55,68,289762,128516364,1208,1,67,6546,1679958,3,334312,603,26072,68122936,14798487,49905025,852680088,603,1761,11,1,2,1,4,4,494,1,848781324,801597384,181949302,61706279,61722663,2,1,2715076276,73389,73389,4,4,4,61706279,12,3,337284,32712756,2493362,46528,6478,848781324,8523504,12307864,23455
26096.89,36,262144,64,47246,3112820144,64,45,121,0,603,8668090,25,9591,55,68,289762,128516364,1208,1,67,7402,1782476,3,334312,603,29496,69740216,17093385,56204261,965407548,603,1761,11,1,2,1,4,4,494,1,960978956,913442229,203212746,70391070,70407454,2,1,3097207080,73389,73389,4,4,4,70391070,12,3,349604,35908422,2641324,58276,7334,960978956,8609814,14455258,23455
31203.47,36,262144,64,52290,3445507344,64,45,122,0,603,8743947,25,11004,55,68,289762,128769750,1208,1,67,8144,1933838,3,334312,603,32468,71141560,18967545,61891428,1063253233,603,1761,11,1,2,1,4,4,494,1,1058365452,1010635482,256081229,77959590,77975974,2,1,3430221960,73389,73389,4,4,4,77959590,12,3,364907,39092864,2778439,61557,8077,1058365452,8682390,16191985,23455
36236.79,36,262144,64,57384,3780964572,64,45,122,0,603,8820299,25,12419,55,68,289762,128769750,1208,1,67,8891,2132452,3,334312,603,35456,72560632,20668812,67901369,1161625223,603,1761,11,1,2,1,4,4,494,1,1156276236,1108745441,271589646,85581580,85597964,2,1,3765589520,73389,73389,4,4,4,85581580,12,3,370425,42344127,2857508,64569,8824,1156276236,8755730,17812982,23455
41404.81,36,262144,64,62457,4115528184,64,45,123,0,603,8896350,25,13859,55,68,289762,129035202,1208,1,67,9639,2287772,3,334312,603,38444,73982200,23671452,77737480,1259994165,603,1761,11,1,2,1,4,4,494,1,1254187020,1206573218,329215196,93191060,93207444,2,1,4100406640,73389,73389,4,4,4,93191060,12,3,379170,45663108,2951327,67546,9571,1254187020,8828804,20722084,23455
46458.84,36,262144,64,67081,4419893908,64,45,124,0,603,8966209,25,15167,55,68,289762,129035202,1208,1,67,10316,2444626,3,334312,603,41152,75266616,25179836,83696042,1349153016,603,1761,11,1,2,1,4,4,494,1,1342922764,1295579569,352237138,100110697,100110697,2,1,4404149772,73389,73389,4,4,4,100094313,12,3,381564,48732324,3006110,70350,10248,1342922764,8895859,22175996,23455
52197.55,36,262144,64,71442,4707554568,64,45,125,0,603,9055002,25,16414,55,68,289762,129300654,1208,1,67,10956,2625238,3,334312,603,43712,76483192,30150428,98739100,1433436419,603,1761,11,1,2,1,4,4,494,1,1426808844,1379602479,558820702,106640992,106657376,2,1,4692203648,73389,73389,4,4,4,106640992,12,3,403398,51695347,3230368,97531,10889,1426808844,8957471,26922348,23455
59878.21,36,262144,64,77866,5130681448,64,45,126,0,603,9152463,25,18224,55,68,289762,129300654,1208,1,67,11902,2976620,3,334312,603,47496,78280760,32960139,108805965,1558021528,603,1761,11,1,2,1,4,4,494,1,1550802956,1503355774,600009318,116249320,116265704,2,1,5114970080,73389,73389,4,4,4,116249320,12,3,411932,56649229,3350384,101476,11834,1550802956,9050987,29612856,23455
64963.83,36,262144,64,82443,5432232432,64,45,127,0,603,9225775,25,19528,55,68,289762,129566106,1208,1,67,12573,3099616,3,334312,603,50184,96530672,34430900,114422561,1646393058,603,1761,11,1,2,1,4,4,494,1,1638752268,1591513682,616032267,123117646,123117646,2,1,5417176424,73389,73389,4,4,4,123117646,12,3,412586,59906365,3415270,104095,12505,1638752268,9121680,31018640,23455
70043.95,36,262144,64,86991,5731882872,64,45,127,0,603,9293972,25,20768,55,68,289762,129566106,1208,1,67,13242,3270293,3,334312,603,52860,97799024,36838095,122367740,1734495201,603,1761,11,1,2,1,4,4,494,1,1726439436,1679075098,681340185,129920436,129936820,2,1,5716499184,73389,73389,4,4,4,129920436,12,3,419903,63163048,3539066,106713,13174,1726439436,9187259,33302491,23455
75487.00,36,262144,64,92248,6078263788,64,45,128,0,603,9370223,25,22257,55,68,289762,129566106,1208,1,67,14014,3547185,3,334312,603,55948,99266736,39351983,130525990,1836158055,603,1761,11,1,2,1,4,4,494,1,1827627020,1780300157,728819188,137802411,137802411,2,1,6063306084,73389,73389,4,4,4,137802411,12,3,426901,66548994,3648610,109585,13946,1827627020,9260638,35706861,23455
80559.69,36,262144,64,96573,6363299700,64,45,129,0,603,9441650,25,23487,55,68,289762,129831558,1208,1,67,14650,3716735,3,334312,603,58492,100471728,41403009,137081972,1919920947,603,1761,11,1,2,1,4,4,494,1,1910988812,1863663903,753561416,144277521,144277521,2,1,6348210924,73389,73389,4,4,4,144277521,12,3,434907,69456916,3732795,114291,14582,1910988812,9327359,37673987,23455
86452.29,36,262144,64,102033,6723249876,64,45,130,0,603,9535522,25,25032,55,68,289762,130097010,1208,1,67,15451,3828226,3,334312,603,61700,118946744,43982234,145273047,2025415869,603,1761,11,1,2,1,4,4,494,1,2015977484,1968862012,792044629,152444057,152460441,2,1,6707538508,73389,73389,4,4,4,152444057,12,3,448586,72932604,3849529,131479,15383,2015977484,9404043,40136883,23455
92528.75,36,262144,64,106977,7048852572,64,45,131,0,603,9654429,25,26440,55,68,289762,130097010,1208,1,67,16177,4007957,3,334312,603,64604,120327224,47113394,155097895,2121029987,603,1761,11,1,2,1,4,4,494,1,2111135756,2064012364,879684680,159861247,159861247,2,1,7033894868,73389,73389,4,4,4,159861247,12,3,456491,76833324,4021210,176975,16109,2111135756,9477454,43095846,23455
97616.91,36,262144,64,111507,7347323364,64,45,132,0,603,9723973,25,27692,55,68,289762,130097010,1208,1,67,16843,4081293,3,334312,603,67272,121596408,48588918,161370414,2208873594,603,1761,11,1,2,1,4,4,494,1,2198560780,2151311059,908983783,166631269,166647653,2,1,7331775836,73389,73389,4,4,4,166631269,12,3,461202,79875656,4094498,179697,16776,2198560780,9544276,44498761,23455
102651.15,36,262144,64,116463,7673977944,64,45,132,0,603,9800520,25,29078,55,68,289762,130362462,1208,1,67,17571,4189053,3,334312,603,70180,122975416,52315156,172313560,2304613244,603,1761,11,1,2,1,4,4,494,1,2293850124,2246837900,1012711902,174062684,174062684,2,1,7658037200,73389,73389,4,4,4,174046300,12,3,475339,82869896,4246794,182609,17503,2293850124,9617911,48071546,23455
107667.32,36,262144,64,121945,8035104460,64,45,133,0,603,9884370,25,30632,55,68,289762,130362462,1208,1,67,18374,4286252,3,334312,603,73396,124500856,54841654,178675991,2410490188,603,1761,11,1,2,1,4,4,494,1,2399232012,2352366259,1109054409,182272339,182288723,2,1,8019982916,73389,73389,4,4,4,182272339,12,3,477108,85764013,4334214,185699,18307,2399232012,9698671,50511080,23455
112710.62,36,262144,64,130175,8577385712,64,45,135,0,603,10001429,25,32984,55,68,289762,130627914,1208,1,67,19584,4399165,3,334312,603,78232,126787576,58890938,185658478,2569667240,603,1761,11,1,2,1,4,4,494,1,2557698060,2510915920,1156411228,194585742,194602126,2,1,8561772648,73389,73389,4,4,4,194585742,12,3,490351,88527581,4515976,190023,19516,2557698060,9811406,54379451,23455
117719.77,36,262144,64,152675,10059921338,64,45,138,0,603,10300578,25,39232,55,68,289762,131158818,1208,1,67,22890,4408294,3,334312,603,91460,149871992,69795539,187759440,3004769441,603,1761,11,1,2,1,4,4,494,1,2991022092,2944317756,1196206555,228272012,228288396,2,1,10043968528,73389,73389,4,4,4,228272012,12,3,515342,89509397,4957497,197940,22822,2991022092,10102638,64843431,23455
122735.43,36,262144,64,175970,11594811470,64,45,142,1,603,10661067,25,45857,55,68,289762,131689722,1208,1,67,26314,4415081,3,334312,603,105156,156135288,79145498,188611545,3455276771,603,1761,11,1,2,1,4,4,494,1,3439692134,3392929085,1217838510,263160347,263176731,2,1,11579055268,73389,73389,4,4,4,263160347,12,3,539334,90460342,5411405,206855,26246,3439692134,10454212,73739897,23455
127754.77,36,262144,64,198826,13100407010,64,45,147,1,603,11014071,25,52334,55,68,289762,132486078,1208,1,67,29668,4423639,3,334312,603,118572,162247992,90590376,189433570,3896199694,603,1761,11,1,2,1,4,4,494,1,3878835742,3833049417,1256783730,297376938,297393322,2,1,13084585272,73389,73389,4,4,4,297376938,12,3,562965,91356666,5786162,215691,29600,3878835742,10798380,84810422,23455
132767.23,36,262144,64,223244,14709424974,64,45,151,1,603,11383628,25,59189,55,68,289762,133282434,1208,1,67,33256,4429682,3,334312,603,132924,168763896,101772172,189918762,4368386097,603,1761,11,1,2,1,4,4,494,1,4349122078,4303335106,1283714951,333964891,333964891,2,1,14693734308,73389,73389,4,4,4,333948507,12,3,589629,92235538,6130932,225959,33188,4349122078,11157669,95648312,23455
137778.71,36,262144,64,248082,16346136982,64,45,155,1,603,11748657,25,66184,55,68,289762,133813338,1208,1,67,36905,4434604,3,334312,603,147520,175388152,112481465,190424204,4848639237,603,1761,11,1,2,1,4,4,494,1,4827403806,4781772073,1320369590,371142668,371165085,2,1,16330277392,73389,73389,4,4,4,371142668,12,3,614697,93101418,6496812,234458,36837,4827403806,11514199,105991400,23455
142787.33,36,262144,64,273605,18027680820,64,45,159,1,603,12124078,25,73410,55,68,289762,134344242,1208,1,67,40653,4439283,3,334312,603,162516,199166896,122238607,190796165,5341915923,603,1761,11,1,2,1,4,4,494,1,5318661662,5273319844,1344521773,409383246,409383246,2,1,18012862824,73389,73389,4,4,4,409383246,12,3,631850,93981569,6828357,243148,40585,5318661662,11880930,115416665,23455
147795.66,36,262144,64,300218,19781334594,64,45,164,1,603,12490005,25,80905,55,68,289762,135140598,1208,1,67,44564,4442915,3,334312,603,178164,223297144,133628273,190987778,5856656186,603,1761,11,1,2,1,4,4,494,1,5831284254,5786022809,1371672464,449233330,449249714,2,1,19766266520,73389,73389,4,4,4,449233330,12,3,648833,94793929,7099772,252125,44496,5831284254,12237880,126532876,23455
152802.97,36,262144,64,327833,21600553462,64,45,169,1,603,12859483,25,88700,55,68,289762,135936954,1208,1,67,48617,4448205,3,334312,603,194372,230580792,144178789,191063623,6389360634,603,1761,11,1,2,1,4,4,494,1,6361786156,6317708141,1409706970,490572199,490594616,2,1,21585176756,73389,73389,4,4,4,490572199,12,3,660486,95600808,7354549,261894,48549,6361786156,12597589,136829168,23455
157810.66,36,262144,64,354518,23359082686,64,45,173,1,603,13236429,25,96220,55,68,289762,136733310,1208,1,67,52539,4451724,3,334312,603,210064,237622136,154360561,191123636,6905635822,603,1761,11,1,2,1,4,4,494,1,6875981612,6831902882,1437910360,530543004,530543004,2,1,23343171280,73389,73389,4,4,4,530526620,12,3,685007,96392053,7617397,270086,52471,6875981612,12966343,146747391,23455
162819.34,36,262144,64,382026,25171415312,64,45,178,1,603,13640360,25,103973,55,68,289762,137264214,1208,1,67,56578,4455361,3,334312,603,226224,279162688,165139638,191169297,7437081411,603,1761,11,1,2,1,4,4,494,1,7405250348,7361615618,1469806428,571728384,571744768,2,1,25156048896,73389,73389,4,4,4,571728384,12,3,705394,97217560,7919841,278875,56510,7405250348,13361485,157223144,23455
