timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5027.23,22,262144,64,31092,2048577108,64,56,118,1,603,619718,8,5025,69,9127,128250912,1208,1,68,5029,657329,4,107877,603,20010,94306776,9504070,16825976,652712931,603,1856,2,1,4,4,534,1,649814028,602282219,41630307,46212665,46212665,2,1,2033357260,73389,73389,4,4,4,46212665,16,3,333276,11134972,2666854,23691,4961,649814028,596027,6838859,9302
10038.53,22,262144,64,43131,2841824310,64,56,120,2,603,822701,8,8420,69,9127,128516364,1208,1,68,6796,712707,4,107877,603,27082,97634968,15093530,22370566,885446032,603,1856,2,1,4,4,534,1,881549324,834167056,76611968,64241481,64241481,2,1,2825904268,73389,73389,4,4,4,64225097,16,3,349868,13389642,2957828,31964,6728,881549324,790737,12137604,9302
15044.13,22,262144,64,75306,4962112932,64,56,125,4,603,1219916,8,17417,69,9127,129300654,1208,1,68,11525,715314,4,107877,603,46002,123325960,25721729,23596895,1507838182,603,1856,2,1,4,4,534,1,1501388812,1454071234,129651560,112421941,112438325,2,1,4946565404,73389,73389,4,4,4,112421941,16,3,385703,14215294,3221547,39982,11457,1501388812,1179934,22500811,9302
20059.13,22,262144,64,89783,5915921192,64,56,128,4,603,1438554,8,21584,69,9127,129566106,1208,1,68,13652,756474,4,107877,603,54510,127282504,31561643,28660160,1787820145,603,1856,2,1,4,4,534,1,1780178956,1732851658,187253405,134097912,134114296,2,1,5900308128,73389,73389,4,4,4,134097912,16,3,401484,16324293,3464480,46039,13584,1780178956,1392515,28098063,9302
25081.65,22,262144,64,96772,6376341364,64,56,129,4,603,1552735,8,23545,69,9127,129831558,1208,1,68,14678,841857,4,107877,603,58614,129227656,34262407,34672331,1922912840,603,1856,2,1,4,4,534,1,1914658828,1867492338,206660934,144572433,144572433,2,1,6361187052,73389,73389,4,4,4,144572433,16,3,415995,19028773,3616365,60934,14610,1914658828,1491801,30646534,9302
30103.16,22,262144,64,103671,6831128748,64,56,130,4,603,1651377,8,25481,69,9127,130097010,1208,1,68,15689,919122,4,107877,603,62658,131144200,37408148,41468429,2056031787,603,1856,2,1,4,4,534,1,2047172620,2000376748,251088375,154913723,154913723,2,1,6816203812,73389,73389,4,4,4,154913723,16,3,422808,21763834,3769721,64285,15621,2047172620,1587092,33639523,9302
35109.36,22,262144,64,114564,7548746823,64,56,132,4,603,1802755,8,28554,69,9127,130362462,1208,1,68,17292,956684,4,107877,603,69070,134184200,42716235,48409464,2267048324,603,1856,2,1,4,4,534,1,2257281036,2210185906,332913196,171210153,171226537,2,1,7533246732,73389,73389,4,4,4,171210153,16,3,435573,24190264,3978510,70788,17225,2257281036,1731967,38738740,9302
40134.30,22,262144,64,136289,8980196432,64,56,136,4,603,2079707,8,34706,69,9127,130893366,1208,1,68,20484,975041,4,107877,603,81838,140009288,52060175,53876947,2687155469,603,1856,2,1,4,4,534,1,2675662860,2628612959,448810647,203743510,203759894,2,1,8964714440,73389,73389,4,4,4,203743510,16,3,484492,25816648,4314760,77391,20416,2675662860,2002316,47746454,9302
45156.14,22,262144,64,144491,9520908128,64,56,137,4,603,2192720,8,36994,69,9127,131158818,1208,1,68,21687,1039942,4,107877,603,86650,142289288,56565850,60744726,2845535395,603,1856,2,1,4,4,534,1,2833342476,2786701272,492423514,216030178,216046562,2,1,9505327832,73389,73389,4,4,4,216030178,16,3,495463,28531899,4479888,81359,21619,2833342476,2111361,52087850,9302
50216.09,22,262144,64,151405,9976280374,64,56,138,4,603,2295878,8,38923,69,9127,131158818,1208,1,68,22701,1154885,4,107877,603,90710,144215496,59578115,67337855,2979178844,603,1856,2,1,4,4,534,1,2966380556,2919798557,554247255,226375786,226398203,2,1,9960534584,73389,73389,4,4,4,226375786,16,3,502848,31409222,4618551,85029,22634,2966380556,2210849,54961207,9302
