timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5091.74,33,262144,64,23676,1559907612,64,42,117,1,603,488103,12,2951,69,25336,127985460,1208,1,68,3936,2232621,4,115656,603,15644,78331110,6236578,24193631,509178824,603,1731,2,1,4,4,959,1,506814476,459430010,44105185,35093135,35109519,2,1,1544097940,73389,73389,4,4,4,35093135,26,3,255393,17073812,2207029,27127,3869,506814476,460976,4027873,15059
10159.32,33,262144,64,28291,1864214416,64,42,118,1,603,566165,12,4237,69,25336,128250912,1208,1,68,4617,2405099,4,115656,603,18364,79626662,7197279,29234756,598736222,603,1731,2,1,4,4,959,1,595943436,548320088,52291239,42016646,42033030,2,1,1848732424,73389,73389,4,4,4,42016646,26,3,262800,20310041,2281485,38304,4549,595943436,527861,4913438,15059
15236.99,33,262144,64,32911,2168583448,64,42,118,1,603,632571,12,5525,69,25336,128250912,1208,1,68,5295,2616410,4,115656,603,21080,80914470,9323359,35338024,688154898,603,1731,2,1,4,4,959,1,684941324,637298320,84863804,48934124,48950508,2,1,2153101456,73389,73389,4,4,4,48934124,26,3,269991,22784006,2375997,41033,5228,684941324,591538,6946408,15059
20308.65,33,262144,64,38102,2510373536,64,42,119,1,603,708698,12,6995,69,25336,128250912,1208,1,68,6056,2772447,4,115656,603,24120,82357606,11665111,41556259,788239279,603,1731,2,1,4,4,959,1,784556044,737238903,142322443,56711762,56711762,2,1,2495317528,73389,73389,4,4,4,56711762,26,3,281975,25729024,2487959,43999,5988,784556044,664699,9176538,15059
25366.39,33,262144,64,43389,2858985984,64,42,120,1,603,790931,12,8492,69,25336,128516364,1208,1,68,6834,2934381,4,115656,603,27232,83826086,15625196,51535142,890696365,603,1731,2,1,4,4,959,1,886530060,839133089,192596468,64624346,64640730,2,1,2843471224,73389,73389,4,4,4,64624346,26,3,297351,28504399,2635167,46995,6766,886530060,743936,12989498,15059
30550.57,33,262144,64,48634,3204315016,64,42,121,1,603,872156,12,9977,69,25336,128516364,1208,1,68,7606,3092434,4,115656,603,30320,85288998,17430985,57630669,992362548,603,1731,2,1,4,4,959,1,987717644,940202982,212626384,72483904,72483904,2,1,3189291776,73389,73389,4,4,4,72483904,26,3,307439,31297204,2775823,50128,7538,987717644,822028,14654975,15059
35627.11,33,262144,64,53759,3542310632,64,42,122,1,603,948659,12,11429,69,25336,128769750,1208,1,68,8358,3259596,4,115656,603,33328,86710694,20766248,65820857,1091390915,603,1731,2,1,4,4,959,1,1086283788,1039001597,270250061,80167112,80167112,2,1,3526632032,73389,73389,4,4,4,80150728,26,3,314768,34125180,2881392,54680,8290,1086283788,893979,17883878,15059
40855.10,33,262144,64,59060,3891575132,64,42,123,1,603,1032517,12,12932,69,25336,129035202,1208,1,68,9137,3472437,4,115656,603,36448,88192550,23008374,72256908,1194108523,603,1731,2,1,4,4,959,1,1188519948,1141054296,323490749,88098239,88114623,2,1,3876322516,73389,73389,4,4,4,88098239,26,3,323535,37262465,2980029,60790,9070,1188519948,971727,20027063,15059
46224.26,33,262144,64,64052,4220323556,64,42,124,1,603,1111753,12,14348,69,25336,129035202,1208,1,68,9873,3766423,4,115656,603,39384,89586406,24790720,78079854,1290770017,603,1731,2,1,4,4,959,1,1284726796,1237238861,359056687,95564581,95580965,2,1,4204841564,73389,73389,4,4,4,95564581,26,3,325373,40604348,3053490,66888,9805,1284726796,1044865,21736358,15059
51273.31,33,262144,64,69023,4547961176,64,42,124,1,603,1186102,12,15704,69,25336,129035202,1208,1,68,10603,3866433,4,115656,603,42308,90972582,26982622,85533614,1387040957,603,1731,2,1,4,4,959,1,1380540428,1332995955,454444640,103012380,103028764,2,1,4532544720,73389,73389,4,4,4,103012380,26,3,336295,43808387,3159845,69944,10535,1380540428,1116158,23821731,15059
