timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5270.45,62,262144,64,24579,1619352072,64,46,117,0,603,1518380,22,3197,52,69,6,167271,127985460,1208,1,68,4071,1238153,4,288278,603,16180,97628608,6245184,20746076,526785981,603,2024,2,1,4,4,560,1,524378124,476805253,42017978,36442656,36459040,2,1,1603476864,73389,73389,4,4,4,36442656,14,3,233258,19301979,1902302,21002,4003,524378124,1497378,4343949,19286
10364.81,62,262144,64,29987,1975894376,64,46,118,0,603,1605251,22,4727,52,69,6,167271,128250912,1208,1,68,4864,1292563,4,288278,603,19360,116227296,7891278,25702367,631348000,603,2024,2,1,4,4,560,1,628449292,581000774,65235800,44551848,44568232,2,1,1960281312,73389,73389,4,4,4,44551848,14,3,241074,22020325,2028419,29352,4797,628449292,1575899,5864089,19286
15376.67,62,262144,64,34606,2280197872,64,46,119,0,603,1678559,22,6044,52,69,6,167271,128250912,1208,1,68,5542,1501376,4,288278,603,22076,134518488,10926346,32749892,720639477,603,2024,2,1,4,4,560,1,717316108,669941908,117665736,51477518,51493902,2,1,2265010792,73389,73389,4,4,4,51477518,14,3,258517,25073936,2149832,32137,5475,717316108,1646422,8777802,19286
20502.06,62,262144,64,38878,2561494924,64,46,119,0,603,1746404,22,7195,52,69,6,167271,128250912,1208,1,68,6171,1778441,4,288278,603,24592,135715160,13301770,39257922,803482198,603,2024,2,1,4,4,560,1,799760396,752166591,153850646,57864675,57881059,2,1,2546045700,73389,73389,4,4,4,57864675,14,3,269343,28205390,2287872,34665,6104,799760396,1711739,11015158,19286
25598.26,62,262144,64,44353,2922428140,64,46,120,0,603,1830763,22,8755,52,69,6,167271,128516364,1208,1,68,6975,1909577,4,288278,603,27804,137237848,15922781,46434734,909222484,603,2024,2,1,4,4,560,1,905011212,857763221,194612773,66072171,66072171,2,1,2907175524,73389,73389,4,4,4,66072171,14,3,281428,31278908,2388572,37732,6907,905011212,1793031,13534270,19286
30806.72,62,262144,64,49085,3234137204,64,46,121,0,603,1904769,22,10096,52,69,6,167271,128516364,1208,1,68,7671,2049327,4,288278,603,30588,138560536,17897050,53185065,1000884342,603,2024,2,1,4,4,560,1,996237324,948938835,244264669,73161681,73161681,2,1,3218393068,73389,73389,4,4,4,73145297,14,3,288035,34470255,2494507,40749,7603,996237324,1864020,15402128,19286
37360.88,62,262144,64,54672,3602410452,64,46,122,1,603,1987150,22,11680,52,69,6,167271,128769750,1208,1,68,8494,2288371,4,288278,603,33880,140122904,21149523,65882088,1109265219,603,2024,2,1,4,4,560,1,1104109580,1056555839,307890145,81533017,81533017,2,1,3587452748,73389,73389,4,4,4,81533017,14,3,309621,38385962,2684171,47175,8426,1104109580,1939975,18466688,19286
44114.87,62,262144,64,60197,3966620468,64,46,123,1,603,2073270,22,13241,52,69,6,167271,129035202,1208,1,68,9306,2383643,4,288278,603,37128,141662872,23466653,74707383,1216204185,603,2024,2,1,4,4,560,1,1210540044,1163062116,420189244,89797857,89814241,2,1,3951105708,73389,73389,4,4,4,89797857,14,3,324790,42642791,2825537,50449,9238,1210540044,2022821,20642621,19286
49609.31,62,262144,64,64955,4279768016,64,46,124,1,603,2145736,22,14568,52,69,6,167271,129035202,1208,1,68,10004,2594492,4,288278,603,39920,142989144,27328587,85884512,1308134266,603,2024,2,1,4,4,560,1,1302028300,1254649357,495066834,96914102,96930486,2,1,4264220488,73389,73389,4,4,4,96914102,14,3,344490,46041897,2997590,53262,9936,1302028300,2092474,24333151,19286
55004.41,62,262144,64,70722,4660103196,64,46,125,1,603,2231559,22,16210,52,69,6,167271,129300654,1208,1,68,10852,2736936,4,288278,603,43312,144602840,29165817,93842871,1419801745,603,2024,2,1,4,4,560,1,1413177356,1365763189,535872696,105569999,105569999,2,1,4644359060,73389,73389,4,4,4,105553615,14,3,354259,49378982,3140866,56593,10784,1413177356,2174966,26026671,19286
