timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
7900.76,69,262144,64,24125,1589598728,59,41,117,6,603,5491147,47,3074,46,63,6,1058979,127985460,1208,1,62,4000,2727413,3,1228563,603,15910,113322944,5838681,29866163,518121371,603,3984,2,1,4,4,1586,1,515727372,468076161,51860873,35770912,35787296,2,1,1573920128,73389,73389,4,4,4,35770912,36,1,3,167681,27836411,2158390,17546,3937,515727372,5473601,3680675,36147
12970.72,69,262144,64,29381,1935914108,59,41,118,6,603,5587374,47,4530,46,63,6,1058979,128250912,1208,1,62,4770,2952591,3,1228563,603,18994,114782720,7761637,36971127,619654028,603,3984,2,1,4,4,1586,1,616783884,569312918,79765392,43644695,43661079,2,1,1920366580,73389,73389,4,4,4,43644695,36,1,3,174012,31015819,2256789,38386,4708,616783884,5548988,5505112,36147
18429.15,69,262144,64,34186,2252407300,59,41,119,6,603,5661356,47,5891,46,63,6,1058979,128250912,1208,1,62,5476,3167377,3,1228563,603,21814,116115584,11540991,48528658,712495589,603,3984,2,1,4,4,1586,1,709189644,661826312,150645459,50848893,50848893,2,1,2236630396,73389,73389,4,4,4,50832509,36,1,3,182499,34388936,2439686,41205,5413,709189644,5620151,9101806,36147
24070.57,69,262144,64,39829,2624350564,59,41,119,6,603,5744894,47,7468,46,63,6,1058979,128250912,1208,1,62,6306,3327836,3,1228563,603,25134,117688768,13074124,55087844,821802113,603,3984,2,1,4,4,1586,1,817979404,770572931,184920000,59302149,59302149,2,1,2609294556,73389,73389,4,4,4,59302149,36,1,3,191772,38143695,2545414,44271,6243,817979404,5700623,10529526,36147
29136.12,69,262144,64,44858,2955789272,59,41,120,6,603,5821037,47,8891,46,63,6,1058979,128516364,1208,1,62,7046,3574138,3,1228563,603,28094,119094336,15784156,64422619,919255169,603,3984,2,1,4,4,1586,1,914972684,867502110,247465463,66831868,66831868,2,1,2940602192,73389,73389,4,4,4,66831868,36,1,3,202207,41574524,2648355,47163,6983,914972684,5773874,13136886,36147
35169.85,69,262144,64,50327,3316063820,59,41,121,6,603,5905582,47,10441,46,63,6,1058979,128516364,1208,1,62,7848,3727926,3,1228563,603,31306,120621056,17799338,71464385,1025006662,603,3984,2,1,4,4,1586,1,1020223500,972860305,285999666,75025139,75025139,2,1,3301106116,73389,73389,4,4,4,75025139,36,1,3,204621,45154484,2727404,59210,7786,1020223500,5846372,15072770,36147
40941.80,69,262144,64,54631,3599723476,59,41,122,6,603,5967649,47,11649,46,63,6,1058979,128769750,1208,1,62,8482,3958582,3,1228563,603,33838,121820480,20073767,79110670,1108370103,603,3984,2,1,4,4,1586,1,1103192076,1055777980,340735289,81467481,81483865,2,1,3584569164,73389,73389,4,4,4,81467481,36,1,3,211873,48776136,2839596,61857,8419,1103192076,5905792,17235202,36147
46048.08,69,262144,64,59221,3902126428,59,41,123,6,603,6048521,47,12972,46,63,6,1058979,129035202,1208,1,62,9156,4059699,3,1228563,603,36534,123098368,23471096,91556368,1197128473,603,3984,2,1,4,4,1586,1,1191534604,1144198207,454879639,88343999,88343999,2,1,3886415060,73389,73389,4,4,4,88327615,36,1,3,218318,51852007,2976771,73823,9093,1191534604,5974698,20777649,36147
51086.56,69,262144,64,64744,4265939920,59,41,124,6,603,6134920,47,14537,46,63,6,1058979,129035202,1208,1,62,9966,4223328,3,1228563,603,39778,124636352,25956527,99496885,1303920804,603,3984,2,1,4,4,1586,1,1297833996,1250552609,477599517,96602806,96619190,2,1,4250523464,73389,73389,4,4,4,96602806,36,1,3,223942,55212150,3061668,76814,9904,1297833996,6058106,22896379,36147
56153.53,69,262144,64,70127,4620843824,59,41,125,6,603,6217654,47,16056,46,63,6,1058979,129300654,1208,1,62,10758,4303853,3,1228563,603,42946,126135104,28415733,106265463,1408220396,603,3984,2,1,4,4,1586,1,1401643020,1354279979,539745686,104679230,104679230,2,1,4605886120,73389,73389,4,4,4,104679230,36,1,3,225551,58295287,3133285,79785,10696,1401643020,6137869,25284594,36147
