event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,72047,87410,15363,Total time spent analyzing index of patch parts
ArenaAllocBytes,165670912,190541824,24870912,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,40329,46401,6072,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,167,167,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,2,2,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CommonBackgroundExecutorTaskExecuteStepMicroseconds,21517,22759,1242,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,149,155,6,Time spent resetting task for Common executor.
CompileExpressionsBytes,16384,16384,0,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,113117,113117,0,Total time spent for compilation of expressions to LLVM code.
CompileFunction,2,2,0,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,384750908,458704696,73953788,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,25348755086201,30221067544447,4872312458246,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlDownscales,50053,58966,8913,Total number of CPU downscaling events
ConcurrencyControlPreemptedMicroseconds,110785532512,136008869860,25223337348,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptions,2482972,3119957,636985,Total number of CPU preemptions
ConcurrencyControlSlotsAcquired,50054,58967,8913,Total number of CPU slots acquired
ConcurrencyControlSlotsAcquiredNonCompeting,2,2,0,Total number of noncompeting CPU slot acquired
ConcurrencyControlSlotsGranted,2,2,0,Number of CPU slot granted according to guarantee of 1 thread per query and for queries with setting 'use_concurrency_control' = 0
ConcurrencyControlUpscales,50053,58966,8913,Total number of CPU upscaling events
ConcurrencyControlWaitMicroseconds,35296093998,42558805546,7262711548,Total time a query was waiting on resource requests for CPU slots.
ContextLock,1602668,1901799,299131,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,77099,98527,21428,Context lock wait time in microseconds
CreatedReadBufferOrdinary,737670,864741,127071,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,4632141807,5606640957,974499150,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,32365,32432,67,Total time spent waiting for write syscall. This include writes to page cache.
FileOpen,4076,4434,358,Number of files opened.
FileSync,764,767,3,Number of times the F_FULLFSYNC/fsync/fdatasync function was called for files.
FileSyncElapsedMicroseconds,874425,876591,2166,Total time spent waiting for F_FULLFSYNC/fsync/fdatasync syscall for files.
FilterTransformPassedBytes,1258657,1258657,0,Number of bytes that passed the filter in the query
FilterTransformPassedRows,20582,20582,0,Number of rows that passed the filter in the query
