event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,59641,72047,12406,Total time spent analyzing index of patch parts
ArenaAllocBytes,121630720,165670912,44040192,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,29577,40329,10752,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,167,167,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,2,2,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CommonBackgroundExecutorTaskExecuteStepMicroseconds,20090,21517,1427,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,146,149,3,Time spent resetting task for Common executor.
CompileExpressionsBytes,16384,16384,0,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,113117,113117,0,Total time spent for compilation of expressions to LLVM code.
CompileFunction,2,2,0,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,310688420,384750908,74062488,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,20469190289459,25348755086201,4879564796742,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlDownscales,41238,50053,8815,Total number of CPU downscaling events
ConcurrencyControlPreemptedMicroseconds,99388038197,110785532512,11397494315,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptions,2193573,2482972,289399,Total number of CPU preemptions
ConcurrencyControlSlotsAcquired,41239,50054,8815,Total number of CPU slots acquired
ConcurrencyControlSlotsAcquiredNonCompeting,2,2,0,Total number of noncompeting CPU slot acquired
ConcurrencyControlSlotsGranted,2,2,0,Number of CPU slot granted according to guarantee of 1 thread per query and for queries with setting 'use_concurrency_control' = 0
ConcurrencyControlUpscales,41238,50053,8815,Total number of CPU upscaling events
ConcurrencyControlWaitMicroseconds,28200130118,35296093998,7095963880,Total time a query was waiting on resource requests for CPU slots.
ContextLock,1286939,1602625,315686,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,74257,77099,2842,Context lock wait time in microseconds
CreatedReadBufferOrdinary,554448,737670,183222,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,3978666802,4632141807,653475005,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,25554,32365,6811,Total time spent waiting for write syscall. This include writes to page cache.
FileOpen,3176,4076,900,Number of files opened.
FileSync,531,764,233,Number of times the F_FULLFSYNC/fsync/fdatasync function was called for files.
FileSyncElapsedMicroseconds,660542,874425,213883,Total time spent waiting for F_FULLFSYNC/fsync/fdatasync syscall for files.
FilterTransformPassedBytes,1258657,1258657,0,Number of bytes that passed the filter in the query
FilterTransformPassedRows,20582,20582,0,Number of rows that passed the filter in the query
FilteringMarksWithPrimaryKeyMicroseconds,20062,31533,11471,Time spent filtering parts by PK.
FunctionExecute,106348791,131703723,25354932,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
GlobalThreadPoolExpansions,1171,1171,0,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolJobWaitTimeMicroseconds,28982447,31697972,2715525,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
GlobalThreadPoolJobs,27969,35833,7864,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolLockWaitMicroseconds,1451247,1574482,123235,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolThreadCreationMicroseconds,902270,902270,0,Total time spent waiting for new threads to start.
HTTPServerConnectionsCreated,783,1068,285,Number of created server HTTP connections
HTTPServerConnectionsExpired,707,983,276,Number of expired server HTTP connections.
HTTPServerConnectionsPreserved,706,874,168,Number of preserved server HTTP connections. Connection kept alive successfully
HTTPServerConnectionsReset,539,773,234,Number of reset server HTTP connections. Server closes connection
HTTPServerConnectionsReused,538,664,126,Number of reused server HTTP connections
IOBufferAllocBytes,114775509327,153560863061,38785353734,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
