event,value,description
Query,1827,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,1060,"Same as Query, but only for SELECT queries."
InitialQuery,1827,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,3432,Count queries with all subqueries
SelectQueriesWithSubqueries,2665,Count SELECT queries with all subqueries
QueryTimeMicroseconds,62759568710,Total time of all queries.
SelectQueryTimeMicroseconds,62757124883,Total time of SELECT queries.
OtherQueryTimeMicroseconds,2443827,Total time of queries that are not SELECT or INSERT.
FileOpen,4434,Number of files opened.
Seek,101429,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,794671,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,9371602366069,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,768,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,43693,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
FileSync,767,Number of times the F_FULLFSYNC/fsync/fdatasync function was called for files.
FileSyncElapsedMicroseconds,876591,Total time spent waiting for F_FULLFSYNC/fsync/fdatasync syscall for files.
ReadCompressedBytes,9237687401873,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,458704696,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,30221067544447,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheHits,861212,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMisses,3509,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,1489118,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,1741498,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,179221010253,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
ArenaAllocChunks,46401,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocBytes,190541824,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
FunctionExecute,157049295,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
TableFunctionExecute,2,Number of table function calls.
