event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,0,32815,32815,Total time spent analyzing index of patch parts
ArenaAllocBytes,0,23068672,23068672,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,0,5632,5632,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,160,160,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,2,2,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CommonBackgroundExecutorTaskExecuteStepMicroseconds,2299,15079,12780,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,67,147,80,Time spent resetting task for Common executor.
CompileExpressionsBytes,0,16384,16384,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,0,100286,100286,Total time spent for compilation of expressions to LLVM code.
CompileFunction,0,2,2,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,95,38581602,38581507,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,2605781,2541752818363,2541750212582,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlDownscales,0,8058,8058,Total number of CPU downscaling events
ConcurrencyControlPreemptedMicroseconds,0,9073737559,9073737559,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptions,0,182226,182226,Total number of CPU preemptions
ConcurrencyControlSlotsAcquired,0,8058,8058,Total number of CPU slots acquired
ConcurrencyControlUpscales,0,8058,8058,Total number of CPU upscaling events
ConcurrencyControlWaitMicroseconds,0,4161763027,4161763027,Total time a query was waiting on resource requests for CPU slots.
ContextLock,1445,156995,155550,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,30,7638,7608,Context lock wait time in microseconds
CreatedReadBufferOrdinary,300,84413,84113,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,304740,506319440,506014700,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,8,8,0,Total time spent waiting for write syscall. This include writes to page cache.
FairPolicyDequeue,0,3061464,3061464,Number of dequeues invoked at all FairPolicyNodes
FileOpen,357,1049,692,Number of files opened.
FilteringMarksWithPrimaryKeyMicroseconds,0,5653,5653,Time spent filtering parts by PK.
FunctionExecute,0,13114627,13114627,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
GlobalThreadPoolExpansions,674,1229,555,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolJobWaitTimeMicroseconds,2639949,4749139,2109190,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
GlobalThreadPoolJobs,705,6613,5908,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolLockWaitMicroseconds,103,98592,98489,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolThreadCreationMicroseconds,35606,567770,532164,Total time spent waiting for new threads to start.
HTTPServerConnectionsCreated,1,34,33,Number of created server HTTP connections
HTTPServerConnectionsExpired,0,19,19,Number of expired server HTTP connections.
HTTPServerConnectionsPreserved,0,88,88,Number of preserved server HTTP connections. Connection kept alive successfully
HTTPServerConnectionsReset,0,1,1,Number of reset server HTTP connections. Server closes connection
HTTPServerConnectionsReused,0,70,70,Number of reused server HTTP connections
IOBufferAllocBytes,21191413,17627706551,17606515138,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocs,420,169551,169131,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
InitialQuery,1,90,89,"Same as Query, but only counts initial queries (see is_initial_query)."
InterfaceHTTPReceiveBytes,250,95871,95621,Number of bytes received through HTTP interfaces
InterfaceHTTPSendBytes,0,109060,109060,Number of bytes sent through HTTP interfaces
JoinBuildTableRowCount,0,180,180,Total number of rows in the build table for a JOIN operation.
JoinOptimizeMicroseconds,0,150347,150347,Total time spent executing JOIN plan optimizations.
JoinProbeTableRowCount,0,26621970705,26621970705,Total number of rows in the probe table for a JOIN operation.
JoinReorderMicroseconds,0,647,647,Total time spent executing JOIN reordering algorithm.
JoinResultRowCount,0,106487882820,106487882820,Total number of rows in the result of a JOIN operation.
LoadedDataParts,34,34,0,Number of data parts loaded by MergeTree tables during initialization.
LoadedDataPartsMicroseconds,14157,14157,0,Microseconds spent by MergeTree tables for loading data parts during initialization.
LoadedMarksCount,0,807422,807422,Number of marks loaded (total across columns).
LoadedMarksFiles,0,143,143,Number of mark files loaded.
LoadedMarksMemoryBytes,0,3661568,3661568,Size of in-memory representations of loaded marks.
LocalThreadPoolBusyMicroseconds,66732,85610973614,85610906882,Total time threads have spent executing the actual work.
LocalThreadPoolExpansions,118,5935,5817,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolJobWaitTimeMicroseconds,11241,3757724,3746483,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolJobs,118,9940,9822,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolLockWaitMicroseconds,125,375586,375461,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolShrinks,70,5887,5817,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,6366,990769,984403,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LogDebug,1,1,0,Number of log messages with level Debug
LogInfo,48,48,0,Number of log messages with level Info
LogWarning,2,2,0,Number of log messages with level Warning
LoggerElapsedNanoseconds,1951592,1951592,0,Cumulative time spend in logging
MainConfigLoads,1,1,0,Number of times the main configuration was reloaded.
MarkCacheHits,0,83827,83827,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,0,143,143,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
MemoryWorkerRun,751,7411,6660,Number of runs done by MemoryWorker in background
MemoryWorkerRunElapsedMicroseconds,45356,2461722,2416366,Total time spent by MemoryWorker for background work
MergerMutatorPartsInRangesForMergeCount,832,1240,408,Amount of candidate parts for merge
MergerMutatorPrepareRangesForMergeElapsedMicroseconds,1096,2139,1043,Time spent to prepare parts ranges which can be merged according to merge predicate.
MergerMutatorRangesForMergeCount,195,291,96,Amount of candidate ranges for merge
MergerMutatorSelectPartsForMergeElapsedMicroseconds,2009,4069,2060,Time spent to select parts from ranges which can be merged.
MergerMutatorsGetPartsForMergeElapsedMicroseconds,8404,18974,10570,Time spent to take data parts snapshot to build ranges from them.
MergingSortedMilliseconds,0,62004,62004,Total time spent while merging sorted columns
NetworkReceiveBytes,250,95871,95621,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveElapsedMicroseconds,7,2410,2403,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendBytes,0,109060,109060,"Total number of bytes send to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendElapsedMicroseconds,0,17226,17226,"Total time spent waiting for data to send to network or sending data to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
OSCPUVirtualTimeMicroseconds,0,30780716930,30780716930,CPU time spent seen by OS. Does not include involuntary waits due to virtualization.
OSCPUWaitMicroseconds,0,2854821682,2854821682,"Total time a thread was ready for execution but waiting to be scheduled by OS, from the OS point of view."
OSReadChars,0,783355537400,783355537400,"Number of bytes read from filesystem, including page cache, as well as network and other files."
OSWriteChars,0,712,712,"Number of bytes written to filesystem, including page cache, as well as network and other files."
OpenedFileCacheHits,0,83426,83426,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMicroseconds,53,166193,166140,Amount of time spent executing OpenedFileCache methods.
OpenedFileCacheMisses,280,967,687,"Number of times a file has been found in the opened file cache, so we had to open it again."
PartsLockHoldMicroseconds,11655,12333,678,Total time spent holding data parts lock in MergeTree tables
PartsLockWaitMicroseconds,31,39,8,Total time spent waiting for data parts lock in MergeTree tables
PartsLocks,147,256,109,Number of times data parts lock has been acquired for MergeTree tables
QueriesWithSubqueries,1,223,222,Count queries with all subqueries
Query,1,90,89,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
QueryConditionCacheHits,0,1102,1102,Number of times an entry has been found in the query condition cache (and reading of marks can be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
QueryConditionCacheMisses,0,1186,1186,Number of times an entry has not been found in the query condition cache (and reading of mark cannot be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
QueryPlanOptimizeMicroseconds,53,249090,249037,Total time spent executing query plan optimizations.
QueryTimeMicroseconds,0,4310197907,4310197907,Total time of all queries.
RWLockAcquiredReadLocks,212,487,275,Number of times a read lock was acquired (in a heavy RWLock).
