arrival_ms,start_ms,end_ms,latency_ms,qid
623.6504,623.7003,34879.3524,34255.6522,np_greedy_87
1681.5352,1681.5832,39582.0640,37900.4808,np_greedy_87
5712.7747,5712.8177,27370.8275,21658.0098,p_greedy_330
7278.4658,7278.5505,32890.4380,25611.8875,p_greedy_330
7738.4572,7738.5374,43195.9882,35457.4508,np_greedy_87
9057.0988,9057.1566,41436.5529,32379.3962,np_greedy_87
35869.6973,35869.7475,71386.4828,35516.7353,np_greedy_87
36319.7386,36319.7873,69642.2415,33322.4542,np_greedy_87
45219.4154,45219.4543,80413.1315,35193.6772,np_greedy_87
49897.7911,49897.8390,88118.8840,38221.0449,np_greedy_87
49975.1117,49975.1699,72586.4646,22611.2948,p_greedy_330
58407.1705,58407.2193,85660.8974,27253.6781,p_greedy_330
69913.1245,69913.1884,91602.1546,21688.9662,p_greedy_330
72034.0061,72034.0944,111734.7581,39700.6638,np_greedy_87
74048.8795,74048.9528,110403.3876,36354.4347,np_greedy_87
78813.2161,78813.2651,115780.4234,36967.1583,np_greedy_87
83517.6366,83517.6866,121627.5340,38109.8474,np_greedy_87
86776.3937,86776.4456,124722.8939,37946.4483,np_greedy_87
86794.8771,86794.9194,126080.4925,39285.5731,np_greedy_87
88687.7314,88687.7838,123765.4936,35077.7099,p_greedy_330
93434.8501,93434.8972,133777.9688,40343.0716,np_greedy_87
94341.2623,94341.3112,150028.5489,55687.2377,p_greedy_330
94496.3840,94496.4343,133503.3855,39006.9512,np_greedy_87
95083.6126,95083.6659,151648.9914,56565.3255,p_greedy_330
96777.5662,96777.6206,154141.4924,57363.8717,p_greedy_330
105040.6556,105040.7086,143234.9029,38194.1944,np_greedy_87
105879.5056,105879.5568,145516.2295,39636.6727,np_greedy_87
109565.1847,109565.2376,160945.9539,51380.7163,p_greedy_330
110269.8170,110269.8776,148891.6699,38621.7923,np_greedy_87
114547.9263,114547.9755,162768.4742,48220.4988,p_greedy_330
117159.9657,117160.0192,153718.9410,36558.9219,np_greedy_87
138276.1769,138276.2303,168311.0670,30034.8367,p_greedy_330
144473.5758,144473.6436,187954.6375,43480.9939,np_greedy_87
145601.4044,145601.4656,189609.5144,44008.0488,np_greedy_87
147377.6583,147377.7069,190028.1386,42650.4317,np_greedy_87
153887.0079,153887.0943,171126.9134,17239.8191,p_greedy_330
165460.1010,165460.1894,194848.6451,29388.4557,np_greedy_87
165708.6655,165708.7064,199278.5402,33569.8338,np_greedy_87
193750.3450,193750.3945,238785.9522,45035.5577,np_greedy_87
199458.8555,199458.9070,204789.5135,5330.6066,p_greedy_330
203618.2423,203618.3140,246756.4306,43138.1166,np_greedy_87
207189.0032,207189.0748,252815.7540,45626.6793,np_greedy_87
212259.6554,212259.6967,218880.5949,6620.8982,p_greedy_330
216454.5584,216454.6262,223112.1056,6657.4793,p_greedy_330
228261.1070,228261.1580,274401.7118,46140.5538,np_greedy_87
234593.1663,234593.2147,253245.6969,18652.4822,p_greedy_330
234925.1163,234925.1680,253673.4546,18748.2866,p_greedy_330
243465.9949,243466.0964,256458.2231,12992.1267,p_greedy_330
245223.9826,245224.0881,282545.9242,37321.8361,np_greedy_87
250097.9663,250098.0891,288267.5016,38169.4125,np_greedy_87
267223.1583,267223.2082,288560.6421,21337.4339,p_greedy_330
268827.6786,268827.7525,304558.0382,35730.2857,np_greedy_87
271511.6187,271511.6678,310849.6471,39337.9793,np_greedy_87
275597.4551,275597.5058,316559.8213,40962.3155,p_greedy_330
277309.8776,277309.9215,319852.4977,42542.5762,p_greedy_330
282386.2094,282386.2581,325318.9587,42932.7006,np_greedy_87
285342.0170,285342.0773,327346.9047,42004.8274,p_greedy_330
291061.3074,291061.3800,329898.2809,38836.9010,np_greedy_87
294474.9943,294475.0558,334383.0759,39908.0201,p_greedy_330
299807.6712,299807.7202,336274.7948,36467.0746,p_greedy_330
310257.1534,310257.2286,349907.6885,39650.4599,np_greedy_87
314643.8701,314643.9539,353473.5973,38829.6434,np_greedy_87
320526.7154,320526.7668,362837.1010,42310.3343,np_greedy_87
325742.4641,325742.5169,366938.7532,41196.2363,p_greedy_330
330557.8400,330557.8941,370696.4643,40138.5702,p_greedy_330
334231.6975,334231.7876,383286.0744,49054.2868,p_greedy_330
337514.1009,337514.1629,382464.0680,44949.9051,np_greedy_87
342406.9285,342406.9792,398609.0246,56202.0454,p_greedy_330
345038.7607,345038.8102,400099.9284,55061.1182,p_greedy_330
345842.5230,345842.5705,392537.1650,46694.5945,np_greedy_87
349540.1498,349540.1908,401885.2133,52345.0225,p_greedy_330
355422.4945,355422.5731,404682.1132,49259.5401,p_greedy_330
359218.5307,359218.6091,411221.4172,52002.8081,np_greedy_87
370999.0497,370999.1536,420703.0094,49703.8559,np_greedy_87
383723.8417,383723.9028,431903.4988,48179.5960,np_greedy_87
387680.4839,387680.5346,421473.4604,33792.9258,p_greedy_330
388651.2424,388651.2932,421720.8320,33069.5388,p_greedy_330
391193.4707,391193.5189,421972.3517,30778.8328,p_greedy_330
393771.9733,393772.0385,422215.1156,28443.0771,p_greedy_330
409301.8772,409301.9648,444042.2572,34740.2925,np_greedy_87
417013.4439,417013.5217,452226.1448,35212.6231,np_greedy_87
429803.2531,429803.3046,464328.4009,34525.0963,np_greedy_87
435239.0777,435239.1277,470672.2239,35433.0963,np_greedy_87
435612.5585,435612.6074,468358.0434,32745.4360,np_greedy_87
451866.3141,451866.3644,497515.2279,45648.8634,np_greedy_87
454184.9208,454184.9722,495600.0942,41415.1220,np_greedy_87
455775.9131,455775.9615,469127.0199,13351.0584,p_greedy_330
474062.0771,474062.1268,532477.3161,58415.1892,np_greedy_87
481427.8554,481427.8989,489704.2174,8276.3185,p_greedy_330
483928.6588,483928.7254,492279.4490,8350.7236,p_greedy_330
493559.3995,493559.4491,504659.2066,11099.7576,p_greedy_330
494592.0187,494592.0953,508312.0869,13719.9916,p_greedy_330
499006.6999,499006.8188,513100.7529,14093.9341,p_greedy_330
502431.3645,502431.4347,549974.3092,47542.8746,np_greedy_87
