event,value,description
Query,5,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,5,"Same as Query, but only for SELECT queries."
InitialQuery,5,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,12,Count queries with all subqueries
SelectQueriesWithSubqueries,12,Count SELECT queries with all subqueries
QueryTimeMicroseconds,13581,Total time of all queries.
SelectQueryTimeMicroseconds,13581,Total time of SELECT queries.
FileOpen,245,Number of files opened.
Seek,388,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,6593,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,20214316,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,1,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,61,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
ReadCompressedBytes,599687,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,90,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,4224850,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheMisses,161,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,15,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,278,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,25644550,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
ArenaAllocChunks,19,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocBytes,651264,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
FunctionExecute,19,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
TableFunctionExecute,2,Number of table function calls.
CreatedReadBufferOrdinary,187,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,633878,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,10,Total time spent waiting for write syscall. This include writes to page cache.
NetworkReceiveElapsedMicroseconds,8885706,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendElapsedMicroseconds,519,"Total time spent waiting for data to send to network or sending data to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveBytes,1596,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendBytes,338388,"Total number of bytes send to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
GlobalThreadPoolExpansions,664,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolThreadCreationMicroseconds,79970,Total time spent waiting for new threads to start.
GlobalThreadPoolLockWaitMicroseconds,183,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolJobs,722,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolJobWaitTimeMicroseconds,7873940,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolExpansions,129,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolShrinks,67,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,7840,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LocalThreadPoolLockWaitMicroseconds,82,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolJobs,171,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolBusyMicroseconds,8258156,Total time threads have spent executing the actual work.
LocalThreadPoolJobWaitTimeMicroseconds,6823,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
QueryPlanOptimizeMicroseconds,434,Total time spent executing query plan optimizations.
SelectedRows,26686,Number of rows SELECTed from all tables.
SelectedBytes,1840486,Number of bytes (uncompressed; for columns as they stored in memory) SELECTed from all tables.
LoadedDataParts,17,Number of data parts loaded by MergeTree tables during initialization.
LoadedDataPartsMicroseconds,2098139,Microseconds spent by MergeTree tables for loading data parts during initialization.
CommonBackgroundExecutorTaskExecuteStepMicroseconds,1123,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,3,Time spent resetting task for Common executor.
ContextLock,1783,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,4,Context lock wait time in microseconds
RWLockAcquiredReadLocks,549,Number of times a read lock was acquired (in a heavy RWLock).
PartsLockHoldMicroseconds,2091795,Total time spent holding data parts lock in MergeTree tables
PartsLocks,134,Number of times data parts lock has been acquired for MergeTree tables
SharedPartsLockHoldMicroseconds,1007,Total time spent holding shared data parts lock in MergeTree tables
SharedPartsLockWaitMicroseconds,13,Total time spent waiting for shared data parts lock in MergeTree tables
SharedPartsLocks,1302,Number of times shared data parts lock has been acquired for MergeTree tables
RealTimeMicroseconds,25352,Total (wall clock) time spent in processing (queries and other tasks) threads (note that this is a sum).
UserTimeMicroseconds,9395,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in user mode. This includes time CPU pipeline was stalled due to main memory access, cache misses, branch mispredictions, hyper-threading, etc."
SystemTimeMicroseconds,6192,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in OS kernel mode. This is time spent in syscalls, excluding waiting time during blocking syscalls."
MemoryAllocatorPurge,1,Total number of times memory allocator purge was requested
MemoryAllocatorPurgeTimeMicroseconds,2794,Total time spent for memory allocator purge
SoftPageFaults,1681,"The number of soft page faults in query execution threads. Soft page fault usually means a miss in the memory allocator cache, which requires a new memory mapping from the OS and subsequent allocation of a page of physical memory."
OSCPUVirtualTimeMicroseconds,15083,CPU time spent seen by OS. Does not include involuntary waits due to virtualization.
OSReadChars,4558,"Number of bytes read from filesystem, including page cache, as well as network and other files."
OSWriteChars,32,"Number of bytes written to filesystem, including page cache, as well as network and other files."
ThreadPoolReaderPageCacheHitElapsedMicroseconds,79,Time spent reading data from page cache in ThreadPoolReader.
ThreadPoolReaderPageCacheMiss,56,Number of times the read inside ThreadPoolReader was not done from page cache and was hand off to thread pool.
ThreadPoolReaderPageCacheMissBytes,254901,Number of bytes read inside ThreadPoolReader when read was not done from page cache and was hand off to thread pool.
