timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
29626.99,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
31635.21,0,253952,62,9817,646214488,4,5578140,52,8,8,3120,123,0,558,95116,0,9,3842,1,15,258,96687939,1118,1,4,3997,12079188,8,48252196,14,22,6,4113,558,5976581,356115,237561540,558,503,0,3,1,14,14,4557,3,237618334,206205770,11884822,12252185,12252185,1,3,1,637113652,73389,73389,14,14,14,12252189,7,3,89007,97184,310590,2035,237618334,95116,5666174,2713
33650.88,0,253952,62,20169,1328395686,4,6947933,126,8,8,3120,171,5,558,182666,0,9,7905,1,15,258,98558169,1118,1,4,3997,25008617,8,100034468,14,22,6,4113,558,12282316,787384,449479082,558,503,0,3,1,14,14,4557,3,449063854,421013840,20003958,25366245,25366245,1,3,1,1319044772,73389,73389,14,14,14,25366249,7,3,99329,186819,431638,3752,449063854,182666,11851082,2713
35665.93,0,253952,62,30875,2033161262,5,9117983,223,9,9,3120,262,5,567,274969,0,9,12121,1,15,258,101939761,1136,1,4,3997,38305631,8,153158232,14,23,6,4113,567,18844670,1274610,674411748,567,512,0,3,1,14,14,4557,3,674169657,642984415,29176646,38918799,38918799,1,3,1,2022925612,73389,73389,14,14,14,38902419,7,3,107464,281456,557029,5663,674169657,274969,18288271,2748
37681.01,1,253952,62,41607,2739027474,5,10300028,320,10,10,3120,312,5,567,367957,0,9,16325,1,15,258,103834123,1136,1,4,3997,51727623,8,206781224,14,24,6,4113,567,25397892,1733225,894713117,567,512,0,3,1,14,14,4557,3,894122224,865149841,37349631,52483863,52500247,1,3,1,2729160908,73389,73389,14,14,14,52483867,7,3,111085,376715,663350,7455,894122224,367957,24735391,2748
39691.05,3,253952,62,52239,3440511966,6,12470038,410,10,10,3120,387,7,567,456765,0,9,20525,1,15,258,106657567,1136,1,4,3997,65007309,8,260029236,14,24,6,4113,567,31920426,2105482,1118290566,567,512,0,3,1,14,14,4557,3,1117495360,1086235549,46396658,65951894,65968278,1,3,1,3429498520,73389,73389,14,14,14,65951898,7,3,116610,467818,780183,9313,1117626432,456810,31141311,2748
41700.37,3,253952,62,62826,4138456104,6,13637065,513,10,10,3120,453,7,567,544537,0,9,24696,1,15,258,110144641,1136,1,4,3997,78257292,8,312900040,14,24,6,4113,567,38448296,2495126,1334798243,567,512,0,3,1,14,14,4557,3,1333637058,1305535026,54453475,79407859,79407859,1,3,1,4129208700,73389,73389,14,14,14,79407863,7,3,122341,557720,900117,11101,1333637058,544537,37549479,2748
43710.93,3,253952,62,73406,4836484460,6,14628441,604,10,10,3120,520,7,567,639761,0,9,28864,1,15,258,112919821,1136,1,4,3997,91471784,8,365757560,14,24,6,4113,567,44983597,3027749,1554929563,567,512,0,3,1,14,14,4557,3,1553676672,1525498908,62486453,92826738,92826738,1,3,1,4826990408,73389,73389,14,14,14,92826742,7,3,126191,655183,1009798,12926,1553676672,639761,43975336,2748
45721.68,4,253952,62,84283,5551575874,8,17831560,694,12,12,3120,596,7,567,733009,0,9,33144,1,15,258,114512533,1136,1,4,3997,105026515,8,420106060,14,26,6,4113,567,51445072,3463231,1779980811,567,512,0,3,1,14,14,4557,3,1779619985,1750772337,72522364,106557801,106574185,1,3,1,5541005684,73389,73389,14,14,14,106557805,7,3,133970,750691,1139761,14817,1779619985,733009,50307066,2748
47735.06,4,253952,62,95774,6309283394,8,18733842,787,12,12,3120,668,8,576,833574,0,9,37672,1,15,258,116602928,1154,1,4,3997,119396540,8,477457060,14,26,6,4113,576,58282932,3807849,2020084574,576,522,0,3,1,14,14,4557,3,2018249533,1989288891,80618720,121148136,121148136,1,3,1,6299703104,73389,73389,14,14,14,121148140,7,3,139752,853710,1286537,16799,2018249533,833574,56998396,2784
