timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
26835.02,3,253952,62,16384,1077578812,0,1533296,0,106,6,6,2637,157,0,567,143186,0,26,6404,3,14,0,4753,98862931,1136,1,0,4,5682,20221814,8,80822568,13,20,18,7,4944,567,0,0,8637705,350228,371486804,0,567,499,0,3,1,14,14,6206,0,3,372352586,342074368,10198555,20544204,20544204,1,3,1,0,1067446672,73389,73389,14,14,14,20527824,7,1,3,92938,146240,347257,3136,372352586,143186,8290777,1783
28848.63,12,253952,62,30166,1987034086,1,4470067,0,207,6,6,2637,232,0,567,250267,0,26,11830,3,14,0,4753,102591325,1136,1,0,4,5682,37480075,8,149791036,13,20,18,7,4944,567,0,0,15633572,705809,659035951,0,567,499,0,3,1,14,14,6206,0,3,658711530,628323480,20777810,38031904,38048288,1,3,1,0,1977659040,73389,73389,14,14,14,38031908,7,1,3,100654,255886,485079,5482,658711530,250267,15149106,1783
30857.22,16,253952,62,43166,2842187510,2,7048876,0,273,6,6,2637,326,0,576,350490,0,26,16941,3,14,0,4753,104696108,1154,1,0,4,5682,53637494,8,214485320,13,20,18,7,4944,576,0,0,21898438,944216,932326365,0,576,506,0,3,1,14,14,6206,0,3,931752586,897573088,29812948,54484426,54484426,1,3,1,0,2833190184,73389,73389,14,14,14,54484430,7,1,3,116454,358441,637710,7770,931752586,350490,21261609,1811
32864.00,16,253952,62,55838,3677606762,2,8775616,0,334,6,6,2637,411,0,576,446488,0,26,21932,3,14,0,4753,106518074,1154,1,0,4,5682,69465015,8,277730736,13,20,18,7,4944,576,0,0,28029880,1161496,1191392422,0,576,506,0,3,1,14,14,6206,0,3,1190969597,1160769459,37875320,70538970,70538970,1,3,1,0,3668026472,73389,73389,14,14,14,70538974,7,1,3,119402,456618,771564,9934,1190969597,446488,27259438,1811
34878.32,18,253952,62,69359,4568774672,3,10962212,0,427,7,7,2637,494,1,576,552703,0,26,27271,3,14,0,4753,108738218,1154,1,0,4,5682,86391565,8,345566260,13,21,18,7,4944,576,0,0,34540364,1475152,1475991101,0,576,506,0,3,1,14,14,6206,0,3,1474908832,1441367512,46885323,87674858,87674858,1,3,1,0,4559092648,73389,73389,14,14,14,87674862,7,1,3,133059,565179,907696,12276,1474908832,552703,33634047,1811
36886.77,21,253952,62,82936,5463250618,3,12230527,0,520,7,7,2637,597,1,576,657615,0,26,32630,3,14,0,4753,109679366,1154,1,0,4,5682,103352748,8,413346368,13,21,18,7,4944,576,0,0,41078400,1761477,1753965766,0,576,506,0,3,1,14,14,6206,0,3,1752892014,1722991585,54943614,104862057,104878441,1,3,1,0,5452826996,73389,73389,14,14,14,104862061,7,1,3,140476,672388,1033502,14610,1752892014,657615,40046540,1811
38896.03,22,253952,62,96557,6359681066,3,13413573,0,614,7,7,2637,669,1,576,763234,0,26,37974,3,14,0,4753,110934230,1154,1,0,4,5682,120354741,8,481418964,13,21,18,7,4944,576,0,0,47606935,2091920,2035010773,0,576,506,0,3,1,14,14,6206,0,3,2033657662,2005322993,62976958,122104885,122121269,1,3,1,0,6349454052,73389,73389,14,14,14,122104889,7,1,3,145921,780345,1164410,16913,2033657662,763234,46444433,1811
40906.09,23,253952,62,110329,7267576030,3,14606685,0,720,7,7,2637,769,1,585,865278,0,26,43400,3,14,0,4753,114315551,1172,1,0,4,5682,137559600,8,550044632,13,21,18,7,4944,585,0,0,54115043,2447236,2324389885,0,585,512,0,3,1,14,14,6206,0,3,2322634256,2291055609,71022418,139574486,139574486,1,3,1,0,7257873304,73389,73389,14,14,14,139574490,7,1,3,155247,884754,1286786,19331,2322634256,865278,52830451,1844
42919.58,25,253952,62,123972,8166401484,3,15787876,0,817,7,7,2637,842,5,585,971931,0,26,48771,3,14,0,4753,115884131,1172,1,0,4,5682,154586143,8,618344572,13,21,18,7,4944,585,0,0,60634427,2792996,2603885910,0,585,512,0,3,1,14,14,6206,0,3,2603674794,2573847739,79027499,156859989,156876373,1,3,1,0,8155867492,73389,73389,14,14,14,156843609,7,1,3,164291,993739,1406359,21639,2603674794,971931,59230533,1844
44931.38,30,253952,62,137366,9049639050,3,17088240,0,907,7,7,2637,940,6,594,1071729,0,26,54059,3,14,0,4753,118976080,1190,1,0,4,5682,171321571,8,685221596,13,21,18,7,4944,594,0,0,67170822,3039288,2882785424,0,594,525,0,3,1,14,14,6206,0,3,2881539691,2852209446,87105150,173817368,173833752,1,3,1,0,9038503168,73389,73389,14,14,14,173817372,7,1,3,175175,1095919,1535078,23968,2881539691,1071729,65638474,1871
