timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
28399.06,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
30405.78,1,253952,62,10407,685194444,2,4098422,0,83,6,6,2885,126,1,567,99640,0,32,4065,2,12,0,3175,98814667,1136,1,0,4,2815,12795738,8,51053716,11,20,0,5,6580,567,0,0,6265399,403686,250274382,0,567,558,0,3,1,14,14,3454,3,250320272,218386568,10662362,12995498,13011882,1,3,1,675765928,73389,73389,14,14,14,12995502,7,3,75505,101795,279990,2139,250320272,99640,5985639,2000
32416.45,3,253952,62,20411,1343965814,2,5786250,0,139,6,6,2885,170,1,567,184283,0,32,7987,2,12,0,3175,99767881,1136,1,0,4,2815,25262253,8,101049012,11,20,0,5,6580,567,0,0,12318194,633795,454874563,0,567,558,0,3,1,14,14,3454,3,455118081,426044750,18666811,25655124,25671508,1,3,1,1334066480,73389,73389,14,14,14,25655128,7,3,84534,188470,388747,3796,455118081,184283,11929860,2000
34428.17,3,253952,62,30520,2008653184,2,7053689,0,235,6,6,2885,263,1,567,275088,0,32,11990,2,12,0,3175,100696963,1136,1,0,4,2815,37895804,8,151583216,11,20,0,5,6580,567,0,0,18800389,987105,666171646,0,567,558,0,3,1,14,14,3454,3,665684317,635279592,26812129,38452299,38452299,1,3,1,1999519580,73389,73389,14,14,14,38452303,7,3,94663,281589,518663,5600,665684317,275088,18282354,2000
36441.31,3,253952,62,40680,2678951298,3,9167756,0,328,7,7,2885,313,1,567,367342,0,32,15984,2,12,0,3175,102953305,1136,1,0,4,2815,50611194,8,202388652,11,21,0,5,6580,567,0,0,25318284,1423851,880864346,0,567,558,0,3,1,14,14,3454,3,880164161,846059706,35860503,51349049,51349049,1,3,1,2670150580,73389,73389,14,14,14,51349053,7,3,98505,376104,639364,7350,880164161,367342,24679779,2000
38451.42,6,253952,62,50648,3335906342,3,10235891,0,421,7,7,2885,361,1,567,458252,0,32,19884,2,12,0,3175,105390637,1136,1,0,4,2815,63023317,8,252093268,11,21,0,5,6580,567,0,0,31862556,1860208,1081834104,0,567,558,0,3,1,14,14,3454,3,1081713036,1053150795,43886629,63971589,63971589,1,3,1,3326522660,73389,73389,14,14,14,63971593,7,3,102539,469068,753172,8995,1081713036,458252,31110470,2000
40460.32,10,253952,62,61015,4019106778,3,11333993,0,514,7,7,2885,452,2,576,553853,0,32,23987,2,12,0,3175,108143343,1154,1,0,4,2815,75944885,8,303714908,11,21,0,5,6580,576,0,0,38395831,2335983,1300824065,0,576,565,0,3,1,14,14,3454,3,1299831592,1268164064,51978172,77110225,77110225,1,3,1,4008879764,73389,73389,14,14,14,77093845,7,3,109004,566876,869243,10851,1299831592,553853,37527893,2033
42469.54,10,253952,62,71841,4731435024,3,12553162,0,609,7,7,2885,506,3,576,656217,0,32,28234,2,12,0,3175,109398207,1154,1,0,4,2815,89477324,8,357844600,11,21,0,5,6580,576,0,0,44914293,2616840,1524997270,0,576,565,0,3,1,14,14,3454,3,1524049233,1492528918,59983317,90804202,90804202,1,3,1,4721818536,73389,73389,14,14,14,90804206,7,3,120664,671424,1002052,12682,1524049233,656217,43913770,2033
44480.16,13,253952,62,82877,5459408126,3,13779134,0,703,7,7,2885,593,4,576,755752,0,32,32602,2,12,0,3175,111316701,1154,1,0,4,2815,103272571,8,413025556,11,21,0,5,6580,576,0,0,51455420,2949754,1753074764,0,576,565,0,3,1,14,14,3454,3,1751915982,1721597906,68058680,104812905,104812905,1,3,1,5449419124,73389,73389,14,14,14,104796525,7,3,127107,773139,1125805,14598,1751915982,755752,50331386,2033
46489.85,18,253952,62,94222,6207583588,3,15042421,0,800,7,7,2885,653,4,576,858208,0,32,37071,2,12,0,3175,113162799,1154,1,0,4,2815,117487679,8,469950716,11,21,0,5,6580,576,0,0,57967296,3227078,1990549777,0,576,565,0,3,1,14,14,3454,3,1989282955,1957017095,76081583,119198440,119198440,1,3,1,6198318912,73389,73389,14,14,14,119198444,7,3,135571,877842,1256026,16538,1989282955,858208,56713278,2033
