timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
26467.51,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
28478.70,0,253952,62,11650,766993540,2,3833513,0,90,7,7,4057,134,0,567,117609,0,28,4556,10,19,0,3628,98525083,1136,1,0,4,5440,14328914,9,57251112,18,21,0,11,4118,567,0,0,6940394,463836,275453583,0,567,456,0,3,1,14,14,7078,0,3,275526448,244311684,11212531,14566203,14566203,1,3,1,0,757442588,73389,73389,14,14,14,14566207,9,3,60151,120007,270097,2351,275526448,117609,6671033,1861
30493.14,0,253952,62,22118,1456776914,3,6264538,0,169,7,7,4057,183,1,567,204377,0,28,8660,10,19,0,3628,100395313,1136,1,0,4,5440,27403081,9,109612324,18,21,0,11,4118,567,0,0,13275486,742906,491232810,0,567,456,0,3,1,14,14,7078,0,3,491178813,461445507,20199554,27827719,27844103,1,3,1,0,1447041420,73389,73389,14,14,14,27827723,9,3,67288,209015,369975,4103,491178813,204377,12906472,1861
32500.64,0,253952,62,32222,2121474452,3,8006983,0,229,7,7,4057,273,1,567,293007,0,28,12664,10,19,0,3628,101348527,1136,1,0,4,5440,40035110,9,160075856,18,21,0,11,4118,567,0,0,19352023,999600,700245691,0,567,456,0,3,1,14,14,7078,0,3,700384139,670642155,28239501,40622735,40622735,1,3,1,0,2112382252,73389,73389,14,14,14,40622739,9,3,72904,299820,473905,5892,700384139,293007,18879293,1861
34510.68,1,253952,62,42556,2803417150,3,9135154,0,318,8,8,4057,323,1,567,389596,0,28,16724,10,19,0,3628,103846189,1136,1,0,4,5440,52958135,9,211768004,18,22,0,11,4118,567,0,0,25840540,1431614,919152546,0,567,456,0,3,1,14,14,7078,0,3,918291063,885475762,36301828,53730318,53730318,1,3,1,0,2793976568,73389,73389,14,14,14,53730322,9,3,85919,398731,626065,7666,918291063,389596,25215864,1861
36519.26,2,253952,62,52939,3487629964,4,12263586,0,421,8,8,4057,378,2,576,482754,0,28,20792,10,19,0,3628,106576082,1154,1,0,4,5440,65878510,9,263449372,18,22,0,11,4118,576,0,0,32364702,1858426,1128307410,0,576,466,0,3,1,14,14,7078,0,3,1128676478,1100883977,46352425,66885338,66885338,1,3,1,0,3478037608,73389,73389,14,14,14,66885342,9,3,94638,494101,783385,9389,1128676478,482754,31582920,1893
38534.02,6,253952,62,63327,4170626010,5,14350365,0,516,9,9,4057,463,2,576,580805,0,28,24892,10,19,0,3628,106913930,1154,1,0,4,5440,78851553,9,315341556,18,23,0,11,4118,576,0,0,38914193,2316611,1350417597,0,576,466,0,3,1,14,14,7078,0,3,1349130954,1315840449,55409567,80026577,80026577,1,3,1,0,4161382036,73389,73389,14,14,14,80026581,9,3,104929,594466,923304,11257,1349130954,580805,37992713,1893
40544.80,6,253952,62,73823,4862570174,5,15484095,0,611,9,9,4057,521,2,576,677602,0,28,29020,10,19,0,3628,108784160,1154,1,0,4,5440,91957210,9,367828840,18,23,0,11,4118,576,0,0,45439102,2755899,1566561415,0,576,466,0,3,1,14,14,7078,0,3,1565582968,1533933698,63462060,93318702,93318702,1,3,1,0,4852572536,73389,73389,14,14,14,93318706,9,3,115383,694052,1043762,13036,1565582968,677602,44397383,1893
42555.54,6,253952,62,84378,5558115510,6,17610791,0,708,10,10,4057,604,2,594,769725,0,28,33177,10,19,0,3628,113666235,1190,1,0,4,5440,105065869,9,420198896,18,24,1,11,4118,594,0,0,51965034,3172008,1784826367,0,594,485,0,3,1,14,14,7078,0,3,1783503644,1753016760,72522462,106678522,106694906,1,3,1,0,5547283176,73389,73389,14,14,14,106678526,9,3,128045,788493,1170308,14878,1783610143,769788,50796992,1962
44566.67,8,253952,62,94986,6257653092,6,18752782,0,811,10,10,4057,661,2,594,863832,0,28,37351,10,19,0,3628,116091501,1190,1,0,4,5440,118331382,9,473325528,18,24,1,11,4118,594,0,0,58478686,3572118,2008266951,0,594,485,0,3,1,14,14,7078,0,3,2007393318,1973736646,80557181,120083176,120115944,1,3,1,0,6244325184,73389,73389,14,14,14,120083180,9,3,134954,884843,1304432,16708,2007393318,863832,57176744,1962
46576.26,9,253952,62,105789,6969008100,6,19994030,0,904,10,10,4057,728,3,603,963906,0,28,41593,10,19,0,3628,118580294,1208,1,0,4,5440,131818109,9,527207740,18,24,1,11,4118,603,0,0,65037173,3874280,2239493057,0,603,497,0,3,1,14,14,7078,0,3,2237861834,2197924731,88628805,133762484,133778868,1,3,1,0,6955649200,73389,73389,14,14,14,133762488,9,3,140078,987215,1447576,18622,2237861834,963906,63592308,1998
48586.14,10,253952,62,117373,7732255432,6,21448230,0,988,11,11,4057,806,3,612,1072821,0,28,46147,10,19,0,3628,121915809,1226,1,0,4,5440,146239100,9,584891756,18,25,1,11,4118,612,0,0,72200946,4234131,2485778101,0,612,506,0,3,1,14,14,7078,0,3,2483776943,2438952723,97582797,148406289,148406289,1,3,1,0,7717127060,73389,73389,14,14,14,148406293,9,3,144384,1098635,1585977,20657,2483776943,1072821,70617917,2028
50598.92,12,253952,62,129263,8516576940,6,23840855,0,1074,11,11,4057,877,3,621,1186049,0,28,50825,10,19,0,3628,124633588,1244,1,0,4,5440,161056382,9,644225528,18,25,1,11,4118,621,0,0,79618191,4535983,2738685595,0,621,520,0,3,1,14,14,7078,0,3,2737206183,2686280102,107621414,163448899,163465283,1,3,1,0,8499342780,73389,73389,14,14,14,163448903,9,3,149967,1214439,1728913,22760,2737206183,1186049,77892478,2063
52606.00,13,253952,62,141329,9310133628,6,26053948,0,1164,11,11,4057,961,3,621,1297013,0,28,55559,10,19,0,3628,125248954,1244,1,0,4,5440,176091137,9,704235612,18,25,1,11,4118,621,0,0,87034201,4934881,2994024092,0,621,520,0,3,1,14,14,7078,0,3,2992194221,2936544972,117679005,178682972,178699356,1,3,1,0,9291514576,73389,73389,14,14,14,178682976,9,3,163022,1327902,1887236,24885,2992194221,1297013,85150416,2063
54619.91,13,253952,62,153352,10102477046,6,28192321,0,1254,11,11,4057,1032,11,621,1406784,0,28,60280,10,19,0,3628,125550604,1244,1,0,4,5440,191067616,9,764205816,18,25,1,11,4118,621,0,0,94442656,5276063,3249470313,0,621,520,0,3,1,14,14,7078,0,3,3246348640,3186601486,127296194,193889866,193889866,1,3,1,0,10082273064,73389,73389,14,14,14,193889870,9,3,169715,1440294,2042203,26987,3246348640,1406784,92404162,2063
56629.98,13,253952,62,165907,10929371900,6,30311404,0,1328,11,11,4057,1116,11,621,1536156,0,28,65213,10,19,0,3628,125550604,1244,1,0,4,5440,206692231,9,826704304,18,25,1,11,4118,621,0,0,102142335,5662020,3518158560,0,621,520,0,3,1,14,14,7078,0,3,3515179576,3447346734,137740745,209737895,209754279,1,3,1,0,10906370572,73389,73389,14,14,14,209737899,9,3,206362,1572346,2272245,29218,3515179576,1536156,99874063,2063
58639.08,13,253952,62,179309,11811775746,6,31867630,0,1410,11,11,4057,1212,12,621,1660727,0,28,70475,10,19,0,3628,125864320,1244,1,0,4,5440,223386354,9,893480656,18,25,1,11,4118,621,0,0,110241212,6118382,3807150878,0,621,520,0,3,1,14,14,7078,0,3,3803638802,3726085997,147841660,226667268,226667268,1,3,1,0,11785846000,73389,73389,14,14,14,226650888,9,3,227420,1699713,2449593,31636,3803638802,1660727,107794869,2063
60649.90,13,253952,62,192615,12689030732,6,33563324,0,1499,11,11,4057,1289,12,657,1774895,0,28,75701,10,19,0,3628,132113545,1316,1,0,4,5440,239946022,9,959719480,18,25,1,11,4118,657,0,0,118309367,6430411,4094029501,0,657,557,0,3,1,14,14,7078,0,3,4090780341,4003320947,157839200,243448741,243479350,1,3,1,0,12659334564,73389,73389,14,14,14,243448745,9,3,238669,1816797,2625510,34004,4090780341,1774895,115688389,2202
