timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
16731.49,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
18736.66,0,0,18930,1246713942,0,13755,0,14,1,1,10013,116,0,675,136552,15,1775,0,11,7,0,138972626,1352,1,0,10,15,15,9,295,675,0,0,0,1981968,29,420064499,0,675,463,2,1,14,14,375,1,420233220,368058322,1995853,27991559,27991559,1,2,1,1230907700,73389,73389,14,14,14,27975175,7,3,371380,138586,873790,3222,420233220,136552,1108262,2152
20740.97,253952,62,39781,2619841378,4,4014128,0,18,28,28,10013,120,0,675,280404,15,6983,21,38,7,1276,140299886,1352,1,0,37,42,33,9,1651,675,0,0,0,6796316,1055419,809505319,0,675,463,2,1,14,14,375,1,820378416,769702637,17499158,59173680,59190064,1,2,1,2603641920,73389,73389,14,14,14,59173680,7,3,482735,285414,1298581,6278,820378416,280404,5498183,2152
22747.09,253952,62,57746,3803831918,4,4014128,0,18,28,28,10013,123,0,675,406884,15,12048,21,38,7,1276,140830790,1352,1,0,37,42,33,9,1651,675,0,0,0,11206803,1936526,1155294320,0,675,463,2,1,14,14,375,1,1166277424,1115773187,36954149,86095961,86095961,1,2,1,3788222284,73389,73389,14,14,14,86095961,7,3,501913,414432,1493969,8917,1166277424,406884,9713442,2152
24752.36,253952,62,78432,5166942270,4,4014128,0,18,28,28,10013,126,0,675,508261,15,17855,21,38,7,1276,141361694,1352,1,0,37,42,33,9,1651,675,0,0,0,15792046,1942492,1554064895,0,675,463,2,1,14,14,375,1,1564605232,1514280318,44904176,117066805,117083189,1,2,1,5150939420,73389,73389,14,14,14,117066805,7,3,511590,518365,1654306,11956,1564605232,508261,14137745,2152
26759.21,253952,62,93588,6165780378,4,4014128,0,18,28,28,10013,129,0,675,630756,15,22164,21,38,7,1276,141892598,1352,1,0,37,42,33,9,1651,675,0,0,0,20046180,4224165,1846596331,0,675,463,2,1,14,14,375,1,1856633648,1806229981,76308098,139778842,139778842,1,2,1,6149282700,73389,73389,14,14,14,139756425,7,3,548967,643109,1905400,14184,1856633648,630756,18141666,2152
28770.08,253952,62,108197,7128239390,4,4014128,0,18,28,28,10013,131,0,675,748571,15,26249,21,38,7,1276,142158050,1352,1,0,37,42,33,9,1651,675,0,0,0,24258747,6990963,2128650057,0,675,463,2,1,14,14,375,1,2137914160,2087697103,94226550,161643229,161659613,1,2,1,7112302076,73389,73389,14,14,14,161643229,7,3,579458,765683,2134149,16330,2137914160,748571,22125601,2152
30779.37,253952,62,122825,8091943586,4,4014128,0,18,28,28,10013,134,0,675,842878,15,30428,21,38,7,1276,142423502,1352,1,0,37,42,33,9,1651,675,0,0,0,28081029,9328149,2409141144,0,675,463,2,1,14,14,375,1,2419063600,2369288541,108036405,183548576,183564960,1,2,1,8076137344,73389,73389,14,14,14,183548576,7,3,613189,862050,2359427,18475,2419063600,842878,25722737,2152
32787.83,253952,62,138201,9105199614,4,4014128,0,18,28,28,10013,136,0,675,950295,15,34714,21,38,7,1276,142942340,1352,1,0,37,42,33,9,1651,675,0,0,0,32519002,12051934,2705088914,0,675,463,2,1,14,14,375,1,2715155248,2665553742,129522825,206563717,206580101,1,2,1,9088803548,73389,73389,14,14,14,206563717,7,3,633951,972860,2547246,20734,2715155248,950295,29973010,2152
34795.17,253952,62,152545,10049967214,4,4014128,0,18,28,28,10013,139,0,675,1060367,15,38774,21,38,7,1276,143207792,1352,1,0,37,42,33,9,1651,675,0,0,0,36415291,14502031,2980939792,0,675,463,2,1,14,14,375,1,2990509008,2941674565,144211480,228057305,228057305,1,2,1,10034521420,73389,73389,14,14,14,228057305,7,3,672193,1085015,2761006,22838,2990509008,1060367,33655648,2152
36806.41,253952,62,167114,11010070238,4,4014128,0,18,28,28,10013,141,0,675,1192935,15,42881,21,38,7,1276,144004148,1352,1,0,37,42,33,9,1651,675,0,0,0,40387774,16943456,3259693700,0,675,463,2,1,14,14,375,1,3271134160,3222231306,164156940,249878573,249878573,1,2,1,10993936316,73389,73389,14,14,14,249862189,7,3,706232,1219760,2970621,24979,3271134160,1192935,37418616,2152
38820.63,253952,62,181694,11970628706,4,4014128,0,18,28,28,10013,143,0,675,1315500,15,46959,21,38,7,1276,144004148,1352,1,0,37,42,33,9,1651,675,0,0,0,44752966,19814883,3539380402,0,675,463,2,1,14,14,375,1,3551497168,3503061273,182951888,271693808,271710192,1,2,1,11954527552,73389,73389,14,14,14,271693808,7,3,743388,1344469,3216289,27118,3551497168,1315500,41538248,2152
40826.97,253952,62,196749,12962582226,4,4014128,0,18,28,28,10013,146,0,675,1435819,15,51221,21,38,7,1276,144535052,1352,1,0,37,42,33,9,1651,675,0,0,0,49148413,22700884,3829048078,0,675,463,2,1,14,14,375,1,3841166288,3793001996,200923101,294244164,294260548,1,2,1,12946743216,73389,73389,14,14,14,294244164,7,3,785362,1466873,3460698,29328,3841166288,1435819,45689415,2152
42836.18,253952,62,211243,13918035502,4,4014128,0,18,28,28,10013,148,0,675,1559927,15,55292,21,38,7,1276,145065956,1352,1,0,37,42,33,9,1651,675,0,0,0,52976359,25137271,4109380167,0,675,463,2,1,14,14,375,1,4120218576,4072255735,218126132,315964969,315981353,1,2,1,13902458636,73389,73389,14,14,14,315964969,7,3,814761,1593170,3681311,31457,4120218576,1559927,49296847,2152
