timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
21329.57,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
23334.82,0,253952,62,18361,1209641146,1,1970709,0,92,7,7,1816,174,0,558,143250,0,19,7188,9,15,906,97665285,1118,1,0,4,747,22734015,7,90936060,14,21,7,983,558,0,0,9387427,205105,410097090,0,558,293,0,3,1,14,14,1249,3,410404839,383806667,11562671,23074644,23074644,1,3,1,1199029552,73389,73389,14,14,14,23058264,5,3,84428,146349,326165,3480,410404839,143250,9061743,1413
25342.23,0,253952,62,34720,2286505190,3,4961693,0,203,9,9,1816,253,8,585,248688,0,19,13612,9,15,906,104308909,1172,1,0,4,747,43124681,7,172498724,14,23,7,983,585,0,0,16851658,257046,750545180,0,585,311,0,3,1,14,14,1249,3,750434771,722797023,22068737,43788277,43788277,1,3,1,2276990436,73389,73389,14,14,14,43788281,5,3,88257,254343,452256,6260,750434771,248688,16400190,1495
27353.60,0,253952,62,49865,3283464066,4,7871313,0,303,9,9,1816,382,8,585,384217,0,19,19595,9,15,906,106215337,1172,1,0,4,747,62009937,7,247975308,14,23,7,983,585,0,0,25068713,665414,1071400602,0,585,311,0,3,1,14,14,1249,3,1070861581,1036827074,33584712,62943715,62943715,1,3,1,3273073212,73389,73389,14,14,14,62943719,5,3,101534,392919,633659,8980,1070861581,384217,24436156,1495
29364.50,1,253952,62,62506,4116948230,4,10406886,0,399,9,9,1816,444,8,585,497954,0,19,24563,9,15,906,109376629,1172,1,0,4,747,77838477,7,311289444,14,23,7,983,585,0,0,31922105,1158984,1332679912,0,585,311,0,3,1,14,14,1249,3,1331491429,1299103898,43440669,78990067,78990067,1,3,1,4107483516,73389,73389,14,14,14,78990071,5,3,118617,509139,794934,11103,1331491429,497954,31128554,1495
31377.35,4,253952,62,74310,4893334486,5,13071856,0,452,9,9,1816,533,8,594,606991,0,19,29198,9,15,906,112106657,1190,1,0,4,747,92479697,7,369854172,14,23,7,983,594,0,0,38048574,1378844,1577240332,0,594,323,0,3,1,14,14,1249,3,1576281318,1544128162,52446840,93880076,93880076,1,3,1,4881763984,73389,73389,14,14,14,93880080,5,3,124482,620550,922852,13159,1576281318,606991,37127340,1532
33394.81,9,253952,62,85729,5646444074,5,14516163,0,520,9,9,1816,608,8,594,708237,0,19,33707,9,15,906,114942167,1190,1,0,4,747,106791537,7,427036924,14,23,7,983,594,0,0,44300004,1767405,1815259147,0,594,323,0,3,1,14,14,1249,3,1813746682,1781182491,60540791,108363915,108363915,1,3,1,5634923612,73389,73389,14,14,14,108363919,5,3,135413,724062,1057978,15133,1813746682,708237,43243870,1532
35406.87,10,253952,62,97260,6405916348,5,15574067,0,622,9,9,1816,673,9,603,821187,0,19,38230,9,15,906,117708258,1208,1,0,4,747,121150722,7,484473424,14,23,7,983,603,0,0,50847991,2259427,2056980976,0,603,332,0,3,1,14,14,1249,3,2055735173,2020208555,68605992,122977111,122977111,1,3,1,6394809804,73389,73389,14,14,14,122977115,5,3,139532,839369,1202684,17119,2055735173,821187,49647390,1560
37416.91,12,253952,62,108606,7155074362,5,16725002,0,722,9,9,1816,751,12,603,925556,0,19,42727,9,15,906,120495504,1208,1,0,4,747,135392122,7,541503960,14,23,7,983,603,0,0,57395776,2644624,2292672693,0,603,332,0,3,1,14,14,1249,3,2291217388,2255826177,76652364,137388937,137388937,1,3,1,7144224756,73389,73389,14,14,14,137388941,5,3,146748,946069,1349574,19081,2291217388,925556,56048542,1560
39427.13,14,253952,62,120073,7910340266,5,17870449,0,808,9,9,1816,824,12,603,1030054,0,19,47228,9,15,906,122039952,1208,1,0,4,747,149695908,7,598718860,14,23,7,983,603,0,0,63929120,3039067,2530898734,0,603,332,0,3,1,14,14,1249,3,2528551385,2493993444,84701221,151895637,151895637,1,3,1,7898573156,73389,73389,14,14,14,151895641,5,3,153845,1052899,1507380,21049,2528551385,1030054,62423321,1560
