timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
26445.18,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
28465.53,1,253952,62,11951,787021526,1,2814589,0,88,6,6,2897,133,0,558,111978,0,30,4674,3,14,0,1765,97641153,1118,1,0,4,5874,14722390,9,58824860,13,20,15,7,8709,558,0,0,6965799,441227,279223904,0,558,475,0,3,1,14,14,6478,3,279240103,250705893,10221580,14949068,14965452,1,3,1,777351568,73389,73389,14,14,14,14949072,7,3,89340,114467,334292,2374,279240103,111978,6631913,1816
30472.92,7,253952,62,22794,1500813798,2,5158656,0,163,6,6,2897,183,0,567,197794,0,30,8920,3,14,0,1765,100385434,1136,1,0,4,5874,28230509,9,112922036,13,20,15,7,8709,567,0,0,13344225,781912,505311431,0,567,484,0,3,1,14,14,6478,3,504981434,475309774,19253510,28681846,28681846,1,3,1,1490604056,73389,73389,14,14,14,28665466,7,3,92828,202591,452102,4208,504981434,197794,12892766,1843
32484.98,9,253952,62,33049,2176601806,2,6883894,0,216,6,6,2897,277,0,567,284732,0,30,12985,3,14,0,1765,101905750,1136,1,0,4,5874,41047121,9,164123876,13,20,15,7,8709,567,0,0,19384586,1055214,719201340,0,567,484,0,3,1,14,14,6478,3,719458473,688050671,27283478,41681218,41681218,1,3,1,2167423368,73389,73389,14,14,14,41681222,7,3,101233,291683,571264,6042,719458473,284732,18814179,1843
34493.44,13,253952,62,43638,2874315036,2,7938152,0,306,6,6,2897,325,10,576,379425,0,30,17129,3,14,0,1765,105902708,1154,1,0,4,5874,54244161,9,216976644,13,20,15,7,8709,576,0,0,25893021,1585825,939036451,0,576,491,0,3,1,14,14,6478,3,938553103,907981137,35372700,55081998,55081998,1,3,1,2863411960,73389,73389,14,14,14,55065618,7,3,108582,388607,694353,7824,938553103,379425,25198746,1875
36502.42,16,253952,62,54045,3559485348,2,9141639,0,411,6,6,2897,386,10,576,473182,0,30,21229,3,14,0,1765,106843856,1154,1,0,4,5874,67274789,9,269099156,13,20,15,7,8709,576,0,0,32413353,1921499,1153969571,0,576,491,0,3,1,14,14,6478,3,1153010427,1123373122,43408486,68265912,68282296,1,3,1,3549827456,73389,73389,14,14,14,68265916,7,3,111623,484720,809307,9600,1153141499,473232,31605352,1875
38513.55,18,253952,62,64567,4252506016,2,10157541,0,501,6,6,2897,470,10,585,560649,0,30,25389,3,14,0,1765,109282846,1172,1,0,4,5874,80392368,9,321569472,13,20,15,7,8709,585,0,0,38928560,2443336,1372116949,0,585,499,0,3,1,14,14,6478,3,1371593908,1341728391,51386501,81586931,81619699,1,3,1,4242520444,73389,73389,14,14,14,81586935,7,3,119538,574397,928462,11436,1371724980,560691,38001627,1923
40521.08,19,253952,62,75048,4942839708,3,12728034,0,585,7,7,2897,521,10,585,653835,0,30,29486,3,14,0,1765,110223994,1172,1,0,4,5874,93485763,9,373749572,13,21,15,7,8709,585,0,0,45461845,2917255,1592419031,0,585,499,0,3,1,14,14,6478,3,1591285691,1559178038,60987904,94866990,94866990,1,3,1,4933083512,73389,73389,14,14,14,94866994,7,3,127709,669851,1055371,13220,1591285691,653835,44408240,1923
42534.71,20,253952,62,85680,5643383052,4,14845493,0,682,8,8,2897,611,10,585,739660,0,30,33696,3,14,0,1765,111478858,1172,1,0,4,5874,106738543,9,426954172,13,22,15,7,8709,585,0,0,51998068,3365540,1811230062,0,585,499,0,3,1,14,14,6478,3,1810139865,1779600123,70056097,108341498,108341498,1,3,1,5633757928,73389,73389,14,14,14,108341502,7,3,135756,757898,1187305,15074,1810139865,739660,50812751,1923
44547.17,20,253952,62,96465,6352795068,4,16020528,0,788,8,8,2897,665,11,585,828006,0,30,37932,3,14,0,1765,112781986,1172,1,0,4,5874,120226416,9,480905664,13,22,15,7,8709,585,0,0,58535467,3746550,2037238687,0,585,499,0,3,1,14,14,6478,3,2035271672,2002920097,78132283,121988482,121988482,1,3,1,6343401096,73389,73389,14,14,14,121988486,7,3,139411,848462,1318045,16914,2035271672,828006,57219653,1923
