timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
4510.41,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0
6515.34,4,253952,62,57651,3797400876,6,8298935,190,22,22,415,418,0,567,480770,0,29,22588,37,3189,110132575,1136,1,0,4,2246,71651500,9,286282400,36,36,14,3396,567,0,0,0,30001234,490522,1228377639,0,567,436,0,3,1,14,14,2871,3,1229622852,1198592748,38838429,72834445,72834445,1,3,1,3786539204,73389,73389,14,14,14,72818065,9,3,142824,491761,895994,10237,1229622852,480770,29106369,2226
8524.32,9,253952,62,101253,6670683876,9,16362610,378,24,24,415,702,2,576,823218,0,29,39823,37,3189,115603772,1154,1,0,4,2246,126228481,9,504849240,36,38,14,3396,576,0,0,0,52173109,600033,2130379986,0,576,440,0,3,1,14,14,2871,3,2130003918,2103068875,69169180,128079839,128110448,1,3,1,6659299692,73389,73389,14,14,14,128063459,9,3,163441,842298,1341653,17724,2130003918,823218,50833442,2248
10536.04,12,253952,62,133914,8822050770,14,23308003,564,24,24,415,916,2,576,1126870,0,29,52682,37,3189,116255336,1154,1,0,4,2246,167023627,9,667900812,36,38,14,3396,576,0,0,0,70795184,1251356,2809773707,0,576,440,0,3,1,14,14,2871,3,2809262775,2780168778,95374320,169472178,169488562,1,3,1,8812553288,73389,73389,14,14,14,169472182,9,3,175508,1152786,1711217,23365,2809262775,1126870,69086593,2248
12540.32,13,253952,62,161181,10618734012,18,28501350,683,24,24,415,1090,2,576,1334733,0,29,63405,37,3189,116858636,1154,1,0,4,2246,201024005,9,804096020,36,38,14,3396,576,0,0,0,84307012,1435958,3379951203,0,576,440,0,3,1,14,14,2871,3,3378158991,3346232664,114260244,204008257,204008257,1,3,1,10607577428,73389,73389,14,14,14,203991877,9,3,183869,1365484,1959278,28081,3378158991,1334733,82350887,2248
14550.67,15,253952,62,187743,12368924790,18,30083335,818,29,29,415,1259,2,576,1541135,0,29,73859,37,3189,116858636,1154,1,0,4,2246,234172536,9,936560836,36,43,14,3396,576,0,0,0,98532720,1752783,3935416564,0,576,440,0,3,1,14,14,2871,3,3932980608,3897623621,130375562,237628991,237628991,1,3,1,12355003628,73389,73389,14,14,14,237596227,9,3,203886,1576804,2239064,32689,3932980608,1541135,96297331,2248
16555.38,17,253952,62,213550,14069020522,23,36392015,915,29,29,415,1425,2,612,1732716,0,29,83990,37,3189,123109086,1226,1,0,4,2246,266258258,9,1064968364,36,43,14,3396,612,0,0,0,111067973,1993388,4484123881,0,612,461,0,3,1,14,14,2871,3,4481075215,4433737957,149473658,270271003,270271003,1,3,1,14054092188,73389,73389,14,14,14,270271007,9,3,209689,1772899,2466572,37239,4481075215,1732716,108605575,2368
18560.21,18,253952,62,236879,15608877860,24,38756538,999,31,31,415,1579,2,612,1889569,0,29,93181,37,3189,124050234,1226,1,0,4,2246,295390464,9,1181497144,36,45,14,3396,612,0,0,0,121705145,1994661,4977732202,0,612,461,0,3,1,14,14,2871,3,4973731100,4919238799,162453218,299834094,299834094,1,3,1,15591372920,73389,73389,14,14,14,299834098,9,3,221811,1933525,2678338,41323,4973731100,1889569,119031420,2368
20565.50,28,253952,62,261527,17229883150,27,43870058,1128,35,35,415,1735,3,639,2095721,2,29,102840,37,3189,128489261,1280,1,0,4,2246,326053161,9,1304083232,36,49,14,3396,639,0,0,0,134234680,2291369,5497635081,0,637,480,2,3,1,14,14,2871,3,5493960543,5430661479,180366521,330934739,330951123,1,3,1,17208606460,73389,73389,14,14,14,330934743,9,3,244153,2144277,2967032,45635,5493960543,2095721,131272751,2447
22577.53,30,253952,62,280322,18467014628,30,48640789,1230,37,37,415,1857,3,693,2243802,2,29,110222,37,3189,138618045,1388,1,0,4,2246,349383658,9,1397405276,36,51,14,3396,693,0,0,0,143587528,2481271,5905811728,0,691,526,2,3,1,14,14,2871,3,5900710408,5821686152,194700716,354635849,354652233,1,3,1,18441064180,73389,73389,14,14,14,354635853,9,3,256506,2295905,3151546,49021,5900710408,2243802,140441461,2618
