timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
24405.31,0,0,0,18308,1204876676,0,0,0,0,1,1,5935,117,558,129562,38,1710,2,8,0,249,114873386,1118,1,0,7,15,1171,6,4456,558,0,0,0,1991584,7673,397009545,0,558,325,2,1,14,14,411,1,397050052,355321722,1999751,27090883,27107267,1,2,1,1191998852,73389,73389,14,14,14,27090883,8,3,348573,131609,824911,3047,397050052,129562,1166759,1671
26413.79,2,253952,62,34350,2262322650,8,9100020,0,33,13,13,5935,119,675,251263,38,5453,9,20,0,796,140299886,1352,1,0,19,27,1171,6,5243,675,0,0,0,5692930,1072529,714537885,0,675,381,2,1,14,14,411,1,716438320,665172459,18681873,51060170,51060170,1,2,1,2245926584,73389,73389,14,14,14,51043786,8,3,483873,255602,1263865,5485,716438320,251263,4429414,2009
28425.94,2,253952,62,48605,3201581918,9,13083167,0,75,14,14,5935,122,675,375077,38,9500,9,20,0,796,140830790,1352,1,0,19,28,1171,6,5243,675,0,0,0,9759251,2654975,985574156,0,675,381,2,1,14,14,411,1,990509872,939704121,30218047,72408461,72408461,1,2,1,3185972284,73389,73389,14,14,14,72408461,8,3,499309,382500,1441682,7576,990509872,375077,8318034,2009
30433.89,2,253952,62,62930,4145428706,10,17129238,0,111,14,14,5935,124,675,499511,38,13521,9,20,0,796,141096242,1352,1,0,19,28,1171,6,5243,675,0,0,0,13649281,3702483,1263962064,0,675,381,2,1,14,14,411,1,1266285360,1215626132,39195790,93863248,93863248,1,2,1,4129262016,73389,73389,14,14,14,93846864,8,3,516701,509283,1612012,9680,1266285360,499511,12037853,2009
32441.99,2,253952,62,77437,5101468498,10,19424525,0,152,14,14,5935,126,675,625568,38,17582,9,20,0,796,141361694,1352,1,0,19,28,1171,6,5243,675,0,0,0,17789436,4590743,1543008549,0,675,381,2,1,14,14,411,1,1545468720,1495180808,46770573,115586212,115586212,1,2,1,5085793328,73389,73389,14,14,14,115586212,8,3,522614,637746,1735245,11810,1545468720,625568,16054900,2009
34448.90,2,253952,62,90969,5993079786,10,22612056,0,189,15,15,5935,129,675,737542,38,21400,9,20,0,796,141627146,1352,1,0,19,29,1171,6,5243,675,0,0,0,21658797,5953947,1805530157,0,675,381,2,1,14,14,411,1,1806039856,1755744835,56369421,135855318,135855318,1,2,1,5977633992,73389,73389,14,14,14,135855318,8,3,538150,752810,1907883,13798,1806039856,737542,19751740,2009
36462.72,2,253952,62,104445,6881021058,12,28582915,0,228,16,16,5935,131,675,850890,38,25227,9,20,0,796,142158050,1352,1,0,19,30,1171,6,5243,675,0,0,0,25770346,7410825,2063595057,0,675,381,2,1,14,14,411,1,2065431344,2015429290,69557609,156026120,156026120,1,2,1,6864428384,73389,73389,14,14,14,156009736,8,3,550023,868470,2048085,15777,2065431344,850890,23723209,2009
38469.87,2,253952,62,118294,7793407258,12,31374831,0,269,19,19,5935,133,675,968591,38,29111,9,20,0,796,142423502,1352,1,0,19,33,1171,6,5243,675,0,0,0,29623754,8838932,2329775313,0,675,381,2,1,14,14,411,1,2332162864,2282053567,77859371,176753978,176770362,1,2,1,7777175032,73389,73389,14,14,14,176753978,8,3,577271,988525,2258991,17812,2332162864,968591,27365815,2009
40482.16,2,253952,62,132419,8724146846,17,38885929,0,314,21,21,5935,135,675,1091508,38,33074,9,20,0,796,142688954,1352,1,0,19,35,1171,6,5243,675,0,0,0,33785842,10282814,2602268642,0,675,381,2,1,14,14,411,1,2603875120,2554127233,92059563,197922045,197922045,1,2,1,8708569980,73389,73389,14,14,14,197922045,8,3,591630,1115160,2423765,19885,2603875120,1091508,31363259,2009
42488.42,2,253952,62,146308,9639419938,18,42660027,0,352,22,22,5935,137,675,1213113,38,37007,9,20,0,796,142942340,1352,1,0,19,36,1171,6,5243,675,0,0,0,37636904,11558810,2871216402,0,675,381,2,1,14,14,411,1,2871262000,2821744237,101624092,218721472,218721472,1,2,1,9623023872,73389,73389,14,14,14,218705088,8,3,599984,1242919,2567092,21925,2871262000,1213113,35071111,2009
