timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
16905.92,1,0,0,18892,1243415152,0,0,0,0,1,1,9081,117,0,576,125170,33,1764,11,26,118681202,1154,1,0,10,15,67,9,830,576,0,0,0,1970468,15745,409726680,0,576,404,2,1,14,14,438,0,1,410026180,366670805,1987016,27965268,27965268,1,2,1,0,1229750896,73389,73389,14,14,14,27948884,10,3,360829,127067,830843,3146,410026180,125170,1139714,1857
18916.46,1,253952,62,32908,2167288834,19,20093299,0,41,23,23,9081,119,0,675,204953,33,5074,31,53,140299886,1352,1,0,30,37,88,9,1251,675,0,0,0,4672670,70996,687269601,0,675,488,2,1,14,14,438,0,1,688388912,637360248,29467456,48901800,48901800,1,2,1,0,2150958304,73389,73389,14,14,14,48885416,10,3,480569,208508,1172329,5271,688388912,204953,3500524,2153
20921.34,1,253952,62,44673,2942301654,21,23710328,0,86,23,23,9081,121,0,675,283431,33,8372,31,53,140565338,1352,1,0,30,37,88,9,1251,675,0,0,0,7531291,1437601,914903039,0,675,488,2,1,14,14,438,0,1,914881328,863957742,36465889,66514983,66514983,1,2,1,0,2926659252,73389,73389,14,14,14,66514983,10,3,484789,291042,1254940,6999,914881328,283431,6276625,2153
22926.55,1,253952,62,56579,3726820502,21,25439430,0,117,24,24,9081,123,0,675,363341,33,11729,31,53,140830790,1352,1,0,30,38,88,9,1251,675,0,0,0,10397449,1682483,1143461352,0,675,488,2,1,14,14,438,0,1,1144126256,1093249692,41344894,84347191,84347191,1,2,1,0,3711276404,73389,73389,14,14,14,84347191,10,3,492477,372643,1364305,8748,1144126256,363341,9033520,2153
24932.44,1,253952,62,66872,4405364330,22,28290598,0,136,24,24,9081,125,0,675,413190,33,14648,31,53,141361694,1352,1,0,30,38,88,9,1251,675,0,0,0,12541702,1686095,1341465797,0,675,488,2,1,14,14,438,0,1,1342307120,1291643672,46382408,99756726,99773110,1,2,1,0,4389295944,73389,73389,14,14,14,99756726,10,3,492513,423739,1411211,10260,1342307120,413190,11130954,2153
26950.92,1,253952,62,81543,5371633188,22,31063553,0,174,27,27,9081,127,0,675,537273,33,18760,31,53,141361694,1352,1,0,30,41,88,9,1251,675,0,0,0,16469431,2780025,1622606931,0,675,488,2,1,14,14,438,0,1,1624374064,1574108281,54735199,121729768,121729768,1,2,1,0,5356109792,73389,73389,14,14,14,121729768,10,3,517188,550929,1612640,12412,1624374064,537273,14857376,2153
28959.97,1,253952,62,96360,6348242526,23,34189764,0,209,28,28,9081,129,0,675,661479,33,22916,31,53,141892598,1352,1,0,30,42,88,9,1251,675,0,0,0,20216671,3863350,1907284612,0,675,488,2,1,14,14,438,0,1,1909848880,1859572512,62919913,143925709,143925709,1,2,1,0,6332010300,73389,73389,14,14,14,143909325,10,3,523192,677345,1746155,14590,1909848880,661479,18471222,2153
30969.78,1,253952,62,110994,7312605390,23,38229720,0,259,30,30,9081,132,0,675,772773,33,27073,31,53,142423502,1352,1,0,30,44,88,9,1251,675,0,0,0,24439755,5140708,2190392373,0,675,488,2,1,14,14,438,0,1,2191522608,2141554670,72814204,165820705,165837089,1,2,1,0,7296111020,73389,73389,14,14,14,165820705,10,3,536388,790886,1919538,16739,2191522608,772773,22521046,2153
32984.41,1,253952,62,125892,8294004306,26,42902019,0,304,32,32,9081,134,0,675,894865,33,31239,31,53,142423502,1352,1,0,30,46,88,9,1251,675,0,0,0,28424535,6395146,2475462702,0,675,488,2,1,14,14,438,0,1,2478046000,2428389267,84597253,188143844,188143844,1,2,1,0,8277608240,73389,73389,14,14,14,188127460,10,3,546768,915227,2084637,18925,2478046000,894865,26340832,2153
34992.21,1,253952,62,140905,9283205314,29,47435077,0,345,34,34,9081,137,0,675,997575,33,35504,31,53,142942340,1352,1,0,30,48,88,9,1251,675,0,0,0,32391122,7460325,2765252167,0,675,488,2,1,14,14,438,0,1,2767059760,2717583595,94575888,210612280,210628664,1,2,1,0,9266940320,73389,73389,14,14,14,210612280,10,3,561066,1020123,2236184,21130,2767059760,997575,30155995,2153
